feature,importance
home_recent_form,0.084904276
home_avg_prev,0.039840415
hometeam_KCA,0.016113939
hometeam_ARI,0.015962258
hometeam_PIT,0.015339268
hometeam_OAK,0.014596474
visteam_DET,0.014524625
hometeam_CHA,0.014443599
hometeam_DET,0.014353815
visteam_MIA,0.014351825
visteam_COL,0.014283811
visteam_CHN,0.013942657
hometeam_COL,0.013926226
visteam_ATL,0.013889362
visteam_TEX,0.0138126705
visteam_CIN,0.013611157
visteam_WAS,0.01354079
hometeam_SFN,0.013532287
away_avg_prev,0.013465687
hometeam_NYA,0.013303399
hometeam_SDN,0.013214161
visteam_MIL,0.013163754
visteam_CLE,0.013113855
hometeam_TEX,0.012968261
hometeam_MIN,0.012959427
visteam_SDN,0.012954384
hometeam_PHI,0.012862594
visteam_OAK,0.012832788
visteam_PHI,0.012806885
vis_era,0.012759054
hometeam_TOR,0.012726033
hometeam_ATL,0.012701536
visteam_PIT,0.012511306
hometeam_CHN,0.012490324
hometeam_BAL,0.01238562
visteam_CHA,0.01231688
rest_hours_since_last,0.0123050865
home_travel,0.01228488
hometeam_HOU,0.012278627
visteam_SEA,0.012249336
visteam_TBA,0.012209479
hometeam_TBA,0.012106435
away_obp,0.012092646
visteam_NYA,0.012060018
home_obp,0.011982958
visteam_SFN,0.011950156
hometeam_MIA,0.0119446535
hometeam_SLN,0.011810735
hometeam_CIN,0.011770456
vis_travel,0.011495092
hometeam_NYN,0.011481668
hometeam_WAS,0.011476225
visteam_HOU,0.011461239
visteam_MIN,0.011451849
visteam_BAL,0.011323096
hometeam_LAN,0.011218046
visitor_travel_km,0.011166431
hometeam_SEA,0.011061119
tz_dir_eastbound,0.0107505
visteam_TOR,0.0106672235
visteam_ARI,0.010665738
hometeam_CLE,0.010616388
hometeam_BOS,0.010587213
visteam_NYN,0.010523704
visteam_BOS,0.010513537
tz_dir_westbound,0.010441043
visteam_LAN,0.010434885
visteam_KCA,0.010429692
tz_dir_same_zone,0.010352365
hometeam_MIL,0.009726449
visteam_SLN,0.0096659595
visteam_ANA,0.009471269
hometeam_ANA,0.009468357
