season,game_pk,game_date,home_team,away_team,top1_elapsed_seconds,visitor_batters_top1,visitor_pitches_top1,n_empty_top1,n_on_top1,home_starter_id,visiting_starter_id,home_runs_bottom1
2015,446277,2015-11-01,NYM,KC,366.0,4,13,8,5,518774,450172,1
2015,446276,2015-10-31,NYM,KC,328.0,3,13,9,4,571927,432934,0
2015,446275,2015-10-30,NYM,KC,561.0,5,20,11,9,592789,570649,2
2015,446274,2015-10-28,KC,NYM,237.0,3,10,10,0,456501,594798,0
2015,446273,2015-10-27,KC,NYM,281.0,3,11,11,0,450172,518774,1
2015,446269,2015-10-23,KC,TOR,261.0,4,9,3,6,570649,456034,1
2015,446267,2015-10-21,CHC,NYM,1222.0,9,38,14,24,434628,571927,0
2015,446266,2015-10-21,TOR,KC,250.0,3,12,12,0,462136,450172,0
2015,446265,2015-10-20,CHC,NYM,527.0,5,18,3,15,543294,594798,1
2015,446264,2015-10-20,TOR,KC,715.0,7,22,12,10,285079,432934,0
2015,446263,2015-10-19,TOR,KC,179.0,4,7,6,1,573186,456501,0
2015,446262,2015-10-18,NYM,CHC,487.0,4,20,15,5,592789,453562,3
2015,446261,2015-10-17,NYM,CHC,182.0,3,9,9,0,518774,452657,1
2015,446260,2015-10-17,KC,TOR,241.0,3,12,12,0,570649,456034,0
2015,446259,2015-10-16,KC,TOR,602.0,4,24,18,6,450172,462136,0
2015,446258,2015-10-15,LAD,NYM,657.0,5,19,4,15,425844,594798,2
2015,446256,2015-10-14,KC,HOU,212.0,3,11,11,0,456501,543521,0
2015,446255,2015-10-14,TOR,TEX,363.0,5,15,4,11,573186,430935,0
2015,446254,2015-10-13,NYM,LAD,192.0,3,10,10,0,571927,477132,0
2015,446253,2015-10-13,CHC,STL,366.0,6,15,12,3,434628,407793,0
2015,446252,2015-10-12,NYM,LAD,309.0,3,14,14,0,518774,474463,0
2015,446251,2015-10-12,CHC,STL,248.0,3,12,12,0,453562,608379,0
2015,446250,2015-10-12,HOU,KC,462.0,4,15,6,9,621121,570649,0
2015,446249,2015-10-12,TEX,TOR,442.0,6,18,16,2,502706,285079,0
2015,446248,2015-10-11,HOU,KC,284.0,4,9,1,8,572971,450172,0
2015,446247,2015-10-11,TEX,TOR,278.0,3,13,13,0,527048,462136,0
2015,446246,2015-10-10,LAD,NYM,403.0,3,16,14,2,425844,592789,0
2015,446245,2015-10-10,STL,CHC,479.0,4,19,9,10,448802,543294,1
2015,446244,2015-10-09,LAD,NYM,613.0,4,22,13,9,477132,594798,0
2015,446243,2015-10-09,STL,CHC,246.0,3,12,12,0,407793,452657,1
2015,446242,2015-10-09,KC,HOU,529.0,6,21,8,13,456501,431148,0
2015,446241,2015-10-09,TOR,TEX,693.0,6,25,4,21,573186,430935,1
2015,446240,2015-10-08,KC,HOU,743.0,6,24,2,22,570649,543521,0
2015,446239,2015-10-08,TOR,TEX,449.0,4,17,11,6,456034,451596,0
2015,446238,2015-10-07,PIT,CHC,568.0,5,22,10,12,543037,453562,0
2015,446237,2015-10-06,NYY,HOU,413.0,3,17,17,0,547888,572971,0
2015,416079,2015-10-04,NYM,WSH,253.0,3,14,14,0,594798,543699,0
2015,416078,2015-10-04,TB,TOR,444.0,4,16,2,14,519043,279824,9
2015,416077,2015-10-04,ATL,STL,221.0,3,12,12,0,571946,407793,2
2015,416076,2015-10-04,LAD,SD,318.0,4,14,7,7,477132,571057,0
2015,416075,2015-10-04,SEA,OAK,466.0,4,20,9,11,573064,605135,0
2015,416074,2015-10-04,BAL,NYY,432.0,5,17,11,6,501957,501381,2
2015,416073,2015-10-04,PHI,MIA,370.0,5,15,1,14,571527,543045,0
2015,416072,2015-10-04,MIN,KC,265.0,4,12,9,3,445060,456501,0
2015,416071,2015-10-04,AZ,HOU,316.0,4,12,5,7,592662,621121,1
2015,416070,2015-10-04,CWS,DET,899.0,7,30,3,27,593423,596057,0
2015,416069,2015-10-04,SF,COL,664.0,5,28,20,8,430912,548357,2
2015,416068,2015-10-04,PIT,CIN,186.0,3,10,10,0,457918,595001,1
2015,416067,2015-10-04,MIL,CHC,881.0,6,29,8,21,605347,429717,0
2015,416066,2015-10-04,CLE,BOS,432.0,5,18,9,9,517593,519144,0
2015,416065,2015-10-04,TEX,LAA,446.0,5,19,17,2,430935,572070,1
2015,416062,2015-10-04,ATL,STL,179.0,3,10,10,0,605538,458681,1
2015,416064,2015-10-03,NYM,WSH,309.0,3,16,16,0,518774,453286,0
2015,416063,2015-10-03,TB,TOR,251.0,3,14,14,0,502042,462136,1
2015,416061,2015-10-03,LAD,SD,245.0,3,12,12,0,425844,572362,1
2015,416060,2015-10-03,SEA,OAK,643.0,8,23,10,13,606273,543594,0
2015,416059,2015-10-03,BAL,NYY,273.0,3,15,13,2,434622,622663,2
2015,416058,2015-10-03,PHI,MIA,445.0,4,18,9,9,421685,543408,0
2015,416057,2015-10-03,MIN,KC,381.0,5,17,11,6,543548,570649,0
2015,416056,2015-10-03,AZ,HOU,464.0,5,12,2,10,476451,543521,0
2015,416055,2015-10-03,CWS,DET,488.0,4,24,20,4,605304,434378,1
2015,416054,2015-10-03,SF,COL,722.0,4,27,20,7,408241,543734,2
2015,416053,2015-10-03,PIT,CIN,995.0,7,31,12,19,150359,605232,1
2015,416052,2015-10-03,MIL,CHC,268.0,4,10,3,7,621281,543294,0
2015,416051,2015-10-03,CLE,BOS,458.0,4,15,7,8,446372,444520,0
2015,416050,2015-10-03,TEX,LAA,169.0,3,9,9,0,407890,502327,0
2015,416049,2015-10-03,NYM,WSH,287.0,3,13,13,0,592789,461829,0
2015,416044,2015-10-03,BAL,NYY,164.0,3,9,9,0,612672,467100,1
2015,416043,2015-10-03,PHI,MIA,768.0,7,26,3,23,594742,592593,0
2015,416048,2015-10-02,TB,TOR,423.0,5,12,4,8,541640,279824,0
2015,416047,2015-10-02,ATL,STL,341.0,4,17,10,7,527054,448802,0
2015,416046,2015-10-02,LAD,SD,302.0,4,11,2,9,622072,543391,0
2015,416045,2015-10-02,SEA,OAK,258.0,3,11,11,0,547874,605156,0
2015,416042,2015-10-02,MIN,KC,272.0,4,15,14,1,429722,432934,0
2015,416041,2015-10-02,AZ,HOU,766.0,9,23,6,17,523989,572971,0
2015,416040,2015-10-02,CWS,DET,351.0,4,19,13,6,519242,430580,0
2015,416039,2015-10-02,SF,COL,132.0,3,7,7,0,518790,452718,0
2015,416038,2015-10-02,PIT,CIN,127.0,3,6,6,0,434538,572102,0
2015,416037,2015-10-02,MIL,CHC,267.0,3,15,15,0,516414,453562,0
2015,416036,2015-10-02,CLE,BOS,261.0,3,13,13,0,458708,596064,0
2015,416035,2015-10-02,TEX,LAA,606.0,6,19,1,18,527048,450308,0
2015,416034,2015-10-01,ATL,WSH,287.0,3,13,13,0,543901,544931,0
2015,416033,2015-10-01,BAL,TOR,556.0,5,23,8,15,592869,571800,3
2015,416032,2015-10-01,PHI,NYM,229.0,3,11,11,0,595191,543219,0
2015,416031,2015-10-01,CLE,MIN,288.0,3,17,17,0,545333,608648,0
2015,416030,2015-10-01,SD,MIL,302.0,3,12,6,6,453178,543380,0
2015,416029,2015-10-01,TB,MIA,181.0,3,10,10,0,543606,605228,1
2015,416028,2015-10-01,SF,LAD,298.0,3,12,7,5,218596,474463,0
2015,416027,2015-10-01,CWS,KC,623.0,6,23,2,21,433579,450665,0
