player_id,last,first,bats,throws,team_id,pos,player_name,year
archj101,Archer,Jim,R,L,KC1,P,Jim Archer,1196
bassn101,Bass,Norm,R,R,KC1,P,Norm Bass,1196
baueh101,Bauer,Hank,R,R,KC1,OF,Hank Bauer,1196
bertr101,Bertoia,Reno,R,R,KC1,3B,Reno Bertoia,1196
boydb102,Boyd,Bob,L,L,KC1,1B,Bob Boyd,1196
bryab101,Bryan,Billy,L,R,KC1,C,Billy Bryan,1196
carea101,Carey,Andy,R,R,KC1,3B,Andy Carey,1196
causw101,Causey,Wayne,L,R,KC1,3B,Wayne Causey,1196
ciprf101,Cipriani,Frank,R,R,KC1,OF,Frank Cipriani,1196
courc101,Courtney,Clint,L,R,KC1,PH,Clint Courtney,1196
coviw101,Covington,Wes,L,R,KC1,OF,Wes Covington,1196
daleb102,Daley,Bud,L,L,KC1,P,Bud Daley,1196
delgb101,Del Greco,Bobby,R,R,KC1,OF,Bobby Del Greco,1196
ditma101,Ditmar,Art,R,R,KC1,P,Art Ditmar,1196
essec101,Essegian,Chuck,R,R,KC1,OF,Chuck Essegian,1196
fiscb101,Fischer,Bill,R,R,KC1,P,Bill Fischer,1196
gielp101,Giel,Paul,R,R,KC1,P,Paul Giel,1196
hankj101,Hankins,Jay,L,R,KC1,OF,Jay Hankins,1196
herbr101,Herbert,Ray,R,R,KC1,P,Ray Herbert,1196
howsd101,Howser,Dick,R,R,KC1,SS,Dick Howser,1196
johnd103,Johnson,Deron,R,R,KC1,OF,Deron Johnson,1196
johnk102,Johnson,Ken,R,R,KC1,P,Ken Johnson,1196
johns102,Johnson,Stan,L,L,KC1,OF,Stan Johnson,1196
keege101,Keegan,Ed,R,R,KC1,P,Ed Keegan,1196
kirkb101,Kirk,Bill,L,L,KC1,P,Bill Kirk,1196
kliml101,Klimchock,Lou,L,R,KC1,1B,Lou Klimchock,1196
kraul102,Krausse,Lew,R,R,KC1,P,Lew Krausse,1196
kunkb101,Kunkel,Bill,R,R,KC1,P,Bill Kunkel,1196
larsd102,Larsen,Don,R,R,KC1,P,Don Larsen,1196
lumpj101,Lumpe,Jerry,L,R,KC1,2B,Jerry Lumpe,1196
mackg101,MacKenzie,Gordon,R,R,KC1,C,Gordon MacKenzie,1196
mcdem102,McDermott,Mickey,L,L,KC1,P,Mickey McDermott,1196
nuxhj101,Nuxhall,Joe,L,L,KC1,P,Joe Nuxhall,1196
pfisd101,Pfister,Dan,R,R,KC1,P,Dan Pfister,1196
pignj101,Pignatano,Joe,R,R,KC1,C,Joe Pignatano,1196
pilaa101,Pilarcik,Al,L,L,KC1,OF,Al Pilarcik,1196
posal101,Posada,Leo,R,R,KC1,OF,Leo Posada,1196
presb101,Prescott,Bobby,R,R,KC1,OF,Bobby Prescott,1196
rakoe101,Rakow,Ed,B,R,KC1,P,Ed Rakow,1196
rivej101,Rivera,Jim,L,L,KC1,OF,Jim Rivera,1196
shawb103,Shaw,Bob,R,R,KC1,P,Bob Shaw,1196
shoec101,Shoemaker,Charlie,L,R,KC1,2B,Charlie Shoemaker,1196
siebn101,Siebern,Norm,L,R,KC1,1B,Norm Siebern,1196
stalg103,Staley,Gerry,R,R,KC1,P,Gerry Staley,1196
stepg101,Stephens,Gene,L,R,KC1,OF,Gene Stephens,1196
sullh101,Sullivan,Haywood,R,R,KC1,C,Haywood Sullivan,1196
throm101,Throneberry,Marv,L,L,KC1,1B,Marv Throneberry,1196
tuttb101,Tuttle,Bill,R,R,KC1,OF,Bill Tuttle,1196
virgo101,Virgil,Ozzie,R,R,KC1,3B,Ozzie Virgil,1196
walkj104,Walker,Jerry,B,R,KC1,P,Jerry Walker,1196
wickd101,Wickersham,Dave,R,R,KC1,P,Dave Wickersham,1196
wyatj102,Wyatt,John,R,R,KC1,P,John Wyatt,1196
baueh101,Bauer,Hank,R,R,KC1,OF,Hank Bauer,1196
blemr101,Blemker,Ray,R,L,KC1,P,Ray Blemker,1196
boakc101,Boak,Chet,R,R,KC1,2B,Chet Boak,1196
brigj101,Briggs,John,R,R,KC1,P,John Briggs,1196
brung101,Brunet,George,R,L,KC1,P,George Brunet,1196
carea101,Carey,Andy,R,R,KC1,3B,Andy Carey,1196
cervb101,Cerv,Bob,R,R,KC1,OF,Bob Cerv,1196
chith101,Chiti,Harry,R,R,KC1,C,Harry Chiti,1196
daleb102,Daley,Bud,L,L,KC1,P,Bud Daley,1196
dalep101,Daley,Pete,R,R,KC1,C,Pete Daley,1196
