game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,htbf
NYA191104210,"""version 7RS(19) of 07/07/92""",WS1,NYA,1911/04/21,NYC13,0,0:00PM,day,false,connt901,mullj901,(none),(none),"""73,69""","""Turocy""","""Turocy""",1998/10/11 8:21PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,100,18000,groob101,fordr101,,,
NYA191104240,"""version 7RS(19) of 07/07/92""",WS1,NYA,1911/04/24,NYC13,0,0:00PM,day,false,mullj901,connt901,(none),(none),"""73""","""Turocy""","""Turocy""",1998/10/11 9:35PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,130,7000,quinj102,johnw102,caldr101,,
NYA191104290,"""version 7RS(19) of 07/07/92""",PHA,NYA,1911/04/29,NYC13,0,0:00PM,day,false,connt901,mullj901,(none),(none),"""65""","""Tom Thress""","""Tom Thress""",2025/02/14 9:45AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,138,18000,plane101,vaugh101,,,
NYA191105020,"""version 7RS(19) of 07/07/92""",PHA,NYA,1911/05/02,NYC13,0,0:00PM,day,false,connt901,mullj901,(none),(none),"""76,73,109""","""Turocy""","""Turocy""",1998/10/26 8:16PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,95,7000,fordr101,bendc101,,,
NYA191105030,"""version 7RS(19) of 07/07/92""",PHA,NYA,1911/05/03,NYC13,0,0:00PM,day,false,connt901,mullj901,(none),(none),"""73""","""Turocy""","""Turocy""",1998/10/26 11:47PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,120,5000,coomj101,fishr101,,,
NYA191105040,"""version 7RS(19) of 07/07/92""",BOS,NYA,1911/05/04,NYC13,0,0:00PM,day,false,evanb901,eganr101,(none),(none),"""73""","""Turocy""","""Turocy""",1998/10/28 9:54PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,114,4000,woodj108,caldr101,,,
NYA191105050,"""version 7RS(19) of 07/07/92""",BOS,NYA,1911/05/05,NYC13,0,0:00PM,day,false,eganr101,evanb901,(none),(none),"""73""","""Turocy""","""Turocy""",1998/10/29 2:44AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,118,5000,hallc103,brocl101,,,
NYA191105060,"""version 7RS(19) of 07/07/92""",BOS,NYA,1911/05/06,NYC13,0,0:00PM,day,false,evanb901,eganr101,(none),(none),"""270""","""Howard Johnson""","""Howard Johnson""",2016/05/22 12:34AM,park,none,0,unknown,-1,unknown,unknown,unknown,130,14000,fordr101,cicoe101,,,
NYA191105080,"""version 7RS(19) of 07/07/92""",BOS,NYA,1911/05/08,NYC13,0,0:00PM,day,false,eganr101,evanb901,(none),(none),"""73""","""Turocy""","""Turocy""",1998/11/02 2:28AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,83,2500,woodj108,caldr101,,,
NYA191106010,"""version 7RS(19) of 07/07/92""",SLA,NYA,1911/06/01,NYC13,0,0:00PM,day,false,mullj901,evanb901,(none),(none),"""73""","""Turocy""","""Turocy""",1998/12/22 5:26PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,132,3000,quinj102,powej105,,,
NYA191106020,"""version 7RS(19) of 07/07/92""",SLA,NYA,1911/06/02,NYC13,0,0:00PM,day,false,evanb901,mullj901,(none),(none),"""73""","""Turocy""","""Turocy""",1998/12/22 6:04PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,110,3000,fishr101,hamie101,,,
NYA191106030,"""version 7RS(19) of 07/07/92""",SLA,NYA,1911/06/03,NYC13,0,0:00PM,day,false,mullj901,evanb901,(none),(none),"""73""","""Turocy""","""Turocy""",1998/12/23 1:38AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,93,4000,warhj101,lakej101,,,
NYA191106080,"""version 7RS(19) of 07/07/92""",CHA,NYA,1911/06/08,NYC13,0,0:00PM,day,false,evanb901,mullj901,(none),(none),"""73,109""","""Turocy""","""Turocy""",1999/01/14 8:36PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,125,12000,walse101,fordr101,,,
NYA191106090,"""version 7RS(19) of 07/07/92""",CHA,NYA,1911/06/09,NYC13,0,0:00PM,day,false,mullj901,evanb901,(none),(none),"""73,109""","""Turocy""","""Turocy""",1999/01/14 8:57PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,118,6000,fishr101,bakej101,quinj102,,
NYA191106100,"""version 7RS(19) of 07/07/92""",CLE,NYA,1911/06/10,NYC13,0,0:00PM,day,false,olous901,connt901,(none),(none),"""73,39""","""Turocy/RWood""","""Turocy/RWood""",1998/12/30 7:10PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,130,12000,warhj101,gregv101,,,
NYA191106120,"""version 7RS(19) of 07/07/92""",CLE,NYA,1911/06/12,NYC13,0,0:00PM,day,false,connt901,olous901,(none),(none),"""73""","""Turocy""","""Turocy""",1998/12/30 8:33PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,106,3000,quinj102,jameb103,,,
NYA191106130,"""version 7RS(19) of 07/07/92""",CLE,NYA,1911/06/13,NYC13,0,0:00PM,day,false,olous901,connt901,(none),(none),"""39,96,99,118,606""","""Alex Jakovljevic""","""Rob Wood""",2025/05/04 10:40PM,park,none,0,unknown,-1,unknown,unknown,unknown,105,1500,vaugh101,kahlg101,,,
NYA191106140,"""version 7RS(19) of 07/07/92""",DET,NYA,1911/06/14,NYC13,0,0:00PM,day,false,connt901,olous901,(none),(none),"""73""","""Turocy""","""Turocy""",1998/12/30 11:33PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,107,10000,fordr101,summe101,,,
NYA191106150,"""version 7RS(19) of 07/07/92""",DET,NYA,1911/06/15,NYC13,0,0:00PM,day,false,olous901,connt901,(none),(none),"""73""","""Turocy""","""Turocy""",1998/12/30 11:43PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,100,10000,fishr101,mullg102,,,
NYA191106170,"""version 7RS(19) of 07/07/92""",DET,NYA,1911/06/17,NYC13,0,0:00PM,day,false,connt901,olous901,(none),(none),"""73""","""Turocy""","""Turocy""",1999/01/01 8:16PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,100,25000,warhj101,donob101,,,
NYA191106190,"""version 7RS(19) of 07/07/92""",BOS,NYA,1911/06/19,NYC13,0,0:00PM,day,false,olous901,connt901,(none),(none),"""96,99,269,163,574""","""Cliff Blau""","""Cliff Blau""",2025/05/05 4:44PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,120,8000,woodj108,caldr101,,,
NYA191106200,"""version 7RS(19) of 07/07/92""",BOS,NYA,1911/06/20,NYC13,0,0:00PM,day,false,connt901,olous901,(none),(none),"""73""","""Turocy""","""Turocy""",1999/01/01 11:26PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,125,7000,vaugh101,hallc103,,,
NYA191106210,"""version 7RS(19) of 07/07/92""",BOS,NYA,1911/06/21,NYC13,0,0:00PM,day,false,olous901,connt901,(none),(none),"""73""","""Turocy""","""Turocy""",1999/01/02 12:48AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,115,6000,killj101,fishr101,woodj108,,
NYA191106220,"""version 7RS(19) of 07/07/92""",BOS,NYA,1911/06/22,NYC13,0,0:00PM,day,false,connt901,olous901,(none),(none),"""73""","""Turocy""","""Turocy""",1999/01/02 1:56PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,49,6000,warhj101,papel101,,,
NYA191106230,"""version 7RS(19) of 07/07/92""",WS1,NYA,1911/06/23,NYC13,0,0:00PM,day,false,olous901,connt901,(none),(none),"""73""","""Turocy""","""Turocy""",1999/01/02 4:50PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,105,5000,quinj102,johnw102,,,
NYA191106241,"""version 7RS(19) of 07/07/92""",WS1,NYA,1911/06/24,NYC13,1,0:00PM,day,false,connt901,olous901,(none),(none),"""96,99,222,408,408a,427""","""Rob Wood""","""Rob Wood""",2025/05/13 5:18PM,park,none,0,unknown,-1,unknown,unknown,unknown,137,0,caldr101,grayd101,,,
