game_id,inputprogvers,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi
CLE191204110,"""version 7RS(19) of 07/07/92""",DET,CLE,CLE06,1912/04/11,0,3:00PM,day,false,perrb901,dinnb101,(none),(none),"""56,39""","""Mike Grahek""","""Mike Grahek""",2015/01/13 3:36PM,park,none,0,unknown,-1,unknown,unknown,unknown,140,19304,mitcw101,mullg102,,
CLE191204120,"""version 7RS(19) of 07/07/92""",DET,CLE,CLE06,1912/04/12,0,3:00PM,day,false,dinnb101,perrb901,(none),(none),"""56,39""","""Mike Grahek""","""Mike Grahek""",2015/01/14 1:24PM,park,none,0,unknown,-1,unknown,unknown,unknown,90,3442,baskj101,wille103,,
CLE191204130,"""version 7RS(19) of 07/07/92""",DET,CLE,CLE06,1912/04/13,0,3:00PM,day,false,dinnb101,perrb901,(none),(none),"""56""","""Mike Grahek""","""Mike Grahek""",2015/03/19 6:54AM,park,none,0,unknown,-1,unknown,unknown,unknown,140,8303,burnb101,georl101,,
CLE191204140,"""version 7RS(19) of 07/07/92""",DET,CLE,CLE06,1912/04/14,0,2:55PM,day,false,dinnb101,perrb901,(none),(none),"""156,85""","""Mike Grahek""","""Mike Grahek""",2015/10/01 12:57PM,park,none,0,unknown,-1,unknown,unknown,unknown,100,17975,covit101,kahlg101,,
CLE191204150,"""version 7RS(19) of 07/07/92""",SLA,CLE,CLE06,1912/04/15,0,3:00PM,day,false,perrb901,dinnb101,(none),(none),"""39,208""","""Mike Grahek""","""Mike Grahek""",2015/02/10 10:31AM,park,none,0,unknown,-1,unknown,unknown,unknown,120,3957,mitcw101,peltb101,,
CLE191204160,"""version 7RS(19) of 07/07/92""",SLA,CLE,CLE06,1912/04/16,0,3:00PM,day,false,dinnb101,perrb901,(none),(none),"""208,39""","""Mike Grahek""","""Mike Grahek""",2015/02/06 1:51PM,park,none,0,unknown,-1,unknown,unknown,unknown,140,2904,blanf102,browe101,,
CLE191204230,"""version 7RS(19) of 07/07/92""",CHA,CLE,CLE06,1912/04/23,0,0:00PM,day,false,perrb901,dinnb101,(none),(none),"""69,109""","""Mike Grahek""","""Mike Grahek""",1998/11/18 10:44AM,park,none,0,unknown,-1,unknown,unknown,unknown,108,3477,walse101,mitcw101,,
CLE191204240,"""version 7RS(19) of 07/07/92""",CHA,CLE,CLE06,1912/04/24,0,0:00PM,day,false,dinnb101,perrb901,(none),(none),"""69,109""","""Mike Grahek""","""Mike Grahek""",1998/11/19 1:29PM,park,none,0,unknown,-1,unknown,unknown,unknown,125,2953,langf101,georl101,,
CLE191204250,"""version 7RS(19) of 07/07/92""",CHA,CLE,CLE06,1912/04/25,0,0:00PM,day,false,perrb901,dinnb101,(none),(none),"""69,109""","""Mike Grahek""","""Mike Grahek""",1998/11/20 2:51PM,park,none,0,unknown,-1,unknown,unknown,unknown,115,3830,benzj101,krapg101,,
CLE191205120,"""version 7RS(19) of 07/07/92""",WS1,CLE,CLE06,1912/05/12,0,3:00PM,day,false,connt901,hartb901,(none),(none),"""408,39""","""Mike Grahek""","""Mike Grahek""",2015/03/06 12:14PM,park,none,0,unknown,-1,unknown,unknown,unknown,130,7361,kahlg101,akerj101,,
CLE191205251,"""version 7RS(19) of 07/07/92""",SLA,CLE,CLE06,1912/05/25,1,0:00PM,day,false,connt901,hartb901,(none),(none),"""102,128,208,39""","""Rob Wood""","""Rob Wood""",2023/08/11 9:41PM,park,none,0,unknown,-1,unknown,unknown,unknown,145,0,baskj101,lakej101,,
CLE191205252,"""version 7RS(19) of 07/07/92""",SLA,CLE,CLE06,1912/05/25,2,0:00PM,day,false,hartb901,connt901,(none),(none),"""102,128,208,39""","""Rob Wood""","""Rob Wood""",2023/08/12 2:18PM,park,none,0,unknown,-1,unknown,unknown,unknown,130,9220,browe101,blanf102,hamie101,
