game_id,inputprogvers,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,htbf,gametype
NY1191304100,"""version 7RS(19) of 07/07/92""",BSN,NY1,NYC14,1913/04/10,0,0:00PM,day,false,klemb901,ortha101,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2013/07/31 1:16PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,110,22000,perdh101,tesrj101,,,,
NY1191304140,"""version 7RS(19) of 07/07/92""",BRO,NY1,NYC14,1913/04/14,0,0:00PM,day,false,klemb901,ortha101,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2013/08/02 1:14PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,105,5000,allef101,tesrj101,,,,
NY1191304220,"""version 7RS(19) of 07/07/92""",PHI,NY1,NYC14,1913/04/22,0,0:00PM,day,false,riglc901,byrol901,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2013/08/11 7:43PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,170,15000,,,,,,
NY1191304230,"""version 7RS(19) of 07/07/92""",PHI,NY1,NYC14,1913/04/23,0,0:00PM,day,false,riglc901,byrol901,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2013/08/13 7:47PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,86,10000,mathc102,brena101,,,,
NY1191304240,"""version 7RS(19) of 07/07/92""",PHI,NY1,NYC14,1913/04/24,0,0:00PM,day,false,klemb901,ortha101,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2013/08/14 7:59PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,107,12000,amesr101,moore103,,,,
NY1191304250,"""version 7RS(19) of 07/07/92""",PHI,NY1,NYC14,1913/04/25,0,0:00PM,day,false,klemb901,ortha101,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2013/08/16 1:32PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,124,10000,,,,,,
NY1191305060,"""version 7RS(19) of 07/07/92""",CIN,NY1,NYC14,1913/05/06,0,0:00PM,day,false,brenb901,easom101,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2013/08/30 7:53PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,128,3500,tesrj101,suggg101,demaa101,,,
NY1191305070,"""version 7RS(19) of 07/07/92""",CIN,NY1,NYC14,1913/05/07,0,0:00PM,day,false,brenb901,easom101,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2013/08/31 7:58PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,108,3500,mathc102,bentr102,,,,
NY1191305080,"""version 7RS(19) of 07/07/92""",CIN,NY1,NYC14,1913/05/08,0,0:00PM,day,false,brenb901,easom101,(none),(none),"""73""","""Cliff Blau/RWood""","""Cliff Blau/RWood""",2013/09/02 1:02PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,115,5000,johnc102,tesrj101,,,,
NY1191305090,"""version 7RS(19) of 07/07/92""",CIN,NY1,NYC14,1913/05/09,0,0:00PM,day,false,brenb901,easom101,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2013/09/03 3:51PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,114,3000,froma101,marqr102,,,,
NY1191305100,"""version 7RS(19) of 07/07/92""",CHN,NY1,NYC14,1913/05/10,0,0:00PM,day,false,klemb901,ortha101,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2013/09/04 3:37PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,107,25000,chenl101,demaa101,,,,
NY1191305120,"""version 7RS(19) of 07/07/92""",CHN,NY1,NYC14,1913/05/12,0,0:00PM,day,false,klemb901,ortha101,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2013/09/05 3:49PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,83,7500,mathc102,richl102,,,,
NY1191305130,"""version 7RS(19) of 07/07/92""",CHN,NY1,NYC14,1913/05/13,0,0:00PM,day,false,klemb901,ortha101,(none),(none),"""277""","""Cliff Blau""","""Cliff Blau""",2013/09/06 7:47PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,122,8000,tesrj101,tonef101,,,,
NY1191305140,"""version 7RS(19) of 07/07/92""",CHN,NY1,NYC14,1913/05/14,0,0:00PM,day,false,klemb901,ortha101,(none),(none),"""73""","""Cliff Blau/RWood""","""Cliff Blau/RWood""",2013/09/07 7:58PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,149,11000,marqr102,lavej101,amesr101,,,
NY1191305150,"""version 7RS(19) of 07/07/92""",PIT,NY1,NYC14,1913/05/15,0,0:00PM,day,false,odayh101,emslb101,(none),(none),"""137""","""Greg Beston""","""Greg Beston""",2004/12/27 7:35PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,105,7000,robih102,demaa101,,,,
NY1191305160,"""version 7RS(19) of 07/07/92""",PIT,NY1,NYC14,1913/05/16,0,0:00PM,day,false,odayh101,emslb101,(none),(none),"""137""","""Greg Beston""","""Greg Beston""",2005/01/03 5:29PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,115,7000,mathc102,otoom101,,,,
NY1191305170,"""version 7RS(19) of 07/07/92""",PIT,NY1,NYC14,1913/05/17,0,0:00PM,day,false,odayh101,emslb101,(none),(none),"""137""","""Greg Beston""","""Greg Beston""",2005/01/03 6:48PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,164,2000,,,,,,
NY1191305190,"""version 7RS(19) of 07/07/92""",PIT,NY1,NYC14,1913/05/19,0,0:00PM,day,false,odayh101,emslb101,(none),(none),"""137""","""Greg Beston""","""Greg Beston""",2005/01/03 8:19PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,200,7500,tesrj101,hendc101,,,,
NY1191305200,"""version 7RS(19) of 07/07/92""",SLN,NY1,NYC14,1913/05/20,0,0:00PM,day,false,riglc901,byrol901,(none),(none),"""73""","""Cliff Blau/RWood""","""Cliff Blau/RWood""",2013/09/13 3:37PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,100,9000,harmb101,mathc102,,,,
