game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi
BSN191704120,"""version 7RS(19) of 07/07/92""",NY1,BSN,1917/04/12,BOS08,0,3:15PM,day,false,byrol901,quige901,(none),(none),"""71,163,74,574,606,99,96""","""David W. Smith""","""David W. Smith""",2023/07/22 10:10PM,park,none,0,unknown,-1,unknown,unknown,unknown,136,6000,salls101,rudod101,,
BSN191704140,"""version 7RS(19) of 07/07/92""",NY1,BSN,1917/04/14,BOS08,0,0:00PM,day,false,quige901,byrol901,(none),(none),"""73,71,163,274,606,99,96""","""Cliff Blau/David W. Smith""","""Cliff Blau/David W. Smith""",2023/07/24 1:39PM,park,none,0,unknown,-1,unknown,unknown,unknown,120,9000,tesrj101,tylel101,,
BSN191704160,"""version 7RS(19) of 07/07/92""",PHI,BSN,1917/04/16,BOS08,0,0:00PM,day,false,odayh101,brank101,(none),(none),"""286""",,"""Cliff Blau""",2016/09/05 7:44PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,88,1500,barnj102,alexg102,,
BSN191704191,"""version 7RS(19) of 07/07/92""",PHI,BSN,1917/04/19,BOS08,1,0:00,day,false,odayh101,brank101,(none),(none),"""286""","""Cliff Blau""","""Cliff Blau""",2016/09/06 4:02PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,130,6000,rudod101,rixee101,,
BSN191704192,"""version 7RS(19) of 07/07/92""",PHI,BSN,1917/04/19,BOS08,2,0:00PM,day,false,odayh101,brank101,(none),(none),"""286""",,"""Cliff Blau""",2016/09/06 7:45PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,95,20000,barnj102,oescj101,,
BSN191705040,"""version 7RS(19) of 07/07/92""",BRO,BSN,1917/05/04,BOS08,0,0:00PM,day,false,odayh101,brank101,(none),(none),"""71,163,141,589,591,99,96""","""David W. Smith""","""David W. Smith""",2023/08/02 1:35PM,park,none,0,unknown,-1,unknown,unknown,unknown,105,3000,cadol101,allef101,,
BSN191705070,"""version 7RS(19) of 07/07/92""",BRO,BSN,1917/05/07,BOS08,0,0:00PM,day,false,odayh101,brank101,(none),(none),"""71,163,574,141,589,591,99,96""","""David W. Smith""","""David W. Smith""",2023/08/03 3:41PM,park,none,0,unknown,-1,unknown,unknown,unknown,100,1500,rudod101,smits102,,
BSN191705080,"""version 7RS(19) of 07/07/92""",BRO,BSN,1917/05/08,BOS08,0,0:00PM,day,false,odayh101,brank101,(none),(none),"""589""","""Rob Wood""","""Rob Wood""",2023/07/29 2:46PM,park,none,0,unknown,-1,unknown,unknown,unknown,113,1400,tylel101,pfefj101,,
BSN191705100,"""version 7RS(19) of 07/07/92""",PIT,BSN,1917/05/10,BOS08,0,0:00PM,day,false,riglc901,harrp901,(none),(none),"""Pitt. Post""","""Cliff Blau""","""Cliff Blau""",2001/05/28 3:50PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,130,500,grimb101,nehfa101,,
BSN191705110,"""version 7RS(19) of 07/07/92""",PIT,BSN,1917/05/11,BOS08,0,0:00PM,day,false,ortha101,riglc901,(none),(none),"""Pitt. Post""","""Cliff Blau""","""Cliff Blau""",2001/05/28 6:09PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,120,700,rudod101,jacoe101,,
BSN191705140,"""version 7RS(19) of 07/07/92""",CHN,BSN,1917/05/14,BOS08,0,0:00PM,day,false,odayh101,harrp901,(none),(none),"""277""","""Cliff Blau""","""Cliff Blau""",2017/01/18 3:57PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,110,6100,dougp101,rudod101,,
BSN191705150,"""version 7RS(19) of 07/07/92""",CHN,BSN,1917/05/15,BOS08,0,0:00PM,day,false,odayh101,harrp901,(none),(none),"""277""","""Cliff Blau""","""Cliff Blau""",2017/01/18 7:49PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,93,3000,vaugh101,tylel101,,
BSN191705160,"""version 7RS(19) of 07/07/92""",CHN,BSN,1917/05/16,BOS08,0,0:00PM,day,false,odayh101,harrp901,(none),(none),"""277""","""Wayne Townsend""","""Wayne Townsend""",2015/12/22 10:00AM,park,none,0,unknown,-1,unknown,unknown,unknown,109,3100,aldrv101,reule101,,
BSN191705170,"""version 7RS(19) of 07/07/92""",CHN,BSN,1917/05/17,BOS08,0,0:00PM,day,false,odayh101,harrp901,(none),(none),"""277""","""Wayne Townsend""","""Wayne Townsend""",2015/12/22 2:42PM,park,none,0,unknown,-1,unknown,unknown,unknown,110,2500,seatt102,allef101,,
BSN191705180,"""version 7RS(19) of 07/07/92""",CIN,BSN,1917/05/18,BOS08,0,0:00PM,day,false,byrol901,quige901,(none),(none),"""71,163,240,572,574,610""","""Rob Wood""","""Rob Wood""",2023/08/24 8:02AM,park,none,0,unknown,-1,unknown,unknown,unknown,118,3300,ringj101,rudod101,,
BSN191705190,"""version 7RS(19) of 07/07/92""",CIN,BSN,1917/05/19,BOS08,0,0:00PM,day,false,byrol901,quige901,(none),(none),"""71,163,240,572""","""Rob Wood""","""Rob Wood""",2023/09/02 9:49PM,park,none,0,unknown,-1,unknown,unknown,unknown,89,10000,barnj102,tonef101,,
BSN191705210,"""version 7RS(19) of 07/07/92""",CIN,BSN,1917/05/21,BOS08,0,0:00PM,day,false,byrol901,quige901,(none),(none),"""71,163,240,572,574,610""","""Rob Wood""","""Rob Wood""",2023/09/04 1:07PM,park,none,0,unknown,-1,unknown,unknown,unknown,116,3000,schnp101,tylel101,,
BSN191705250,"""version 7RS(19) of 07/07/92""",SLN,BSN,1917/05/25,BOS08,0,0:00PM,day,false,klemb901,brank101,(none),(none),"""128,163,208,269,574""","""Wayne Townsend""","""Wayne Townsend""",2023/08/12 2:49PM,park,none,0,unknown,-1,soaked,unknown,overcast,110,1000,rudod101,watsm102,,
BSN191705260,"""version 7RS(19) of 07/07/92""",SLN,BSN,1917/05/26,BOS08,0,0:00PM,day,false,klemb901,brank101,(none),(none),TSN Box,,,,unknown,none,0,unknown,-1,unknown,unknown,unknown,105,7000,doakb101,ragap101,,
BSN191705301,"""version 7RS(19) of 07/07/92""",BRO,BSN,1917/05/30,BOS08,1,0:00AM,day,false,riglc901,ortha101,(none),(none),"""Even. Telegram""","""Cliff Blau""","""Cliff Blau""",2008/01/10 7:44PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,90,3500,rudod101,coomj101,,
BSN191705302,"""version 7RS(19) of 07/07/92""",BRO,BSN,1917/05/30,BOS08,2,0:00PM,day,false,riglc901,ortha101,(none),(none),"""589""","""Rob Wood""","""Rob Wood""",2023/08/30 1:41PM,park,none,0,unknown,-1,unknown,unknown,unknown,80,10700,tylel101,cadol101,,
BSN191706190,"""version 7RS(19) of 07/07/92""",NY1,BSN,1917/06/19,BOS08,0,0:00PM,day,false,klemb901,brank101,(none),(none),"""96,99,163,269,574,606""","""Wayne Townsend""","""Wayne Townsend""",2023/08/26 11:02AM,park,none,0,unknown,-1,unknown,unknown,unknown,102,5000,schuf102,rudod101,,
BSN191706201,"""version 7RS(19) of 07/07/92""",NY1,BSN,1917/06/20,BOS08,1,0:00PM,day,false,klemb901,brank101,(none),(none),"""71,96,99,163,574,606""","""Jim Herdman""","""Jim Herdman""",2023/08/29 10:13AM,park,none,0,unknown,-1,dry,none,sunny,130,0,tylel101,andef101,,
BSN191706202,"""version 7RS(19) of 07/07/92""",NY1,BSN,1917/06/20,BOS08,2,0:00PM,day,false,klemb901,brank101,(none),(none),"""71,96,99,163,574,606""","""Jim Herdman""","""Jim Herdman""",2023/08/29 1:37PM,park,none,0,unknown,-1,dry,none,sunny,95,10000,perrp101,barnj102,,
BSN191706210,"""version 7RS(19) of 07/07/92""",NY1,BSN,1917/06/21,BOS08,0,0:00PM,day,false,klemb901,brank101,(none),(none),TSN Box,,,,unknown,none,0,unknown,-1,unknown,unknown,unknown,106,4500,tesrj101,ragap101,,
BSN191706220,"""version 7RS(19) of 07/07/92""",NY1,BSN,1917/06/22,BOS08,0,0:00PM,day,false,klemb901,brank101,(none),(none),"""71,163,574,606,99,96""","""David W. Smith""","""David W. Smith""",2023/08/29 10:01PM,park,none,0,unknown,-1,unknown,unknown,unknown,120,3500,nehfa101,perrp101,,
