game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,scorer,translator,inputter,inputtime,umphome,ump1b,ump2b,ump3b,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,umplf,umprf
BRO191905020,"""version 7RS(19) of 07/07/92""",BSN,BRO,1919/05/02,NYC15,0,0:00PM,day,false,"""73""","""Ron Fisher""","""Ron Fisher""",2002/07/01 2:30AM,riglc901,morac102,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,100,10000,pfefj101,rudod101,,,,
BRO191905030,"""version 7RS(19) of 07/07/92""",BSN,BRO,1919/05/03,NYC15,0,0:00PM,day,false,"""73,71,141,96""","""Ron Fisher/Smith""","""Ron Fisher/Smith""",2002/07/01 3:13PM,riglc901,morac102,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,175,16000,cadol101,keatr101,,,,
BRO191905040,"""version 7RS(19) of 07/07/92""",BSN,BRO,1919/05/04,NYC15,0,3:00PM,day,false,"""73,96,141,163,274,395,591""","""Fisher/Herdman""","""Fisher/Herdman""",2023/01/23 1:41PM,riglc901,morac102,(none),(none),park,none,0,unknown,-1,dry,none,sunny,110,25000,marqr102,ragap101,,,,
BRO191905060,"""version 7RS(19) of 07/07/92""",PHI,BRO,1919/05/06,NYC15,0,0:00PM,day,false,"""73,266,96,141,74""","""Ron Fisher/Smith/RWood""","""Ron Fisher/Smith/RWood""",2002/07/07 12:28AM,riglc901,morac102,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,137,12000,grimb101,prenm101,,,,
BRO191905080,"""version 7RS(19) of 07/07/92""",PHI,BRO,1919/05/08,NYC15,0,0:00PM,day,false,"""73,74""","""Ron Fisher/RWood""","""Ron Fisher/RWood""",2002/07/08 9:21AM,riglc901,morac102,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,77,4000,pfefj101,watsm102,,,,
BRO191905110,"""version 7RS(19) of 07/07/92""",NY1,BRO,1919/05/11,NYC15,0,0:00PM,day,false,"""96,141,395,589,591,606""","""Wayne Townsend""","""Wayne Townsend""",2023/01/25 12:09PM,klemb901,emslb101,(none),(none),park,none,0,unknown,-1,soaked,drizzle,overcast,95,15000,causr101,cadol101,,,,
BRO191905120,"""version 7RS(19) of 07/07/92""",NY1,BRO,1919/05/12,NYC15,0,0:00PM,day,false,"""141,395,589,591,606,65,96""","""David W. Smith""","""David W. Smith""",2023/01/26 5:13PM,klemb901,emslb101,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,132,5000,barnj102,grimb101,,,,
BRO191905130,"""version 7RS(19) of 07/07/92""",CIN,BRO,1919/05/13,NYC15,0,0:00PM,day,false,"""487""","""Howard Johnson""","""Howard Johnson""",2015/02/05 5:30PM,klemb901,emslb101,(none),(none),park,none,0,unknown,-1,unknown,unknown,sunny,120,7000,pfefj101,fishr101,,,,
BRO191905140,"""version 7RS(19) of 07/07/92""",CIN,BRO,1919/05/14,NYC15,0,0:00PM,day,false,"""487""","""Howard Johnson""","""Howard Johnson""",2015/02/06 12:00AM,klemb901,emslb101,(none),(none),park,none,0,unknown,-1,unknown,unknown,sunny,102,5000,grimb101,bresr101,,,,
BRO191905150,"""version 7RS(19) of 07/07/92""",CIN,BRO,1919/05/15,NYC15,0,0:00PM,day,false,"""73,487""","""Ron Fisher""","""Ron Fisher""",2002/07/21 1:16PM,klemb901,emslb101,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,145,2000,elleh101,mamaa101,,,,
BRO191905160,"""version 7RS(19) of 07/07/92""",CIN,BRO,1919/05/16,NYC15,0,0:00PM,day,false,"""73""","""Ron Fisher""","""Ron Fisher""",2002/07/22 10:22AM,klemb901,emslb101,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,0,5000,luqud101,marqr102,,,,
BRO191905180,"""version 7RS(19) of 07/07/92""",CHN,BRO,1919/05/18,NYC15,0,0:00PM,day,false,"""141,591,589,606,395,111,96""","""David W. Smith""","""David W. Smith""",2023/01/29 6:34PM,byrol901,harrp901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,101,25000,pfefj101,hendc101,,,,
BRO191905190,"""version 7RS(19) of 07/07/92""",CHN,BRO,1919/05/19,NYC15,0,0:00PM,day,false,"""73""","""Ron Fisher""","""Ron Fisher""",2002/07/24 10:12AM,harrp901,byrol901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,99,4000,vaugh101,grimb101,,,,
BRO191905200,"""version 7RS(19) of 07/07/92""",CHN,BRO,1919/05/20,NYC15,0,0:00PM,day,false,"""73,109""","""Ron Fisher""","""Ron Fisher/DWV""",2002/07/29 1:47PM,byrol901,harrp901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,105,2500,dougp101,marqr102,alexg102,,,
BRO191905230,"""version 7RS(19) of 07/07/92""",PIT,BRO,1919/05/23,NYC15,0,0:00,day,false,"""137""","""""","""DWV""",,quige901,odayh101,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,115,4000,pfefj101,millf102,,,,
BRO191905240,"""version 7RS(19) of 07/07/92""",PIT,BRO,1919/05/24,NYC15,0,0:00,day,false,"""137""","""""","""DWV""",,odayh101,quige901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,106,7000,grimb101,mayee101,,,,
BRO191905250,,PIT,BRO,1919/05/25,NYC15,0,0:00,day,false,"""137""","""""","""DWV""",,riglc901,morac102,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,85,18000,smits102,hamie101,,,,
BRO191905260,"""version 7RS(19) of 07/07/92""",SLN,BRO,1919/05/26,NYC15,0,0:00PM,day,false,"""73,102,128,141,96""","""Ron Fisher/Smith""","""Ron Fisher/Smith""",2002/08/06 10:30AM,riglc901,morac102,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,105,5000,grimb101,meadl101,,,,
BRO191905270,"""version 7RS(19) of 07/07/92""",SLN,BRO,1919/05/27,NYC15,0,0:00PM,day,false,"""73,96,102,128,141,208,395,589""","""Ron Fisher,Wayne Townsend""","""Ron Fisher,Wayne Townsend""",2023/02/01 12:47PM,riglc901,morac102,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,100,4000,doakb101,mamaa101,,,,
BRO191905280,"""version 7RS(19) of 07/07/92""",SLN,BRO,1919/05/28,NYC15,0,0:00PM,day,false,"""73,96,102,128,141,208,395,589,591""","""Fisher/Herdman""","""Fisher/Herdman""",2023/02/01 9:56PM,riglc901,morac102,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,158,4000,tuero101,pfefj101,,,,
BRO191906010,"""version 7RS(19) of 07/07/92""",PHI,BRO,1919/06/01,NYC15,0,0:00PM,day,false,"""73,141,589,196,395,591,96,266""","""David W. Smith""","""David W. Smith""",2023/02/03 3:51PM,byrol901,harrp901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,193,18000,watsm102,pfefj101,,,,
BRO191906241,"""version 7RS(19) of 07/07/92""",NY1,BRO,1919/06/24,NYC15,1,0:00PM,day,false,"""589,96,141,395,591,606""","""Rob Wood""","""Rob Wood""",2023/02/07 10:17AM,byrol901,harrp901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,121,0,tonef101,cadol101,,,,
BRO191906242,"""version 7RS(19) of 07/07/92""",NY1,BRO,1919/06/24,NYC15,2,0:00PM,day,false,"""73,141,96""","""Ron Fisher/Smith""","""Ron Fisher/Smith""",2002/09/02 10:31AM,harrp901,byrol901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,126,17000,mitcc102,barnj102,,,,
BRO191906250,"""version 7RS(19) of 07/07/92""",NY1,BRO,1919/06/25,NYC15,0,0:00PM,day,false,"""73,141,589""","""Ron Fisher/RWood""","""Ron Fisher/RWood""",2002/09/02 10:01PM,byrol901,harrp901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,120,4000,chenl101,causr101,,,,
BRO191906281,"""version 7RS(19) of 07/07/92""",PHI,BRO,1919/06/28,NYC15,1,0:00PM,day,false,"""270""","""Howard Johnson""","""Howard Johnson""",2016/06/16 11:58PM,riglc901,mccob104,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,84,0,cadol101,rixee101,,,,
BRO191906282,"""version 7RS(19) of 07/07/92""",PHI,BRO,1919/06/28,NYC15,2,0:00PM,day,false,"""73,266,141,96,74""","""Ron Fisher/Smith/RWood""","""Ron Fisher/Smith/RWood""",2002/09/02 10:14PM,riglc901,mccob104,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,115,12000,mamaa101,jacoe101,,,,
BRO191906290,"""version 7RS(19) of 07/07/92""",PHI,BRO,1919/06/29,NYC15,0,0:00PM,day,false,"""141,189,591,96,266""","""David W. Smith""","""David W. Smith""",2023/02/16 3:38PM,riglc901,mccob104,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,114,8000,smits102,woodf102,,,,
BRO191907041,"""version 7RS(19) of 07/07/92""",BSN,BRO,1919/07/04,NYC15,1,0:00PM,day,false,"""73""","""Ron Fisher""","""Ron Fisher""",2002/09/10 11:59AM,mccob104,harrp901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,104,6000,cadol101,nehfa101,,,,
BRO191907042,"""version 7RS(19) of 07/07/92""",BSN,BRO,1919/07/04,NYC15,2,0:00PM,day,false,"""141,395,589,591,163,274,71,96""","""Cliff Blau""","""Cliff Blau""",2023/02/19 3:53PM,harrp901,mccob104,(none),(none),unknown,none,0,unknown,-1,unknown,unknown,unknown,106,3000,rudod101,smits102,,,,
