game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,gametype
CHN192004220,"""version 7RS(19) of 07/07/92""",CIN,CHN,1920/04/22,CHI11,0,0:00PM,day,false,klemb901,emslb101,(none),(none),"""277,111,240,610""","""Rob Wood""","""Rob Wood""",2022/11/16 3:27PM,park,none,0,unknown,-1,unknown,unknown,unknown,133,10000,alexg102,ruetd101,,,
CHN192004230,"""version 7RS(19) of 07/07/92""",CIN,CHN,1920/04/23,CHI11,0,0:00PM,day,false,klemb901,emslb101,(none),(none),"""277""","""Cliff Blau""","""Cliff Blau""",2015/05/24 1:32PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,101,0,elleh101,newkj101,,,
CHN192004240,"""version 7RS(19) of 07/07/92""",CIN,CHN,1920/04/24,CHI11,0,0:00PM,day,false,klemb901,emslb101,(none),(none),"""277""","""Cliff Blau""","""Cliff Blau""",2015/05/24 7:18PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,103,10000,fishr101,vaugh101,,,
CHN192004250,"""version 7RS(19) of 07/07/92""",PIT,CHN,1920/04/25,CHI11,0,0:00PM,day,false,morac102,riglc901,(none),(none),"""137""","""D Lamoureaux""","""D Lamoureaux""",2006/03/23 3:01PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,180,14000,adamb104,hendc101,,,
CHN192004280,"""version 7RS(19) of 07/07/92""",PIT,CHN,1920/04/28,CHI11,0,0:00PM,day,false,riglc901,morac102,(none),(none),"""137""","""D Lamoureaux""","""D Lamoureaux""",2006/03/23 3:14PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,101,2000,alexg102,coopw101,,,
CHN192004290,"""version 7RS(19) of 07/07/92""",SLN,CHN,1920/04/29,CHI11,0,0:00PM,day,false,morac102,riglc901,(none),(none),"""277""","""Cliff Blau""","""Cliff Blau""",2015/05/25 1:33PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,105,5000,vaugh101,doakb101,,,
CHN192005010,"""version 7RS(19) of 07/07/92""",SLN,CHN,1920/05/01,CHI11,0,0:00PM,day,false,riglc901,morac102,(none),(none),"""128""","""Cliff Blau""","""Cliff Blau""",2015/07/26 7:28PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,130,12000,jacoe101,cartp101,hainj101,,
CHN192005020,"""version 7RS(19) of 07/07/92""",SLN,CHN,1920/05/02,CHI11,0,0:00PM,day,false,klemb901,emslb101,(none),(none),"""111,208""","""Cliff Blau""","""Cliff Blau""",2022/11/22 7:42PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,140,0,alexg102,hainj101,,,
CHN192005090,"""version 7RS(19) of 07/07/92""",PIT,CHN,1920/05/09,CHI11,0,0:00PM,day,false,klemb901,emslb101,(none),(none),"""137""","""D Lamoureaux""","""D Lamoureaux""",2006/03/28 2:28PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,130,0,marts102,adamb104,cartp101,,
CHN192005130,"""version 7RS(19) of 07/07/92""",BRO,CHN,1920/05/13,CHI11,0,0:00PM,day,false,mccob104,fyfel901,(none),(none),"""73,277""","""Comly/Smith""","""Comly/Smith""",1996/11/11 7:10PM,park,none,0,unknown,-1,unknown,unknown,unknown,100,3000,alexg102,pfefj101,,,
CHN192005140,"""version 7RS(19) of 07/07/92""",BSN,CHN,1920/05/14,CHI11,0,0:00PM,day,false,hartb901,mccob104,(none),(none),"""71,111,277""","""Rob Wood""","""Rob Wood""",2022/12/06 10:33PM,park,none,0,unknown,-1,unknown,unknown,unknown,110,0,hendc101,scotj101,cartp101,,
CHN192005150,"""version 7RS(19) of 07/07/92""",BSN,CHN,1920/05/15,CHI11,0,0:00PM,day,false,mccob104,hartb901,(none),(none),"""71,111,277""","""Rob Wood""","""Rob Wood""",2022/12/07 9:50AM,park,none,0,unknown,-1,unknown,unknown,unknown,85,5000,vaugh101,filld101,,,
CHN192005160,"""version 7RS(19) of 07/07/92""",BSN,CHN,1920/05/16,CHI11,0,0:00PM,day,false,hartb901,mccob104,(none),(none),"""71,111""","""Wayne Townsend""","""Wayne Townsend""",2022/11/28 2:53PM,park,none,0,unknown,-1,unknown,unknown,overcast,84,0,alexg102,hearb102,,,
CHN192005180,"""version 7RS(19) of 07/07/92""",NY1,CHN,1920/05/18,CHI11,0,0:00PM,day,false,riglc901,morac102,(none),(none),"""73,96,111,277,395,606""","""Comly/RWood""","""Comly/RWood""",1996/11/12 12:17AM,park,none,0,unknown,-1,unknown,unknown,unknown,175,5000,nehfa101,marts102,,,
CHN192005190,"""version 7RS(19) of 07/07/92""",NY1,CHN,1920/05/19,CHI11,0,0:00PM,day,false,morac102,riglc901,(none),(none),"""73,96,111,277,395,606""","""Comly/RWood""","""Comly/RWood""",1996/11/12 12:30AM,park,none,0,unknown,-1,unknown,unknown,unknown,118,8000,barnj102,marts102,,,
CHN192005200,"""version 7RS(19) of 07/07/92""",NY1,CHN,1920/05/20,CHI11,0,0:00PM,day,false,riglc901,morac102,(none),(none),"""73,96,111,395,606""","""Comly/RWood""","""Comly/RWood""",1996/11/12 4:03PM,park,none,0,unknown,-1,unknown,unknown,unknown,109,4000,alexg102,nehfa101,,,
CHN192005210,"""version 7RS(19) of 07/07/92""",NY1,CHN,1920/05/21,CHI11,0,0:00PM,day,false,morac102,riglc901,(none),(none),"""73""","""Comly""","""Comly""",1996/11/12 5:01PM,park,none,0,unknown,-1,unknown,unknown,unknown,102,6000,tonef101,tylel101,,,
CHN192005220,"""version 7RS(19) of 07/07/92""",PHI,CHN,1920/05/22,CHI11,0,0:00PM,day,false,klemb901,emslb101,(none),(none),"""111,266,277""","""Rob Wood""","""Rob Wood""",2022/12/06 4:15PM,park,none,0,unknown,-1,unknown,unknown,unknown,128,0,marts102,weinl101,,,
CHN192005240,"""version 7RS(19) of 07/07/92""",PHI,CHN,1920/05/24,CHI11,0,0:00PM,day,false,klemb901,emslb101,(none),(none),"""111,266""","""Wayne Townsend""","""Wayne Townsend""",2022/11/29 5:44PM,park,none,0,unknown,-1,unknown,unknown,unknown,80,0,alexg102,rixee101,,,
CHN192005250,"""version 7RS(19) of 07/07/92""",PHI,CHN,1920/05/25,CHI11,0,0:00PM,day,false,klemb901,emslb101,(none),(none),"""111,266,277""","""Rob Wood""","""Rob Wood""",2022/11/26 9:51PM,park,none,0,unknown,-1,unknown,unknown,unknown,99,0,vaugh101,gallb103,,,
