game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,scorer,translator,inputter,inputtime,umphome,ump1b,ump2b,ump3b,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,gametype
BSN192104130,"""version 7RS(19) of 07/07/92""",BRO,BSN,1921/04/13,BOS08,0,0:00PM,day,false,"""73""","""Ron Fisher""","""Ron Fisher""",1996/08/22 2:42PM,brenb901,emslb101,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,110,15000,mamaa101,oescj101,smits102,,
BSN192104140,"""version 7RS(19) of 07/07/92""",BRO,BSN,1921/04/14,BOS08,0,0:00PM,day,false,"""73""","""Ron Fisher""","""Ron Fisher""",1996/09/27 2:38AM,brenb901,emslb101,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,105,1000,mcquh101,ruetd101,,,
BSN192104150,"""version 7RS(19) of 07/07/92""",BRO,BSN,1921/04/15,BOS08,0,0:00PM,day,false,"""73""","""Ron Fisher/RWood""","""Ron Fisher/RWood""",1996/09/27 9:06AM,brenb901,emslb101,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,130,1000,scotj101,miljj101,,,
BSN192104160,"""version 7RS(19) of 07/07/92""",BRO,BSN,1921/04/16,BOS08,0,0:00PM,day,false,"""73""","""Ron Fisher""","""Ron Fisher""",1996/09/27 9:22AM,brenb901,emslb101,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,90,10000,watsm103,cadol101,,,
BSN192104190,"""version 7RS(19) of 07/07/92""",NY1,BSN,1921/04/19,BOS08,0,0:00PM,day,false,"""73""","""Ron Fisher""","""Ron Fisher""",1996/10/01 1:16AM,brenb901,emslb101,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,130,15000,dougp101,mcquh101,,,
BSN192104200,"""version 7RS(19) of 07/07/92""",NY1,BSN,1921/04/20,BOS08,0,0:00PM,day,false,"""73""","""Ron Fisher/RWood""","""Ron Fisher/RWood""",1996/10/01 10:48PM,brenb901,emslb101,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,135,10000,nehfa101,scotj101,barnj102,,
BSN192105040,"""version 7RS(19) of 07/07/92""",PHI,BSN,1921/05/04,BOS08,0,0:00PM,day,false,"""119""","""Ron Fisher/RWood""","""Ron Fisher/RWood""",1998/09/25 6:29PM,hartb901,mccob104,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,112,1500,filld101,meadl101,,,
BSN192105070,"""version 7RS(19) of 07/07/92""",PHI,BSN,1921/05/07,BOS08,0,0:00PM,day,false,"""119""","""Ron Fisher""","""Ron Fisher""",1997/12/05 2:39AM,mccob104,hartb901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,133,6000,mcquh101,ringj101,,,
BSN192105100,"""version 7RS(19) of 07/07/92""",PIT,BSN,1921/05/10,BOS08,0,0:00PM,day,false,"""137""","""Ron Fisher""","""Ron Fisher""",1997/08/17 11:05PM,brenb901,emslb101,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,99,6500,coopw101,oescj101,,,
BSN192105110,"""version 7RS(19) of 07/07/92""",PIT,BSN,1921/05/11,BOS08,0,0:00PM,day,false,"""137""","""Ron Fisher""","""Ron Fisher""",1997/08/18 8:28AM,brenb901,emslb101,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,144,3500,filld101,hamie101,,,
