game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,scorer,translator,inputter,inputtime,umphome,ump1b,ump2b,ump3b,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,gametype,oscorer
PHA192204200,"""version 7RS(19) of 07/07/92""",BOS,PHA,1922/04/20,PHI11,0,0:00PM,day,false,"""71,274,266,349""","""Jim Herdman""","""Jim Herdman""",2022/04/08 5:19PM,owenb901,chilo901,(none),(none),unknown,none,0,unknown,-1,dry,unknown,sunny,135,8000,pennh101,romme101,,,,
PHA192204220,"""version 7RS(19) of 07/07/92""",BOS,PHA,1922/04/22,PHI11,0,0:00PM,day,false,"""451""","""Cliff Blau""","""Cliff Blau""",2014/09/27 7:40PM,chilo901,owenb901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,115,12000,karrb101,harrs101,,,,
PHA192204280,"""version 7RS(19) of 07/07/92""",WS1,PHA,1922/04/28,PHI11,0,0:00PM,day,false,"""451""","""Cliff Blau""","""Cliff Blau""",2014/09/28 8:49AM,connt901,wilsf901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,135,0,mogrg101,harrs101,,,,
PHA192204290,"""version 7RS(19) of 07/07/92""",WS1,PHA,1922/04/29,PHI11,0,0:00PM,day,false,"""451""","""Cliff Blau""","""Cliff Blau""",2014/09/28 1:09PM,wilsf901,connt901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,126,12000,heimf101,philt102,romme101,,,
PHA192205010,"""version 7RS(19) of 07/07/92""",WS1,PHA,1922/05/01,PHI11,0,0:00PM,day,false,"""451""","""Cliff Blau""","""Cliff Blau""",2014/09/28 3:53PM,wilsf901,connt901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,135,0,harrs101,erice101,,,,
PHA192205020,"""version 7RS(19) of 07/07/92""",WS1,PHA,1922/05/02,PHI11,0,0:00PM,day,false,"""222,266,408,408a,427""","""Jim Herdman""","""Jim Herdman""",2022/04/11 1:26PM,wilsf901,connt901,(none),(none),unknown,none,0,unknown,-1,unknown,unknown,unknown,125,3000,hastb101,mogrg101,,,,
PHA192205030,"""version 7RS(19) of 07/07/92""",NYA,PHA,1922/05/03,PHI11,0,0:00PM,day,false,"""98,451""","""DWV/Smith""","""DWV/Smith""",1997/11/18 2:57PM,wilsf901,connt901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,115,5000,romme101,hoytw101,,,,
PHA192205050,"""version 7RS(19) of 07/07/92""",NYA,PHA,1922/05/05,PHI11,0,0:00PM,day,false,"""98,451""","""DWV/Smith""","""DWV/Smith""",1997/11/18 3:23PM,connt901,wilsf901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,110,4000,shawb102,moorr102,,,,
PHA192205060,"""version 7RS(19) of 07/07/92""",NYA,PHA,1922/05/06,PHI11,0,0:00PM,day,false,"""98,451""","""DWV/Smith""","""DWV/Smith""",1997/11/18 3:52PM,wilsf901,connt901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,71,15000,maysc101,harrs101,,,,
PHA192205080,"""version 7RS(19) of 07/07/92""",CLE,PHA,1922/05/08,PHI11,0,0:00PM,day,false,"""39""","""DWV""","""DWV""",1998/02/20 9:05AM,wilsf901,connt901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,135,0,uhleg101,hastb101,,,,
PHA192205090,"""version 7RS(19) of 07/07/92""",CLE,PHA,1922/05/09,PHI11,0,0:00PM,day,false,"""39""","""DWV""","""DWV""",1998/02/20 9:30AM,wilsf901,connt901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,125,0,romme101,coves101,,,,
PHA192205100,"""version 7RS(19) of 07/07/92""",CLE,PHA,1922/05/10,PHI11,0,0:00PM,day,false,"""39""","""DWV""","""DWV""",1998/02/20 10:44AM,wilsf901,hildg101,(none),connt901,park,none,0,unknown,-1,unknown,unknown,unknown,135,0,yarrr101,sotha101,harrs101,,,
PHA192205110,"""version 7RS(19) of 07/07/92""",CLE,PHA,1922/05/11,PHI11,0,0:00PM,day,false,"""39""","""DWV""","""DWV""",1998/02/20 12:27PM,wilsf901,hildg101,(none),connt901,park,none,0,unknown,-1,unknown,unknown,unknown,140,0,mortg101,eckec101,,,,
PHA192205120,"""version 7RS(19) of 07/07/92""",SLA,PHA,1922/05/12,PHI11,0,0:00PM,day,false,"""102""","""D Lamoureaux""","""D Lamoureaux""",2001/02/13 1:30PM,connt901,wilsf901,(none),(none),unknown,none,0,unknown,-1,unknown,unknown,unknown,140,5000,shocu101,harrs101,,,,
PHA192205130,"""version 7RS(19) of 07/07/92""",SLA,PHA,1922/05/13,PHI11,0,0:00PM,day,false,"""102""","""D Lamoureaux""","""D Lamoureaux""",2001/02/13 1:46PM,wilsf901,connt901,(none),(none),unknown,none,0,unknown,-1,unknown,unknown,unknown,85,12000,romme101,vange101,,,,
