game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,scorer,translator,inputter,inputtime,umphome,ump1b,ump2b,ump3b,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,oscorer
BRO192304170,"""version 7RS(19) of 07/07/92""",PHI,BRO,1923/04/17,NYC15,0,3:30PM,day,false,"""73,351""","""David W. Smith""","""David W. Smith""",1996/10/30 3:56PM,mccob104,hartb901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,170,14000,,,,,
BRO192304180,"""version 7RS(19) of 07/07/92""",PHI,BRO,1923/04/18,NYC15,0,0:00PM,day,false,"""73""","""Wayne Townsend""","""Wayne Townsend""",1996/10/30 3:17PM,hartb901,mccob104,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,120,3000,grimb101,hubbb101,,,
BRO192304190,"""version 7RS(19) of 07/07/92""",PHI,BRO,1923/04/19,NYC15,0,0:00PM,day,false,"""73""","""Wayne Townsend""","""Wayne Townsend""",1996/10/30 9:55PM,mccob104,hartb901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,118,2500,ringj101,vancd101,,,
BRO192304200,"""version 7RS(19) of 07/07/92""",PHI,BRO,1923/04/20,NYC15,0,0:00PM,day,false,"""73""","""Wayne Townsend""","""Wayne Townsend""",1996/10/31 5:59PM,hartb901,mccob104,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,116,3000,wintj101,smitg104,,,
BRO192304210,"""version 7RS(19) of 07/07/92""",NY1,BRO,1923/04/21,NYC15,0,0:00PM,day,false,"""73""","""Wayne Townsend""","""Wayne Townsend""",1996/11/10 5:00PM,klemb901,derrd901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,101,22000,mcquh101,mamaa101,,,
BRO192304220,"""version 7RS(19) of 07/07/92""",NY1,BRO,1923/04/22,NYC15,0,0:00PM,day,false,"""73""","""Wayne Townsend""","""Wayne Townsend""",1996/11/19 1:10PM,klemb901,derrd901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,100,25000,scotj101,grimb101,,,
BRO192304230,"""version 7RS(19) of 07/07/92""",NY1,BRO,1923/04/23,NYC15,0,0:00PM,day,false,"""73""","""Wayne Townsend""","""Wayne Townsend""",1996/11/19 6:43PM,klemb901,derrd901,(none),(none),park,none,0,unknown,-1,unknown,unknown,cloudy,105,2500,jonnc101,vancd101,,,
BRO192304240,"""version 7RS(19) of 07/07/92""",NY1,BRO,1923/04/24,NYC15,0,0:00PM,day,false,"""73""","""Wayne Townsend""","""Wayne Townsend""",1996/12/08 7:29PM,klemb901,derrd901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,105,1500,johnf101,ruetd101,,,
BRO192304290,"""version 7RS(19) of 07/07/92""",BSN,BRO,1923/04/29,NYC15,0,0:00PM,day,false,"""73""","""Wayne Townsend""","""Wayne Townsend""",1997/01/12 10:25PM,mccob104,derrd901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,118,12000,bentl101,dickl101,watsm103,,
BRO192305060,"""version 7RS(19) of 07/07/92""",PHI,BRO,1923/05/06,NYC15,0,0:00PM,day,false,"""73""","""Wayne Townsend""","""Wayne Townsend""",1997/05/19 5:07PM,derrd901,mccob104,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,117,12000,cadol101,weinl101,,,
BRO192305080,"""version 7RS(19) of 07/07/92""",PIT,BRO,1923/05/08,NYC15,0,0:00PM,day,false,"""73,154""","""Wayne Townsend""","""Wayne Townsend""",1997/05/21 5:04PM,derrd901,mccob104,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,130,3500,morrj105,harph101,,,
BRO192305110,"""version 7RS(19) of 07/07/92""",PIT,BRO,1923/05/11,NYC15,0,0:00PM,day,false,"""73,154""","""Wayne Townsend""","""Wayne Townsend""",1997/05/22 2:15PM,mccob104,derrd901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,129,2000,grimb101,bagbj101,,,
BRO192305120,"""version 7RS(19) of 07/07/92""",CHN,BRO,1923/05/12,NYC15,0,0:00PM,day,false,"""109""","""Wayne Townsend""","""Wayne Townsend""",1999/08/05 9:49PM,quige901,pfirc901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,130,9000,dickl101,osbot101,,,
BRO192305130,"""version 7RS(19) of 07/07/92""",CHN,BRO,1923/05/13,NYC15,0,0:00PM,day,false,"""73""","""Wayne Townsend""","""Wayne Townsend""",1997/05/26 10:24AM,quige901,pfirc901,(none),(none),park,none,0,unknown,-1,wet,unknown,unknown,100,15000,alexg102,vancd101,,,
BRO192305140,"""version 7RS(19) of 07/07/92""",CHN,BRO,1923/05/14,NYC15,0,0:00PM,day,false,"""109""","""Wayne Townsend""","""Wayne Townsend""",1999/08/08 12:54PM,quige901,pfirc901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,110,2000,cadol101,aldrv101,,,
BRO192305160,"""version 7RS(19) of 07/07/92""",CHN,BRO,1923/05/16,NYC15,0,0:00PM,day,false,"""109""","""Wayne Townsend""","""Wayne Townsend""",1999/08/08 3:17PM,quige901,pfirc901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,116,2500,dickl101,dumon101,,,
BRO192305170,"""version 7RS(19) of 07/07/92""",SLN,BRO,1923/05/17,NYC15,0,0:00PM,day,false,"""128,73""","""Wayne Townsend""","""Wayne Townsend""",2001/02/02 8:40PM,klemb901,wilsf901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,100,4000,hainj101,grimb101,,,
BRO192305180,"""version 7RS(19) of 07/07/92""",SLN,BRO,1923/05/18,NYC15,0,0:00PM,day,false,"""128,73""","""Wayne Townsend""","""Wayne Townsend""",2001/02/03 1:16PM,klemb901,wilsf901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,115,4000,sherb101,vancd101,,,
BRO192305190,"""version 7RS(19) of 07/07/92""",SLN,BRO,1923/05/19,NYC15,0,0:00PM,day,false,"""73,128""","""Wayne Townsend""","""Wayne Townsend""",1997/07/23 8:35PM,klemb901,wilsf901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,105,12000,ruetd101,nortl101,,,
BRO192305200,"""version 7RS(19) of 07/07/92""",CIN,BRO,1923/05/20,NYC15,0,0:00PM,day,false,"""73""","""Wayne Townsend""","""Wayne Townsend""",1997/07/23 10:04PM,finnw901,morac102,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,85,21000,dickl101,coucj101,,,
BRO192305220,"""version 7RS(19) of 07/07/92""",CIN,BRO,1923/05/22,NYC15,0,0:00PM,day,false,"""73""","""Wayne Townsend""","""Wayne Townsend""",1997/07/28 7:28PM,morac102,finnw901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,130,4000,grimb101,donop102,,,
BRO192305230,"""version 7RS(19) of 07/07/92""",CIN,BRO,1923/05/23,NYC15,0,0:00PM,day,false,"""73""","""Wayne Townsend""","""Wayne Townsend""",1997/07/29 9:49AM,finnw901,morac102,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,87,4000,cadol101,rixee101,,,
BRO192305250,"""version 7RS(19) of 07/07/92""",BSN,BRO,1923/05/25,NYC15,0,0:00PM,day,false,"""73""","""Wayne Townsend""","""Wayne Townsend""",1997/07/29 9:41PM,quige901,pfirc901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,126,4000,bentl101,ruetd101,marqr102,,
BRO192305260,"""version 7RS(19) of 07/07/92""",BSN,BRO,1923/05/26,NYC15,0,0:00PM,day,false,"""73""","""Wayne Townsend""","""Wayne Townsend""",1997/07/30 4:59PM,quige901,pfirc901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,100,15000,dickl101,rudod101,,,
BRO192305270,"""version 7RS(19) of 07/07/92""",BSN,BRO,1923/05/27,NYC15,0,0:00PM,day,false,"""73""","""Wayne Townsend""","""Wayne Townsend""",1997/07/31 6:30PM,quige901,pfirc901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,139,22000,decaa101,bentl101,,,
BRO192306030,"""version 7RS(19) of 07/07/92""",BSN,BRO,1923/06/03,NYC15,0,0:00PM,day,false,"""73""","""Wayne Townsend""","""Wayne Townsend""",1997/08/20 3:36PM,finnw901,morac102,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,65,21000,ruetd101,oescj101,decaa101,,
BRO192306231,"""version 7RS(19) of 07/07/92""",PHI,BRO,1923/06/23,NYC15,1,0:00PM,day,false,"""73""","""Wayne Townsend""","""Wayne Townsend""",1997/09/30 6:11PM,quige901,pfirc901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,115,0,ruetd101,ringj101,smitg104,,
BRO192306232,"""version 7RS(19) of 07/07/92""",PHI,BRO,1923/06/23,NYC15,2,0:00PM,day,false,"""73""","""Wayne Townsend""","""Wayne Townsend""",1997/09/30 6:39PM,quige901,pfirc901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,102,20000,ringj101,decaa101,,,
