game_id,inputprogvers,visteam,hometeam,site,date,number,starttime,daynight,usedh,gametype,umphome,ump1b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,ump2b,ump3b
ACY192610010,"""version 7RS(19) of 07/07/92""",CAG,ACY,ACY01,1926/10/01,0,0:00PM,day,false,championship,hayeg901,fyfel901,"""Chicago Defender""","""Tom Thress""","""Tom Thress""",2020/09/13 5:47PM,park,none,0,unknown,-1,unknown,unknown,unknown,0,3158,,,,,,
ACY192610020,"""version 7RS(19) of 07/07/92""",CAG,ACY,ACY01,1926/10/02,0,0:00PM,day,false,championship,fyfel901,hayeg901,"""Chicago Defender""","""Tom Thress""","""Tom Thress""",2020/09/13 6:11PM,park,none,0,unknown,-1,unknown,unknown,unknown,0,1956,harng101,griec101,mcdow101,,,
ACY192610030,"""version 7RS(19) of 07/07/92""",CAG,ACY,BAL13,1926/10/03,0,0:00PM,day,false,championship,hayeg901,fyfel901,"""Chicago Defender""","""Tom Thress""","""Tom Thress""",2020/09/13 6:27PM,park,none,0,unknown,-1,unknown,unknown,unknown,0,2859,griec101,mcdow101,,,,
ACY192610040,"""version 7RS(19) of 07/07/92""",CAG,ACY,PHI09,1926/10/04,0,0:00PM,day,false,championship,fyfel901,hayeg901,"""Chicago Defender""","""Tom Thress""","""Tom Thress""",2020/09/13 10:52PM,park,none,0,unknown,-1,unknown,unknown,unknown,0,2121,,,,,,
ACY192610050,"""version 7RS(19) of 07/07/92""",CAG,ACY,PHI09,1926/10/05,0,0:00PM,day,false,championship,hayeg901,fyfel901,"""Chicago Defender""","""Tom Thress""","""Tom Thress""",2020/09/13 11:09PM,park,none,0,unknown,-1,unknown,unknown,unknown,0,1434,mitca102,currr101,,,,
ACY192610060,"""version 7RS(19) of 07/07/92""",CAG,ACY,ACY01,1926/10/06,0,0:00PM,day,false,championship,fyfel901,hayeg901,,"""Tom Thress""","""Tom Thress""",2020/09/15 10:32PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,1186,griec101,powew101,,,,
BRS192610110,"""version 7RS(19) of 07/07/92""",BRG,BRS,BRA01,1926/10/11,0,0:00PM,day,false,exhibition,cashd901,jaquc901,,"""Tom Thress""","""Tom Thress""",2021/10/09 10:43PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,2500,reddd101,oehmr101,,,,
CAG192609250,"""version 7RS(19) of 07/07/92""",KCM,CAG,CHI09,1926/09/25,0,0:00PM,day,false,lcs,,,,"""Tom Thress""","""Tom Thress""",2021/05/26 3:14PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,0,rogab101,fostw101,,,,
CAG192609260,"""version 7RS(19) of 07/07/92""",KCM,CAG,CHI09,1926/09/26,0,0:00PM,day,false,lcs,,,,"""Tom Thress""","""Tom Thress""",2021/05/26 4:17PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,0,currr101,brewc102,,,,
CAG192609280,"""version 7RS(19) of 07/07/92""",KCM,CAG,CHI09,1926/09/28,0,0:00PM,day,false,lcs,,,,"""Tom Thress""","""Tom Thress""",2021/05/26 5:22PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,0,harng101,bellw101,,,,
