game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,scorer,translator,inputter,inputtime,umphome,ump1b,ump2b,ump3b,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi
CHA192904250,"""version 7RS(19) of 07/07/92""",SLA,CHA,1929/04/25,CHI10,0,0:00PM,day,false,"""109,65,128,102""","""Ron Fisher""","""Ron Fisher""",1993/05/16 2:36PM,campb901,owenb901,(none),ormsr901,park,none,0,unknown,-1,unknown,unknown,unknown,118,10000,grays102,lyont102,,
CHA192904260,"""version 7RS(19) of 07/07/92""",SLA,CHA,1929/04/26,CHI10,0,0:00PM,day,false,"""109,102,128""","""Wayne Townsend""","""Wayne Townsend""",2002/06/25 6:32PM,owenb901,ormsr901,(none),campb901,park,none,0,unknown,-1,unknown,unknown,unknown,115,5000,crowg102,faber101,,
CHA192904270,"""version 7RS(19) of 07/07/92""",CLE,CHA,1929/04/27,CHI10,0,0:00PM,day,false,"""39,109""","""Wayne Townsend""","""Wayne Townsend""",2002/06/19 7:53PM,ormsr901,campb901,(none),owenb901,park,none,0,unknown,-1,unknown,unknown,unknown,103,8000,thomt103,shauj101,,
CHA192904280,"""version 7RS(19) of 07/07/92""",CLE,CHA,1929/04/28,CHI10,0,0:00PM,day,false,"""39""","""Wayne Townsend""","""Wayne Townsend""",2002/06/19 8:35PM,campb901,owenb901,(none),ormsr901,park,none,0,unknown,-1,unknown,unknown,unknown,100,12000,adkig101,millj109,,
CHA192904290,"""version 7RS(19) of 07/07/92""",CLE,CHA,1929/04/29,CHI10,0,0:00PM,day,false,"""39,109""","""Wayne Townsend""","""Wayne Townsend""",2002/06/19 10:06PM,owenb901,ormsr901,(none),campb901,park,none,0,unknown,-1,unknown,unknown,unknown,108,3000,lyont102,miljj101,,
CHA192904300,"""version 7RS(19) of 07/07/92""",CLE,CHA,1929/04/30,CHI10,0,0:00PM,day,false,"""39,109""","""Wayne Townsend""","""Wayne Townsend""",2002/06/21 4:31PM,owenb901,ormsr901,(none),campb901,park,none,0,unknown,-1,unknown,unknown,unknown,125,0,weilb101,hudlw101,dugad101,
CHA192905030,"""version 7RS(19) of 07/07/92""",DET,CHA,1929/05/03,CHI10,0,0:00PM,day,false,"""65,109""","""Ron Fisher""","""Ron Fisher""",1993/05/29 12:49AM,geish901,nalld901,(none),dinnb101,park,none,0,unknown,-1,unknown,unknown,unknown,99,2500,uhleg101,thomt103,,
CHA192905040,"""version 7RS(19) of 07/07/92""",NYA,CHA,1929/05/04,CHI10,0,0:00PM,day,false,"""109,65""","""Ron Fisher""","""Ron Fisher""",2002/07/03 2:46PM,guthb901,morig101,(none),hildg101,park,none,0,unknown,-1,unknown,unknown,unknown,149,25000,moorw101,mckah101,,
CHA192905050,"""version 7RS(19) of 07/07/92""",NYA,CHA,1929/05/05,CHI10,0,0:00PM,day,false,"""107""","""Cliff Blau/RWood""","""Cliff Blau/RWood""",2011/05/25 3:04PM,morig101,hildg101,(none),guthb901,unknown,none,0,unknown,-1,unknown,unknown,unknown,119,45000,pipgg101,adkig101,,
CHA192905060,"""version 7RS(19) of 07/07/92""",NYA,CHA,1929/05/06,CHI10,0,0:00PM,day,false,"""65,109""","""Ron Fisher/Townsend""","""Ron Fisher/Townsend""",1993/06/01 8:58PM,hildg101,guthb901,(none),morig101,park,none,0,unknown,-1,unknown,unknown,unknown,155,6000,heimf101,weilb101,hoytw101,
CHA192905070,"""version 7RS(19) of 07/07/92""",PHA,CHA,1929/05/07,CHI10,0,0:00PM,day,false,"""109""","""Wayne Townsend""","""Wayne Townsend""",2002/07/05 5:12PM,guthb901,morig101,(none),hildg101,park,none,0,unknown,-1,unknown,unknown,unknown,103,5000,thomt103,grovl101,,
CHA192905080,"""version 7RS(19) of 07/07/92""",PHA,CHA,1929/05/08,CHI10,0,0:00PM,day,false,"""109""","""Wayne Townsend""","""Wayne Townsend""",2002/07/05 11:22PM,morig101,hildg101,(none),guthb901,park,none,0,unknown,-1,unknown,unknown,unknown,112,2000,shorb102,faber101,,
CHA192905090,"""version 7RS(19) of 07/07/92""",PHA,CHA,1929/05/09,CHI10,0,0:00PM,day,false,"""109""","""Wayne Townsend""","""Wayne Townsend""",2002/07/07 11:17PM,hildg101,guthb901,(none),morig101,park,none,0,unknown,-1,unknown,none,sunny,130,3000,earng101,adkig101,,
CHA192905100,"""version 7RS(19) of 07/07/92""",WS1,CHA,1929/05/10,CHI10,0,0:00PM,day,false,"""109""","""Wayne Townsend""","""Wayne Townsend""",2002/07/09 2:49PM,dinnb101,nalld901,(none),geish901,park,none,0,unknown,-1,unknown,unknown,unknown,115,5000,braxg101,weilb101,,
