game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,translator,inputter,inputtime,scorer,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,edittime,gametype
BSN193304160,"""version 7RS(19) of 07/07/92""",PHI,BSN,1933/04/16,BOS08,0,0:00PM,day,false,klemb901,stard901,(none),(none),"""Dick Cramer""","""Dick Cramer""",2019/5/10 11:00AM,"""266,71,163,274""",unknown,none,0,unknown,-1,unknown,unknown,unknown,88,7500,berlj101,betth101,,,,
BSN193304190,,BRO,BSN,1933/04/19,BOS08,0,0:00,day,false,stard901,klemb901,(none),(none),"""""","""DWV""",,"""98""",park,none,0,unknown,-1,unknown,unknown,unknown,120,7000,beckb104,brane101,,,,
BSN193304280,"""version 7RS(19) of 07/07/92""",PHI,BSN,1933/04/28,BOS08,0,0:00PM,day,false,pfirc901,barrg901,(none),quige901,"""Rob Wood""","""David W. Smith""",2019/05/13 4:48PM,"""266,71,163,274""",park,none,0,unknown,-1,unknown,unknown,unknown,91,3000,cantb102,berlj101,,,,
BSN193304290,"""version 7RS(19) of 07/07/92""",PHI,BSN,1933/04/29,BOS08,0,0:00PM,day,false,barrg901,quige901,(none),pfirc901,"""Cliff Blau""","""Cliff Blau""",2013/03/27 8:00PM,"""210""",unknown,none,0,unknown,-1,unknown,unknown,unknown,92,5000,betth101,pearf101,,,,
BSN193304301,"""version 7RS(19) of 07/07/92""",NY1,BSN,1933/04/30,BOS08,1,0:00PM,day,false,pfirc901,quige901,(none),barrg901,"""Dick Cramer""","""Dick Cramer""",2019/5/13 11:00AM,"""71,163,274,96,104""",unknown,none,0,unknown,-1,unknown,unknown,unknown,88,0,falle101,hubbc101,,,,
BSN193304302,"""version 7RS(19) of 07/07/92""",NY1,BSN,1933/04/30,BOS08,2,0:00PM,day,false,quige901,barrg901,(none),pfirc901,"""Cliff Blau""","""Cliff Blau""",2013/03/30 1:32PM,"""310""",unknown,none,0,unknown,-1,unknown,unknown,unknown,119,33000,franf101,bellh101,brane101,,,
BSN193305020,"""version 7RS(19) of 07/07/92""",CIN,BSN,1933/05/02,BOS08,0,0:00PM,day,false,quige901,morac102,(none),(none),"""Frownfelter""","""Frownfelter""",2015/03/17 7:46PM,"""508""",park,none,0,unknown,-1,unknown,unknown,sunny,94,4000,smitb110,brane101,,,,
BSN193305030,,CIN,BSN,1933/05/03,BOS08,0,0:00,day,false,morac102,quige901,(none),(none),"""""","""DWV""",,"""98""",park,none,0,unknown,-1,unknown,unknown,unknown,103,3500,cantb102,lucar102,betth101,,,
BSN193305040,"""version 7RS(19) of 07/07/92""",CIN,BSN,1933/05/04,BOS08,0,0:00PM,day,false,quige901,morac102,(none),(none),"""Frownfelter""","""Frownfelter""",2015/03/18 1:37PM,"""508""",park,none,0,unknown,-1,unknown,unknown,sunny,86,3000,johns103,mangl101,,,,
BSN193305050,"""version 7RS(19) of 07/07/92""",CHN,BSN,1933/05/05,BOS08,0,0:00PM,day,false,klemb901,pfirc901,(none),mcgrt901,"""Cliff Blau""","""Cliff Blau""",2013/01/08 3:34PM,"""277""",unknown,none,0,unknown,-1,unknown,unknown,unknown,95,3500,betth101,rootc101,,,,
