game_id,inputprogvers,visteam,hometeam,site,date,number,gametype,starttime,daynight,usedh,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,umphome,ump1b,ump3b,ump2b
ASW193408260,"""version 7RS(19) of 07/07/92""",ASE,ASW,CHI10,1934/08/26,0,allstar,0:00PM,day,false,"""Pittsburgh Courier""","""Tom Thress""","""Tom Thress""",2020/08/12 10:43PM,park,none,0,unknown,-1,unknown,unknown,unknown,0,25000,paigs101,fostw101,,,,,,
CHM193410140,"""version 7RS(19) of 07/07/92""",KCM,CHM,CHI15,1934/10/14,0,exhibition,0:00PM,day,false,"""Chicago Defender""","""Dave Lamoureaux""","""Dave Lamoureaux""",2021/01/09 2:29PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,20000,deand102,brewc102,,,,,,
PH5193410020,"""version 7RS(19) of 07/07/92""",CAG,PH5,PHI16,1934/10/02,0,lcs,0:00PM,day,false,"""Philadelphia Tribune""","""Dave Lamoureaux""","""Dave Lamoureaux""",2021/04/24 3:27PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,130,2000,jones107,cornw101,,,crumj101,taylb108,,
PRG193410130,"""version 7RS(19) of 07/07/92""",PIR,PRG,LOS05,1934/10/13,0,exhibition,0:00PM,day,false,"""California Eagle""","""Dave Lamoureaux""","""Dave Lamoureaux""",2021/01/10 10:26AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,0,carts102,mcdoh101,,,,,,
PRG193410141,"""version 7RS(19) of 07/07/92""",PIR,PRG,LOS05,1934/10/14,1,exhibition,0:00PM,day,false,"""California Eagle""","""Dave Lamoureaux""","""Dave Lamoureaux""",2021/01/10 1:36PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,110,2500,porta103,frenl101,,,leakh901,hoodu901,devoj102,
PRG193410211,"""version 7RS(19) of 07/07/92""",WHK,PRG,LOS05,1934/10/21,1,exhibition,0:00PM,day,false,"""California Eagle""","""Dave Lamoureaux""","""Dave Lamoureaux""",2021/01/11 6:49PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,0,thurs101,willj117,,,,,,
PRG193410281,"""version 7RS(19) of 07/07/92""",PIR,PRG,LOS05,1934/10/28,1,exhibition,0:00PM,day,false,"""California Eagle""","""Dave Lamoureaux""","""Dave Lamoureaux""",2021/01/11 6:29PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,105,0,porta103,garll101,,,hessu901,hoodu901,,
PRG193411040,"""version 7RS(19) of 07/07/92""",WHK,PRG,LOS05,1934/11/04,0,exhibition,0:00PM,day,false,"""California Eagle""","""Dave Lamoureaux""","""Dave Lamoureaux""",2021/01/12 7:07PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,0,porta103,thurs101,,,leakh901,devoj102,,
CLE193404170,"""version 7RS(19) of 07/07/92""",SLA,CLE,CLE06,1934/04/17,0,,0:00PM,day,false,"""39""","""D Lamoureaux""","""D Lamoureaux""",2004/12/22 3:19PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,134,21000,hildo101,blaeg101,browl101,,morig101,geish901,(none),(none)
CLE193404180,"""version 7RS(19) of 07/07/92""",SLA,CLE,CLE06,1934/04/18,0,,0:00PM,day,false,"""39""","""D Lamoureaux""","""D Lamoureaux""",2004/12/22 3:25PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,103,2500,hadlb101,pearm101,,,geish901,morig101,(none),(none)
