game_id,inputprogvers,visteam,hometeam,site,date,number,gametype,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,innings
ASW193608230,"""version 7RS(19) of 07/07/92""",ASE,ASW,CHI10,1936/08/23,0,allstar,0:00PM,day,false,younr901,donab901,harrm103,craij901,"""Pittsburgh Courier""","""Tom Thress""","""Tom Thress""",2020/09/20 10:23PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,148,26400,matll101,cornw101,,,
CAG193605311,"""version 7RS(19) of 07/07/92""",KCM,CAG,CHI09,1936/05/31,1,exhibition,0:00PM,day,false,younr901,bluev901,,,,"""Tom Thress""","""Tom Thress""",2025/02/24 12:26AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,165,5385,coopa101,cornw101,,,
CAG193605312,"""version 7RS(19) of 07/07/92""",KCM,CAG,CHI09,1936/05/31,2,exhibition,0:00PM,day,false,bluev901,younr901,,,,"""Tom Thress""","""Tom Thress""",2025/02/24 1:17AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,5385,kranf101,trent101,,,7
CAG193606141,"""version 7RS(19) of 07/07/92""",CI1,CAG,CHI09,1936/06/14,1,exhibition,0:00PM,day,false,bluev901,younr901,,,,"""Tom Thress""","""Tom Thress""",2025/02/16 7:44AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,0,cornw101,housj103,,,
CAG193606142,"""version 7RS(19) of 07/07/92""",CI1,CAG,CHI09,1936/06/14,2,exhibition,0:00PM,day,false,younr901,bluev901,,,,"""Tom Thress""","""Tom Thress""",2025/02/16 8:27AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,0,trent101,mossp101,,,7
CAG193606150,"""version 7RS(19) of 07/07/92""",CI1,CAG,CHI09,1936/06/15,0,exhibition,0:00PM,night,false,younr901,bluev901,,,,"""Tom Thress""","""Tom Thress""",2025/02/24 7:31AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,0,ivork101,harrv104,,,
CI1193606210,"""version 7RS(19) of 07/07/92""",HOM,CI1,CIN07,1936/06/21,0,exhibition,0:00PM,day,false,reedp901,wardh901,,,,"""Tom Thress""","""Tom Thress""",2025/02/19 8:12AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,0,dulal101,mossp101,,,
CI1193609110,"""version 7RS(19) of 07/07/92""",CAG,CI1,RCI01,1936/09/11,0,exhibition,0:00PM,day,false,norru901,holtu901,,,,"""Tom Thress""","""Tom Thress""",2025/04/24 9:15PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,109,0,,,,,
HOM193604131,"""version 7RS(19) of 07/07/92""",WEG,HOM,ATL04,1936/04/13,1,exhibition,0:00PM,day,false,,,,,,"""Tom Thress""","""Tom Thress""",2025/02/13 12:09AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,1500,browr103,howar101,,,
HOM193604190,"""version 7RS(19) of 07/07/92""",NW2,HOM,ATL04,1936/04/19,0,exhibition,0:00PM,day,false,,,,,,"""Tom Thress""","""Tom Thress""",2025/02/13 12:32AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,1600,day-l101,browr103,evanb105,,
HOM193604200,"""version 7RS(19) of 07/07/92""",NW2,HOM,ATL04,1936/04/20,0,exhibition,0:00PM,day,false,,,,,,"""Tom Thress""","""Tom Thress""",2025/02/13 1:17AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,0,bevec101,welmr101,mcdut101,,
HOM193605301,"""version 7RS(19) of 07/07/92""",NW2,HOM,PIT06,1936/05/30,1,regular,0:00PM,day,false,harrm103,washu901,,,,"""Tom Thress""","""Tom Thress""",2025/02/20 11:43PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,0,parkt101,mcdut101,,,
HOM193606070,"""version 7RS(19) of 07/07/92""",PH5,HOM,CLE06,1936/06/07,0,regular,0:00PM,day,false,,,,,,"""Tom Thress""","""Tom Thress""",2025/02/17 7:49AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,6000,browr103,huntb106,,,
HOM193606080,"""version 7RS(19) of 07/07/92""",PH5,HOM,AKR01,1936/06/08,0,regular,0:00PM,night,false,garmu901,lobau901,,,,"""Tom Thress""","""Tom Thress""",2025/02/19 7:38AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,180,3000,parkt101,mcdow101,waita101,,
HOM193607051,"""version 7RS(19) of 07/07/92""",PTC,HOM,CLE06,1936/07/05,1,regular,0:00PM,day,false,craij901,washu901,hayeg901,willl902,,"""Tom Thress""","""Tom Thress""",2025/02/14 5:07PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,10000,browr103,harvb101,,,
HOM193607052,"""version 7RS(19) of 07/07/92""",PTC,HOM,CLE06,1936/07/05,2,regular,0:00PM,day,false,craij901,washu901,hayeg901,willl902,,"""Tom Thress""","""Tom Thress""",2025/02/14 5:37PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,10000,paigs101,welmr101,,,7
HOM193607100,"""version 7RS(19) of 07/07/92""",NY6,HOM,ALT02,1936/07/10,0,exhibition,0:00PM,night,false,,,,,,"""Tom Thress""","""Tom Thress""",2025/03/20 10:55PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,0,gisew101,holml101,,,
HOM193607110,"""version 7RS(19) of 07/07/92""",NY6,HOM,PIT09,1936/07/11,0,regular,0:00PM,day,false,craij901,washu901,,,,"""Tom Thress""","""Tom Thress""",2025/03/20 11:13PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,0,browr103,stann101,,,
HOM193608070,"""version 7RS(19) of 07/07/92""",PH5,HOM,MID03,1936/08/07,0,regular,0:00PM,night,false,fiela901,coopu901,,,,"""Tom Thress""","""Tom Thress""",2025/03/20 8:04AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,1100,thoms105,gisew101,,,
HOM193608180,"""version 7RS(19) of 07/07/92""",PH5,HOM,CAN03,1936/08/18,0,regular,0:00PM,night,false,turnu901,babcu901,,,,"""Tom Thress""","""Tom Thress""",2025/04/10 12:37AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,116,0,gisew101,ellir105,welmr101,,
HOM193608240,"""version 7RS(19) of 07/07/92""",KCM,HOM,SBD01,1936/08/24,0,exhibition,0:00PM,night,false,derou901,newmu901,,,,"""Tom Thress""","""Tom Thress""",2025/04/05 1:25AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,3500,wilsl102,parkt101,kranf101,,
HOM193608310,"""version 7RS(19) of 07/07/92""",PH5,HOM,AKR01,1936/08/31,0,regular,0:00PM,night,false,lobau901,garmu901,,,,"""Tom Thress""","""Tom Thress""",2025/04/20 11:54PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,147,0,welmr101,mcdow101,waita101,,
KCM193605240,"""version 7RS(19) of 07/07/92""",CAG,KCM,KAN05,1936/05/24,0,exhibition,0:00PM,day,false,mcdou901,stumu901,,,,"""Tom Thress""","""Tom Thress""",2025/02/21 1:07AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,2000,kranf101,cornw101,,,
KCM193608301,"""version 7RS(19) of 07/07/92""",CAG,KCM,KAN05,1936/08/30,1,exhibition,0:00PM,day,false,mcdou901,wheeu901,,,,"""Tom Thress""","""Tom Thress""",2025/04/11 5:26PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,3000,morrb104,cornw101,,,
KCM193608302,"""version 7RS(19) of 07/07/92""",CAG,KCM,KAN05,1936/08/30,2,exhibition,0:00PM,day,false,wheeu901,mcdou901,,,,"""Tom Thress""","""Tom Thress""",2025/04/11 5:34PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,3000,coopa101,crosn101,,,7
KCM193608310,"""version 7RS(19) of 07/07/92""",CAG,KCM,KAN05,1936/08/31,0,exhibition,0:00PM,night,false,stumu901,wheeu901,,,,"""Tom Thress""","""Tom Thress""",2025/04/21 12:41AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,2000,rogab101,thomw103,websd101,,
KCM193609200,"""version 7RS(19) of 07/07/92""",NNS,KCM,KAN05,1936/09/20,0,exhibition,0:00PM,day,false,wheeu901,mcdou901,,,,"""Alan Cohen""","""Tom Thress""",2025/04/24 5:36AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,3000,morrb104,grifb102,,,
MLS193610020,"""version 7RS(19) of 07/07/92""",NNS,MLS,DES01,1936/10/02,0,exhibition,0:00PM,night,false,willl902,haydu901,,,,"""Tom Thress""","""Tom Thress""",2025/02/03 6:36AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,150,3500,matll101,weavj101,,,
MLS193610041,"""version 7RS(19) of 07/07/92""",NNS,MLS,DEN03,1936/10/04,1,exhibition,0:00PM,day,false,darnu901,bridu901,,,,"""Tom Thress""","""Tom Thress""",2025/02/03 7:53AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,116,0,paigs101,winfj101,,,
