game_id,inputprogvers,visteam,hometeam,site,date,number,gametype,starttime,daynight,usedh,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,umphome,ump1b,innings,ump2b,ump3b,edittime
ASW193808210,"""version 7RS(19) of 07/07/92""",ASE,ASW,CHI10,1938/08/21,0,allstar,0:00PM,day,false,"""Chicago Defender""","""Tom Thress""","""Tom Thress""",2020/09/03 12:03AM,park,none,0,unknown,-1,unknown,unknown,unknown,0,30000,smith111,walke103,,,,,,,,
ATN193804240,"""version 7RS(19) of 07/07/92""",HOM,ATN,ATL04,1938/04/24,0,exhibition,0:00PM,day,false,"""Atlanta Daily World""","""Tom Thress""","""Tom Thress""",2020/08/30 5:52PM,park,none,0,unknown,-1,unknown,unknown,unknown,0,5000,browr103,mitcb104,,,,,,,,
ATN193804250,"""version 7RS(19) of 07/07/92""",HOM,ATN,ATL04,1938/04/25,0,exhibition,0:00PM,day,false,,"""Tom Thress""","""Tom Thress""",2024/06/14 1:11AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,500,partr102,fernb101,,,,,,,,
ATN193804260,"""version 7RS(19) of 07/07/92""",HOM,ATN,ATL04,1938/04/26,0,exhibition,0:00PM,day,false,,"""Tom Thress""","""Tom Thress""",2024/06/14 11:16PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,0,walke103,dixoe101,browr103,,harvu901,doylj901,,,,
ATN193805081,"""version 7RS(19) of 07/07/92""",CAG,ATN,ATL04,1938/05/08,1,exhibition,0:00PM,day,false,,"""Tom Thress""","""Tom Thress""",2024/06/15 12:14AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,125,0,johnt108,mitcb104,housj103,,harvu901,doylj901,,,,
ATN193805082,"""version 7RS(19) of 07/07/92""",CAG,ATN,ATL04,1938/05/08,2,exhibition,0:00PM,day,false,,"""Tom Thress""","""Tom Thress""",2024/06/15 12:53AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,0,cornw101,howat101,,,doylj901,harvu901,,,,
ATN193805120,"""version 7RS(19) of 07/07/92""",BIR,ATN,ATL04,1938/05/12,0,regular,0:00PM,day,false,,"""Tom Thress""","""Tom Thress""",2024/06/15 1:09AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,2500,howat101,blacc103,dixoe101,,,,,,,
ATN193805151,"""version 7RS(19) of 07/07/92""",BIR,ATN,ATL04,1938/05/15,1,regular,0:00PM,day,false,,"""Tom Thress""","""Tom Thress""",2024/06/18 11:18AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,3500,mitcb104,armsj101,,,,,,,,
ATN193805152,"""version 7RS(19) of 07/07/92""",BIR,ATN,ATL04,1938/05/15,2,regular,0:00PM,day,false,,"""Tom Thress""","""Tom Thress""",2024/06/18 12:38PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,3500,eatme101,howar101,,,,,7,,,
ATN193805170,"""version 7RS(19) of 07/07/92""",BIR,ATN,ATL04,1938/05/17,0,regular,0:00PM,night,false,,"""Tom Thress""","""Tom Thress""",2024/06/19 11:07PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,1500,mitcb104,burtd101,,,,,,,,
