game_id,hometeam,visteam,home_first_inning_runs,visiting_first_inning_runs,home_pitcher,away_pitcher,wp,lp,winner
ASW194008180,ASW,ASE,0,2,,,mcheh101,breme101,
BOS194004191,BOS,PHA,0,0,,D,hevij101,castg101,BOS
BOS194004192,BOS,PHA,0,3,,D,babij101,dicke101,PHA
BOS194004230,BOS,WS1,1,0,,D,harrm101,leond103,BOS
BOS194004240,BOS,WS1,0,0,,D,mastw101,hashh101,WS1
BOS194004260,BOS,NYA,4,0,,D,dicke101,pearm101,BOS
BOS194004300,BOS,CHA,0,0,,D,rignj101,dicke101,CHA
BOS194005010,BOS,CHA,0,1,,D,hashh101,eavev101,BOS
BOS194005030,BOS,SLA,1,0,,D,hevij101,whitj101,BOS
BOS194005040,BOS,SLA,1,0,,D,galed101,harrb109,BOS
BOS194005050,BOS,CLE,0,0,,D,fellb101,harrm101,CLE
BOS194005060,BOS,CLE,1,0,,D,dicke101,hudlw101,BOS
BOS194005070,BOS,CLE,1,0,,D,grovl101,naymm101,BOS
BOS194005090,BOS,DET,0,2,,D,hashh101,benta101,BOS
BOS194005260,BOS,NYA,0,0,,D,pearm101,hashh101,NYA
BOS194006010,BOS,CHA,0,0,,D,harrm101,knotj102,BOS
BOS194006021,BOS,CHA,0,3,,D,lyont102,butlb103,CHA
BOS194006022,BOS,CHA,3,1,,D,bagbj102,smite105,BOS
BOS194006030,BOS,CHA,0,2,,D,dietb101,ostef101,CHA
BOS194006040,BOS,SLA,0,0,,D,aukee101,dicke101,SLA
BOS194006050,BOS,SLA,0,0,,D,harrb109,bagbj102,SLA
BOS194006060,BOS,SLA,0,0,,D,grovl101,bilde101,BOS
BOS194006070,BOS,DET,0,0,,D,newhh101,butlb103,DET
BOS194006080,BOS,DET,0,0,,D,gorsj101,galed101,DET
BOS194006110,BOS,CLE,0,1,,D,wilsj103,fellb101,BOS
BOS194006120,BOS,CLE,0,0,,D,bagbj102,milna101,BOS
BOS194006280,BOS,WS1,0,0,,D,leond103,hevij101,WS1
BOS194006290,BOS,WS1,1,2,,D,hudss101,ostef101,WS1
BOS194007010,BOS,PHA,0,0,,D,pottn102,bagbj102,PHA
BOS194007021,BOS,PHA,0,0,,D,heuse101,galed101,PHA
BOS194007022,BOS,PHA,5,2,,D,harrm101,castg101,BOS
BOS194007030,BOS,PHA,0,0,,D,hevij101,pottn102,BOS
BOS194007041,BOS,NYA,0,3,,D,chans101,hashh101,NYA
BOS194007042,BOS,NYA,2,0,,D,russm101,dicke101,NYA
BOS194007110,BOS,CHA,0,0,,D,dicke101,rignj101,BOS
BOS194007131,BOS,CHA,0,0,,D,lyont102,bagbj102,CHA
BOS194007132,BOS,CHA,0,0,,D,knotj102,wilsj103,CHA
BOS194007141,BOS,SLA,0,0,,D,dicke101,kennv101,BOS
BOS194007142,BOS,SLA,1,0,,D,galed101,harrb109,BOS
BOS194007150,BOS,SLA,2,0,,D,hevij101,cox-b102,BOS
BOS194007171,BOS,DET,0,3,,D,ostef101,benta101,BOS
BOS194007172,BOS,DET,4,0,,D,bagbj102,smitc104,BOS
BOS194007180,BOS,DET,3,1,,D,seatt101,wilsj103,DET
BOS194007190,BOS,DET,0,0,,D,bridt101,galed101,DET
BOS194007200,BOS,CLE,1,0,,D,hardm101,johne105,CLE
BOS194007211,BOS,CLE,0,0,,D,fellb101,bagbj102,CLE
BOS194007212,BOS,CLE,0,0,,D,dobsj101,ostef101,CLE
BOS194008050,BOS,NYA,0,0,,D,ostef101,bonht101,BOS
BOS194008060,BOS,NYA,0,0,,D,hevij101,chans101,BOS
BOS194008071,BOS,NYA,0,0,,D,johne105,hadlb101,BOS
BOS194008072,BOS,NYA,0,0,,D,russm101,wilsj103,NYA
BOS194008080,BOS,NYA,0,1,,D,dicke101,hadlb101,BOS
BOS194008160,BOS,WS1,2,0,,D,wilsj103,krakj101,BOS
BOS194008170,BOS,WS1,2,3,,D,terry101,leond103,BOS
BOS194008180,BOS,WS1,0,0,,D,johne105,chask101,BOS
BOS194008190,BOS,CLE,1,1,,D,hevij101,dobsj101,BOS
BOS194008200,BOS,CLE,1,1,,D,fellb101,dicke101,CLE
BOS194008210,BOS,CLE,0,0,,D,hardm101,ostef101,CLE
BOS194008241,BOS,DET,0,0,,D,bridt101,hevij101,DET
BOS194008242,BOS,DET,2,0,,D,dicke101,troud101,BOS
BOS194008251,BOS,SLA,0,0,,D,niggj101,ostef101,SLA
BOS194008252,BOS,SLA,3,2,,D,wilsj103,milll102,BOS
BOS194008260,BOS,SLA,1,0,,D,bagbj102,harrb109,BOS
BOS194008280,BOS,CHA,0,0,,D,dietb101,hevij101,CHA
BOS194008290,BOS,CHA,0,0,,D,wilsj103,rignj101,BOS
BOS194009041,BOS,PHA,0,0,,D,hevij101,heuse101,BOS
BOS194009042,BOS,PHA,0,0,,D,ostef101,deanc101,BOS
BOS194009050,BOS,PHA,0,0,,D,johne105,beckb103,BOS
BOS194009070,BOS,NYA,1,1,,D,russm101,hevij101,NYA
BOS194009080,BOS,NYA,0,1,,D,chans101,ostef101,NYA
BOS194009260,BOS,WS1,1,0,,D,carra101,bagbj102,WS1
BOS194009270,BOS,WS1,1,2,,D,ostef101,montr101,BOS
BOS194009281,BOS,PHA,1,0,,D,hevij101,deanc101,BOS
BOS194009282,BOS,PHA,1,0,,D,wilsj103,heuse101,BOS
BOS194009292,BOS,PHA,0,1,,D,richw101,marcp101,BOS
