game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,scorer,translator,inputter,inputtime,umphome,ump1b,ump2b,ump3b,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,gametype,innings
WS1194004160,"""version 7RS(19) of 07/07/92""",BOS,WS1,1940/04/16,WAS09,0,0:00PM,day,false,"""276,71,96,163,611""","""Tom Thress,Wayne Townsend""","""Tom Thress,Wayne Townsend""",2017/11/07 11:11PM,hubbc901,morig101,romme101,rue-j901,park,none,0,unknown,-1,unknown,unknown,unknown,110,31000,grovl101,leond103,,,,
WS1194004180,"""version 7RS(19) of 07/07/92""",BOS,WS1,1940/04/18,WAS09,0,0:00PM,day,false,"""271""","""Frownfelter""","""Frownfelter""",2016/04/29 11:21PM,morig101,rue-j901,(none),hubbc901,radio,none,0,unknown,-1,unknown,unknown,unknown,116,5000,bagbj102,hudss101,,,,
WS1194004250,"""version 7RS(19) of 07/07/92""",PHA,WS1,1940/04/25,WAS09,0,0:00PM,day,false,482,"""Dick Cramer""","""Dick Cramer""",2014/06/13 9:00PM,summb901,quinj901,(none),pipgg101,unknown,none,0,unknown,-1,unknown,unknown,unknown,139,3000,carra101,castg101,,,,
WS1194004260,"""version 7RS(19) of 07/07/92""",PHA,WS1,1940/04/26,WAS09,0,0:00PM,day,false,482,"""Dick Cramer""","""Dick Cramer""",2014/06/14 8:00PM,quinj901,pipgg101,(none),summb901,unknown,none,0,unknown,-1,unknown,unknown,unknown,137,10000,holla101,pottn102,hudss101,,,
WS1194004270,"""version 7RS(19) of 07/07/92""",NYA,WS1,1940/04/27,WAS09,0,0:00PM,day,false,"""315,96,222""","""Pete Cottrell""","""Pete Cottrell""",2014/08/24 10:59AM,pipgg101,summb901,(none),quinj901,park,none,0,unknown,-1,unknown,unknown,unknown,139,15000,chask101,breum101,,,,
WS1194004280,"""version 7RS(19) of 07/07/92""",NYA,WS1,1940/04/28,WAS09,0,0:00PM,day,false,"""210,96,222""","""Pete Cottrell""","""Pete Cottrell""",2015/03/14 10:31AM,summb901,quinj901,(none),pipgg101,park,none,0,unknown,-1,unknown,unknown,unknown,115,32000,leond103,murpj103,,,,
WS1194004290,"""version 7RS(19) of 07/07/92""",NYA,WS1,1940/04/29,WAS09,0,0:00PM,day,false,"""315,96,222""","""Pete Cottrell""","""Pete Cottrell""",2014/08/25 11:21PM,quinj901,pipgg101,(none),summb901,park,none,0,unknown,-1,unknown,unknown,unknown,140,8000,chans101,mastw101,,,,
WS1194005010,"""version 7RS(19) of 07/07/92""",DET,WS1,1940/05/01,WAS09,0,0:00PM,day,false,"""56,212,222""","""Dick Cramer""","""Dick Cramer""",2017/11/08 9:25AM,mcgob901,kolll901,(none),geish901,unknown,none,0,unknown,-1,unknown,unknown,unknown,176,1000,nelsl101,krakj101,,,,
WS1194005020,"""version 7RS(19) of 07/07/92""",DET,WS1,1940/05/02,WAS09,0,0:00PM,day,false,"""56,212,222""","""Dick Cramer""","""Dick Cramer""",2017/11/10 8:35PM,kolll901,geish901,(none),mcgob901,unknown,none,0,unknown,-1,unknown,unknown,unknown,131,2000,newhh101,hudss101,,,,
WS1194005040,"""version 7RS(19) of 07/07/92""",CLE,WS1,1940/05/04,WAS09,0,0:00PM,day,false,"""39""",,"""A. Braunstein""",1997/02/04 7:11AM,geish901,mcgob901,(none),kolll901,park,none,0,unknown,-1,unknown,unknown,unknown,145,3000,milna101,chask101,eiseh101,,,
WS1194005060,"""version 7RS(19) of 07/07/92""",SLA,WS1,1940/05/06,WAS09,0,0:00PM,day,false,"""102,208,222""","""John Gabcik""","""David W. Smith""",2017/11/12 9:06AM,ormsr901,grieb901,(none),basis901,park,none,0,unknown,-1,unknown,unknown,unknown,152,7000,coffs101,jacob102,trotb101,,,
WS1194005070,"""version 7RS(19) of 07/07/92""",SLA,WS1,1940/05/07,WAS09,0,0:00PM,day,false,"""102,208,222""","""Jim Wohlenhaus""","""David W. Smith""",2017/11/17 10:29AM,grieb901,basis901,(none),ormsr901,park,none,0,unknown,-1,unknown,unknown,unknown,150,1500,hudss101,whitj101,,,,
WS1194005080,"""version 7RS(19) of 07/07/92""",CHA,WS1,1940/05/08,WAS09,0,0:00PM,day,false,"""277,109,111,222,100""","""Dick Cramer/RWood""","""Dick Cramer/RWood""",2017/11/19 8:00PM,basis901,ormsr901,(none),grieb901,unknown,none,0,unknown,-1,unknown,unknown,unknown,137,3000,smite105,chask101,browc103,,,
WS1194005090,"""version 7RS(19) of 07/07/92""",CHA,WS1,1940/05/09,WAS09,0,0:00PM,day,false,"""277,109,111,222,100""","""Tom Thress/RWood""","""Tom Thress/RWood""",2017/11/20 10:23PM,ormsr901,grieb901,(none),basis901,park,none,0,unknown,-1,unknown,unknown,unknown,122,2500,leond103,lee-t101,,,,
WS1194005250,"""version 7RS(19) of 07/07/92""",PHA,WS1,1940/05/25,WAS09,0,0:00PM,day,false,"""253""","""D Lamoureaux""","""D Lamoureaux""",2007/07/29 6:29PM,ormsr901,mcgob901,(none),kolll901,unknown,none,0,unknown,-1,unknown,unknown,unknown,93,3000,leond103,deanc101,,,,
WS1194005260,"""version 7RS(19) of 07/07/92""",PHA,WS1,1940/05/26,WAS09,0,0:00PM,day,false,482,"""Dick Cramer""","""Dick Cramer""",2014/06/15 4:00PM,mcgob901,kolll901,(none),ormsr901,unknown,none,0,unknown,-1,unknown,unknown,unknown,129,10000,hudlw101,castg101,,,,
WS1194006010,"""version 7RS(19) of 07/07/92""",DET,WS1,1940/06/01,WAS09,0,0:00PM,day,false,"""210,222""","""Pete Cottrell""","""Pete Cottrell""",2015/06/05 8:19PM,morig101,hubbc901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,142,7500,newsb101,hudlw101,,,,
WS1194006020,"""version 7RS(19) of 07/07/92""",DET,WS1,1940/06/02,WAS09,0,0:00PM,day,false,"""56,212,222""","""Dick Cramer""","""Dick Cramer""",2017/11/15 8:30AM,hubbc901,basis901,(none),morig101,unknown,none,0,unknown,-1,unknown,unknown,unknown,125,1000,benta101,montr101,,,,
WS1194006041,"""version 7RS(19) of 07/07/92""",CLE,WS1,1940/06/04,WAS09,1,0:00PM,day,false,"""39""","""Brad Sullivan""","""A. Braunstein""",1997/05/07 12:35PM,morig101,hubbc901,rue-j901,basis901,park,none,0,unknown,-1,unknown,unknown,unknown,153,0,chask101,hardm101,,,,
WS1194006042,"""version 7RS(19) of 07/07/92""",CLE,WS1,1940/06/04,WAS09,2,0:00PM,day,false,"""39""","""Brad Sullivan""","""A. Braunstein""",1997/05/07 12:50PM,hubbc901,rue-j901,basis901,morig101,park,none,0,unknown,-1,unknown,unknown,unknown,122,8000,smita104,haynj101,fellb101,,,
WS1194006050,"""version 7RS(19) of 07/07/92""",CLE,WS1,1940/06/05,WAS09,0,0:00PM,day,false,"""39""","""Brad Sullivan""","""A. Braunstein""",1997/05/08 6:26AM,rue-j901,morig101,(none),hubbc901,park,none,0,unknown,-1,unknown,unknown,unknown,132,2000,mastw101,dobsj101,,,,
WS1194006060,"""version 7RS(19) of 07/07/92""",CLE,WS1,1940/06/06,WAS09,0,0:00PM,day,false,"""39""","""Brad Sullivan""","""A. Braunstein""",1997/05/08 6:40AM,morig101,hubbc901,(none),rue-j901,park,none,0,unknown,-1,unknown,unknown,unknown,159,7500,hardm101,hudss101,milna101,,,
WS1194006070,"""version 7RS(19) of 07/07/92""",CHA,WS1,1940/06/07,WAS09,0,0:00PM,day,false,"""277,109,111,222""","""Dick Cramer/RWood""","""Dick Cramer/RWood""",2017/12/07 4:00PM,mcgob901,quinj901,(none),pipgg101,unknown,none,0,unknown,-1,unknown,unknown,unknown,114,9000,leond103,knotj102,,,,
WS1194006090,"""version 7RS(19) of 07/07/92""",CHA,WS1,1940/06/09,WAS09,0,0:00PM,day,false,"""109,111,222""","""Dick Cramer""","""Dick Cramer""",2017/12/08 4:05AM,pipgg101,mcgob901,(none),quinj901,unknown,none,0,unknown,-1,unknown,unknown,unknown,126,7000,rignj101,haynj101,,,,
WS1194006100,"""version 7RS(19) of 07/07/92""",SLA,WS1,1940/06/10,WAS09,0,0:00PM,day,false,"""102,222""","""Tom Thress""","""Tom Thress""",2017/11/16 11:48PM,mcgob901,quinj901,(none),pipgg101,park,none,0,unknown,-1,unknown,unknown,unknown,115,800,kramj101,hudss101,lawsr101,,,
WS1194006110,"""version 7RS(19) of 07/07/92""",SLA,WS1,1940/06/11,WAS09,0,0:00PM,day,false,"""102""","""Frownfelter""","""Frownfelter""",2015/12/11 4:07PM,quinj901,pipgg101,(none),mcgob901,park,none,0,unknown,-1,unknown,unknown,unknown,105,600,kennv101,leond103,,,,
WS1194006120,"""version 7RS(19) of 07/07/92""",SLA,WS1,1940/06/12,WAS09,0,0:00PM,day,false,"""102,105,208,222""","""Jim Herdman/RWood""","""Jim Herdman/RWood""",2017/11/16 1:32PM,pipgg101,mcgob901,(none),quinj901,unknown,none,0,unknown,-1,unknown,unknown,unknown,115,5000,chask101,aukee101,,,,
WS1194007010,"""version 7RS(19) of 07/07/92""",NYA,WS1,1940/07/01,WAS09,0,0:00PM,day,false,"""315,96,222""","""Pete Cottrell""","""Pete Cottrell""",2014/10/28 9:57PM,summb901,rue-j901,(none),grieb901,park,none,0,unknown,-1,unknown,unknown,unknown,134,3000,ruffr101,chask101,,,,
WS1194007020,"""version 7RS(19) of 07/07/92""",NYA,WS1,1940/07/02,WAS09,0,0:00PM,day,false,"""315,96,222""","""Pete Cottrell""","""Pete Cottrell""",2014/10/31 1:34AM,rue-j901,grieb901,(none),summb901,park,none,0,unknown,-1,unknown,unknown,unknown,137,3000,gomel102,leond103,murpj103,,,
WS1194007041,"""version 7RS(19) of 07/07/92""",PHA,WS1,1940/07/04,WAS09,1,0:00PM,day,false,210,"""Dick Cramer""","""Dick Cramer""",2014/03/05 9:20PM,grieb901,summb901,(none),rue-j901,unknown,none,0,unknown,-1,unknown,unknown,unknown,114,0,hudss101,castg101,,,,
WS1194007042,"""version 7RS(19) of 07/07/92""",PHA,WS1,1940/07/04,WAS09,2,0:00PM,day,false,"""119,222,266,276""","""Tom Thress,Wayne Townsend""","""Tom Thress,Wayne Townsend""",2017/12/13 12:21AM,summb901,rue-j901,(none),grieb901,unknown,none,0,unknown,-1,unknown,unknown,unknown,130,12000,haynj101,heuse101,montr101,,,
WS1194007060,"""version 7RS(19) of 07/07/92""",BOS,WS1,1940/07/06,WAS09,0,0:00PM,day,false,"""71,163,274,222""","""Dick Cramer""","""Dick Cramer""",2017/12/13 12:45AM,morig101,hubbc901,(none),romme101,unknown,none,0,unknown,-1,unknown,unknown,unknown,133,3500,galed101,chask101,wilsj103,,,
WS1194007071,"""version 7RS(19) of 07/07/92""",BOS,WS1,1940/07/07,WAS09,1,0:00PM,day,false,"""210,222""","""Pete Cottrell""","""Pete Cottrell""",2015/09/27 12:49PM,hubbc901,romme101,(none),morig101,park,none,0,unknown,-1,unknown,unknown,unknown,107,0,grovl101,leond103,,,,
