game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,scorer,translator,inputter,inputtime,umphome,ump1b,ump2b,ump3b,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,timeofgame,attendance,sky,wp,lp,save,gwrbi,gametype
PHA194104180,"""version 7RS(19) of 07/07/92""",BOS,PHA,1941/04/18,PHI11,0,0:00PM,day,false,"""276""","""Jim Wohlenhaus""","""David W. Smith""",2017/06/25 2:18PM,grieb901,mcgob901,(none),quinj901,park,none,0,unknown,-1,unknown,unknown,118,11308,unknown,hashh101,knotj102,,,
PHA194104190,"""version 7RS(19) of 07/07/92""",BOS,PHA,1941/04/19,PHI11,0,0:00PM,day,false,"""253""","""D Lamoureaux""","""D Lamoureaux""",2007/07/11 7:14PM,mcgob901,quinj901,(none),grieb901,unknown,none,0,unknown,-1,unknown,unknown,125,8604,unknown,dicke101,beckb103,,,
PHA194104200,"""version 7RS(19) of 07/07/92""",NYA,PHA,1941/04/20,PHI11,0,0:00PM,day,false,"""253,317""","""D Lamoureaux/Smith""","""D Lamoureaux/Smith""",2007/07/11 7:22PM,quinj901,grieb901,(none),mcgob901,unknown,none,0,unknown,-1,unknown,unknown,165,28874,unknown,ruffr101,deanc101,,,
PHA194104210,"""version 7RS(19) of 07/07/92""",NYA,PHA,1941/04/21,PHI11,0,0:00PM,day,false,"""317,96""","""Pete Cottrell""","""Pete Cottrell""",2012/07/28 8:58PM,grieb901,mcgob901,(none),quinj901,park,none,0,unknown,-1,unknown,unknown,125,4061,unknown,donaa101,rossb102,,,
PHA194104220,"""version 7RS(19) of 07/07/92""",NYA,PHA,1941/04/22,PHI11,0,0:00PM,day,false,"""317,96""","""Pete Cottrell""","""Pete Cottrell""",2012/07/31 6:16PM,mcgob901,quinj901,(none),grieb901,park,none,0,unknown,-1,unknown,unknown,119,3352,unknown,mccrl101,murpj103,,,
PHA194104230,"""version 7RS(19) of 07/07/92""",WS1,PHA,1941/04/23,PHI11,0,0:00PM,day,false,"""266,119,222,408a""","""Tom Thress/RWood""","""David W. Smith/RWood""",2017/06/21 9:47PM,romme101,ormsr901,(none),hubbc901,park,none,0,unknown,-1,unknown,unknown,136,1000,unknown,johnr105,chask101,ferrt101,,
PHA194105130,"""version 7RS(19) of 07/07/92""",SLA,PHA,1941/05/13,PHI11,0,0:00PM,day,false,102,"""Dick Cramer""","""Dick Cramer""",2014/02/28 8:15AM,quinj901,mcgob901,(none),romme101,unknown,none,0,unknown,-1,unknown,unknown,129,2017,unknown,knotj102,kennv101,,,
PHA194105140,"""version 7RS(19) of 07/07/92""",SLA,PHA,1941/05/14,PHI11,0,0:00PM,day,false,"""253,102""","""D Lamoureaux/Way""","""D Lamoureaux/Smith""",2007/07/11 7:34PM,mcgob901,romme101,(none),quinj901,unknown,none,0,unknown,-1,unknown,unknown,160,5000,unknown,harrb109,hadlb101,,,
PHA194105150,"""version 7RS(19) of 07/07/92""",DET,PHA,1941/05/15,PHI11,0,0:00PM,day,false,"""276,56,248""","""Jim Herdman""","""Jim Herdman""",2017/08/14 5:57AM,romme101,quinj901,(none),mcgob901,unknown,none,0,unknown,-1,dry,none,148,10000,sunny,newhh101,marcp101,,,
PHA194105160,"""version 7RS(19) of 07/07/92""",DET,PHA,1941/05/16,PHI11,0,0:00PM,day,false,"""266,119,56,212""","""John Gabcik""","""David W. Smith""",2017/08/21 9:28PM,quinj901,mcgob901,(none),romme101,park,none,0,unknown,-1,unknown,unknown,120,1000,unknown,troud101,beckb103,,,
PHA194105170,"""version 7RS(19) of 07/07/92""",DET,PHA,1941/05/17,PHI11,0,0:00PM,day,false,"""253""","""D Lamoureaux""","""D Lamoureaux""",2007/07/11 7:42PM,mcgob901,romme101,(none),quinj901,unknown,none,0,unknown,-1,unknown,unknown,126,12361,unknown,bridt101,knotj102,,,
PHA194105180,"""version 7RS(19) of 07/07/92""",CLE,PHA,1941/05/18,PHI11,0,0:00PM,day,false,"""39""","""D Lamoureaux""","""D Lamorueaux""",2005/11/27 10:26AM,pipgg101,passa901,(none),geish901,unknown,none,0,unknown,-1,unknown,unknown,135,13417,unknown,ferrt101,dorsc101,,,
