game_id,inputprogvers,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,gametype,innings
NYA194404220,"""version 7RS(19) of 07/07/92""",WS1,NYA,NYC16,1944/04/22,0,0:00PM,day,false,hubbc901,joner901,(none),berrc103,"""98,222,104,103,96,408a""","""Jim Wohlenhaus/RWood""","""David W. Smith/RWood""",2016/01/13 9:59PM,park,none,0,unknown,-1,unknown,unknown,unknown,131,11192,donaa101,carra101,,,,
NYA194404250,"""version 7RS(19) of 07/07/92""",PHA,NYA,NYC16,1944/04/25,0,0:00PM,day,false,joner901,berrc103,(none),hubbc901,"""98""","""Frownfelter""","""Frownfelter""",2016/01/10 2:03PM,park,none,0,unknown,-1,unknown,unknown,unknown,128,2784,blacd101,bonht101,berrj102,,,
NYA194404260,"""version 7RS(19) of 07/07/92""",PHA,NYA,NYC16,1944/04/26,0,0:00PM,day,false,berrc103,hubbc901,(none),joner901,"""98""","""Frownfelter""","""Frownfelter""",2015/12/24 2:52PM,park,none,0,unknown,-1,unknown,unknown,unknown,96,3741,boroh101,harrl101,,,,
NYA194405050,"""version 7RS(19) of 07/07/92""",BOS,NYA,NYC16,1944/05/05,0,0:00PM,day,false,summb901,boyej901,(none),rue-j901,"""98""","""Frownfelter""","""Frownfelter""",2015/12/24 3:42PM,park,none,0,unknown,-1,unknown,unknown,unknown,135,5154,roses101,hught102,,,,
NYA194405060,"""version 7RS(19) of 07/07/92""",BOS,NYA,NYC16,1944/05/06,0,0:00PM,day,false,boyej901,rue-j901,(none),summb901,"""425""","""M. Pankin""","""M. Pankin""",2015/12/26 3:42PM,radio,none,0,unknown,-1,unknown,unknown,unknown,135,9661,dubim101,rybam101,turnj102,,,
NYA194405100,"""version 7RS(19) of 07/07/92""",DET,NYA,NYC16,1944/05/10,0,0:00PM,day,false,joner901,grieb901,(none),hubbc901,"""98""","""Frownfelter""","""Frownfelter""",2015/12/24 4:15PM,park,none,0,unknown,-1,unknown,unknown,unknown,103,6762,troud101,bonht101,,,,
NYA194405110,"""version 7RS(19) of 07/07/92""",DET,NYA,NYC16,1944/05/11,0,0:00PM,day,false,grieb901,hubbc901,(none),joner901,"""98""","""Frownfelter""","""Frownfelter""",2016/01/14 3:18PM,park,none,0,unknown,-1,unknown,unknown,unknown,108,5407,boroh101,overs101,,,,
NYA194405120,"""version 7RS(19) of 07/07/92""",DET,NYA,NYC16,1944/05/12,0,0:00PM,day,false,hubbc901,joner901,(none),grieb901,"""270(267),212""","""David W. Smith/RWood""","""David W. Smith/RWood""",2012/02/13 8:06PM,park,none,0,unknown,-1,unknown,unknown,unknown,107,7192,newhh101,zubeb101,,,,
NYA194405130,"""version 7RS(19) of 07/07/92""",CLE,NYA,NYC16,1944/05/13,0,0:00PM,day,false,joner901,grieb901,(none),hubbc901,"""156""","""D Lamoureaux""","""D Lamoureaux""",2004/10/09 10:03AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,99,13371,pagej101,kleih101,,,,
NYA194405141,"""version 7RS(19) of 07/07/92""",CLE,NYA,NYC16,1944/05/14,1,0:00PM,day,false,grieb901,hubbc901,(none),joner901,"""425""","""M. Pankin""","""M. Pankin""",2016/01/18 1:59PM,radio,none,0,unknown,-1,unknown,unknown,unknown,163,0,roses101,reyna102,,,,
NYA194405142,"""version 7RS(19) of 07/07/92""",CLE,NYA,NYC16,1944/05/14,2,0:00PM,day,false,hubbc901,joner901,(none),grieb901,"""425""","""M. Pankin""","""M. Pankin""",2016/01/18 9:11PM,radio,none,0,unknown,-1,unknown,unknown,unknown,131,45354,donaa101,poatr101,,,,
NYA194405150,"""version 7RS(19) of 07/07/92""",CHA,NYA,NYC16,1944/05/15,0,0:00PM,day,false,summb901,boyej901,(none),rue-j901,"""270(267)""","""David W. Smith""","""David W. Smith""",2012/02/13 8:37PM,park,none,0,unknown,-1,unknown,unknown,unknown,119,3797,dubim101,lopae101,,,,
NYA194405160,"""version 7RS(19) of 07/07/92""",CHA,NYA,NYC16,1944/05/16,0,0:00PM,day,false,boyej901,rue-j901,(none),summb901,"""270""","""Frownfelter""","""Frownfelter""",2016/01/06 5:24PM,park,none,0,unknown,-1,unknown,unknown,unknown,135,3917,dietb101,boroh101,,,,
NYA194405170,"""version 7RS(19) of 07/07/92""",CHA,NYA,NYC16,1944/05/17,0,0:00PM,day,false,rue-j901,summb901,(none),boyej901,"""270""","""Frownfelter""","""Frownfelter""",2016/01/07 2:04PM,park,none,0,unknown,-1,unknown,unknown,unknown,120,4807,grovo101,pagej101,,,,
NYA194405180,"""version 7RS(19) of 07/07/92""",CHA,NYA,NYC16,1944/05/18,0,0:00PM,day,false,summb901,boyej901,(none),rue-j901,"""98,100""","""Frownfelter/RWood""","""Frownfelter/RWood""",2015/12/26 12:19PM,park,none,0,unknown,-1,unknown,unknown,unknown,146,4602,humpj101,roses101,,,,
NYA194405190,"""version 7RS(19) of 07/07/92""",SLA,NYA,NYC16,1944/05/19,0,0:00PM,day,false,boyej901,rue-j901,(none),summb901,"""102""","""Frownfelter""","""Frownfelter""",2016/01/10 3:04PM,park,none,0,unknown,-1,unknown,unknown,unknown,124,4482,pottn102,donaa101,,,,
