game_id,inputprogvers,visteam,hometeam,site,date,number,starttime,daynight,usedh,gametype,umphome,ump1b,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,ump2b,ump3b,scorer,oscorer
ASF194510240,"""version 7RS(19) of 07/07/92""",KCR,ASF,SAN03,1945/10/24,0,0:00PM,night,false,exhibition,morgu901,estej901,"""Tom Thress""","""Tom Thress""",2021/03/09 10:39AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,122,5500,porta103,salvj101,,,,,,
ASW194507290,,ASE,ASW,CHI10,1945/07/29,0,0:00PM,day,false,allstar,bluev901,mccrf901,"""Mark Pankin""","""Mark Pankin""",2020/09/26 16:45,park,none,0,unknown,-1,unknown,unknown,sunny,155,31714,mathv101,glovt101,breme101,,wardh901,harrm103,"""newspapers""",
BIR194504081,"""version 7RS(19) of 07/07/92""",KCM,BIR,BIR01,1945/04/08,1,0:00PM,day,false,exhibition,,,"""Tom Thress""","""Tom Thress""",2024/11/17 11:11PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,0,mcdab101,markj101,,,,,,
BIR194505271,"""version 7RS(19) of 07/07/92""",CIA,BIR,"BIR01,",1945/05/27,1,0:00PM,day,false,regular,moorc901,,"""Tom Thress""","""Tom Thress""",2024/11/29 1:28AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,0,markj101,suttl101,,,,,,
BIR194507020,"""version 7RS(19) of 07/07/92""",MEM,BIR,MTG01,1945/07/02,0,0:00PM,night,false,regular,,,"""Tom Thress""","""Tom Thress""",2024/11/17 11:30PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,0,sayla101,jonea103,,,,,,
BLG194506241,"""version 7RS(19) of 07/07/92""",PH5,BLG,BAL14,1945/06/24,1,0:00PM,day,false,regular,,,"""Tom Thress""","""Tom Thress""",2024/11/18 1:03AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,4000,partr102,glovt101,,,,,,
BLG194506242,"""version 7RS(19) of 07/07/92""",PH5,BLG,BAL14,1945/06/24,2,0:00PM,day,false,regular,,,"""Tom Thress""","""Tom Thress""",2024/11/20 10:34AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,4000,porta103,harrw101,,,,,,
BLG194507081,"""version 7RS(19) of 07/07/92""",NW2,BLG,BAL14,1945/07/08,1,0:00PM,day,false,regular,,,"""Tom Thress""","""Tom Thress""",2024/11/21 11:00PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,0,porta103,hookl101,,,,,,
BLG194507130,"""version 7RS(19) of 07/07/92""",CIA,BLG,BAL14,1945/07/13,0,0:00PM,night,false,exhibition,mccrf901,hollu902,"""Tom Thress""","""Tom Thress""",2024/11/21 1:05AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,0,hinta101,washf101,byrdb101,,,,,
BLG194508140,"""version 7RS(19) of 07/07/92""",BIR,BLG,BAL14,1945/08/14,0,0:00PM,night,false,exhibition,willt901,,"""Tom Thress""","""Tom Thress""",2024/11/21 12:19AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,0,byrdb101,newbj101,,,,,,
CAG194504180,"""version 7RS(19) of 07/07/92""",CVB,CAG,SAT02,1945/04/18,0,0:00PM,night,false,exhibition,,,"""Tom Thress""","""Tom Thress""",2025/07/09 7:39PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,131,0,carsf102,shiec102,,,,,,
CAG194504291,"""version 7RS(19) of 07/07/92""",CVB,CAG,NOL01,1945/04/29,1,0:00PM,day,false,exhibition,lewiu901,joneu901,"""Tom Thress""","""Tom Thress""",2024/11/20 1:14AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,112,0,breme101,jessg101,jeffg102,,taylb108,auguu901,,
