game_id,inputprogvers,visteam,hometeam,site,date,number,gametype,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,innings,scorer,oscorer
ASE194707290,"""version 7RS(19) of 07/07/92""",ASW,ASE,NYC14,1947/07/29,0,allstar,0:00PM,night,false,mccrf901,penae901,charo101,bouru901,"""Tom Thress""","""Tom Thress""",2020/10/18 12:21AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,165,38402,smitf107,lewir101,clarw103,,,,
ASF194710140,"""version 7RS(19) of 07/07/92""",KCR,ASF,SAN03,1947/10/14,0,exhibition,0:00PM,night,false,angur901,rungu901,,,"""Tom Thress""","""Tom Thress""",2021/02/16 11:04PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,148,6000,fellb101,richg102,marcp101,,,,
ASF194710160,"""version 7RS(19) of 07/07/92""",KCR,ASF,OAK02,1947/10/16,0,exhibition,0:00PM,night,false,,,,,"""Tom Thress""","""Tom Thress""",2021/02/16 11:19PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,6500,fellb101,mccow102,mccab106,,,,
ASW194707270,"""version 7RS(19) of 07/07/92""",ASE,ASW,CHI10,1947/07/27,0,allstar,0:00PM,day,false,bluev901,mccrf901,vanbm901,penae901,"""Tom Thress""","""Tom Thres""",2020/10/18 12:10AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,157,48112,bankd101,mannm101,brewc102,,,,
BIR194705100,"""version 7RS(19) of 07/07/92""",KCM,BIR,BIR01,1947/05/10,0,regular,0:00PM,day,false,moorc901,austu901,(none),willp103,"""Tom Thress""","""Tom Thress""",2025/02/24 8:02AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,7000,poweb103,wylis101,,,,,
BIR194705130,"""version 7RS(19) of 07/07/92""",KCM,BIR,SHR01,1947/05/13,0,regular,8:15PM,night,false,,,,,"""Tom Thress""","""Tom Thress""",2025/05/12 11:14PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,3500,newbj101,napol101,,,,,
BLG194704130,"""version 7RS(19) of 07/07/92""",CAG,BLG,NSH02,1947/04/13,0,exhibition,0:00PM,day,false,,,,,"""Tom Thress""","""Tom Thress""",2025/02/07 12:28AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,135,0,rombb101,mccow102,perej104,,,,
BLG194705041,"""version 7RS(19) of 07/07/92""",PH5,BLG,BAL14,1947/05/04,1,regular,0:00PM,day,false,charo101,hollu902,(none),cromu901,"""Tom Thress""","""Tom Thress""",2025/02/18 10:50AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,123,6800,partr102,rombb101,,,,,
BLG194705042,"""version 7RS(19) of 07/07/92""",PH5,BLG,BAL14,1947/05/04,2,regular,0:00PM,day,false,charo101,hollu902,(none),cromu901,"""Tom Thress""","""Tom Thress""",2025/02/18 12:00PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,87,6800,watsa102,robir102,,,7,,
BLG194705060,"""version 7RS(19) of 07/07/92""",NW2,BLG,BAL14,1947/05/06,0,regular,0:00PM,night,false,,,,,"""Tom Thress""","""Tom Thress""",2025/02/23 1:32AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,0,blacj103,mannm101,,,,,
BLG194705070,"""version 7RS(19) of 07/07/92""",NW2,BLG,RIC03,1947/05/07,0,regular,0:00PM,night,false,,,,,"""Tom Thress""","""Tom Thress""",2025/02/23 6:26AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,0,lewir101,perej104,,,,,
