game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,gametype,oscorer,innings
NYA194804230,"""version 7RS(19) of 07/07/92""",BOS,NYA,1948/04/23,NYC16,0,0:00PM,day,false,mcgob901,hubbc901,(none),mckib901,"""115,648""","""Bob Kistler/RWood""","""D Lamoureaux,Wigley from partial audio recording/RWood""",2000/11/28 6:00PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,135,44619,harrm101,sheas101,,,,,
NYA194804240,"""version 7RS(19) of 07/07/92""",BOS,NYA,1948/04/24,NYC16,0,0:00PM,day,false,hubbc901,mckib901,(none),mcgob901,"""115,276""","""Bob Kistler/Townsend""","""D Lamoureaux/Townsend""",2000/11/28 6:13PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,154,44195,reyna102,dobsj101,,,,,
NYA194804250,"""version 7RS(19) of 07/07/92""",BOS,NYA,1948/04/25,NYC16,0,0:00PM,day,false,mckib901,mcgob901,(none),hubbc901,"""227""","""DWV""","""DWV""",2013/06/12 7:55PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,155,68021,lopae101,mccaw102,pagej101,,,,
NYA194804290,"""version 7RS(19) of 07/07/92""",WS1,NYA,1948/04/29,NYC16,0,0:00PM,day,false,hubbc901,mckib901,(none),mcgob901,"""14""","""D Lamoureaux""","""D Lamoureaux""",2000/04/26 7:45PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,145,5630,pagej101,thomf109,,,,,
NYA194805040,"""version 7RS(19) of 07/07/92""",SLA,NYA,1948/05/04,NYC16,0,0:00PM,day,false,passa901,boyej901,(none),romme101,"""30""","""DWV""","""DWV""",2013/06/18 6:12PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,135,13543,sheas101,pottn102,,,,,
NYA194805060,"""version 7RS(19) of 07/07/92""",SLA,NYA,1948/05/06,NYC16,0,0:00PM,day,false,boyej901,romme101,(none),passa901,"""99,276""","""M. Pankin""","""M. Pankin""",2014/05/20 10:37PM,park,none,0,unknown,-1,unknown,unknown,unknown,160,15560,reyna102,fannc101,pagej101,,,,
NYA194805081,"""version 7RS(19) of 07/07/92""",DET,NYA,1948/05/08,NYC16,1,0:00PM,day,false,romme101,passa901,(none),boyej901,"""84,276""","""DWV""","""DWV""",2013/06/19 3:44PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,105,0,hutcf101,lopae101,,,,,
NYA194805082,"""version 7RS(19) of 07/07/92""",DET,NYA,1948/05/08,NYC16,2,0:00PM,day,false,passa901,boyej901,(none),romme101,"""84""","""DWV""","""DWV""",2013/06/19 4:35PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,142,25246,rascv101,newhh101,pagej101,,,,
NYA194805090,"""version 7RS(19) of 07/07/92""",CHA,NYA,1948/05/09,NYC16,0,0:00PM,day,false,summb901,stevj901,joner901,papaj901,"""276,611""","""Tom Thress/RWood""","""David W. Smith/RWood""",2014/05/20 9:58AM,park,none,0,unknown,-1,unknown,unknown,unknown,120,33059,sheas101,haynj101,,,,,
NYA194805100,"""version 7RS(19) of 07/07/92""",CHA,NYA,1948/05/10,NYC16,0,0:00PM,day,false,stevj901,joner901,papaj901,summb901,"""30""","""DWV""","""DWV""",2013/06/18 6:37PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,121,13713,embrr101,wighb101,,,,,
