game_id,inputprogvers,visteam,hometeam,date,number,site,gametype,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,innings,scorer,umplf,umprf
ASW194908140,"""version 7RS(19) of 07/07/92""",ASE,ASW,1949/08/14,0,CHI10,allstar,0:00PM,day,false,motlb901,duncf102,(none),vaugs901,"""Tom Thress""","""Tom Thress""",2024/03/21 5:27AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,127,26697,grifb102,richg102,scanp101,,,,,
BIR194904170,"""version 7RS(19) of 07/07/92""",IN9,BIR,1949/04/17,0,ATL04,exhibition,0:00PM,day,false,doylj901,meanl101,,,"""Tom Thress""","""Tom Thress""",2024/03/23 9:10AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,5000,poweb103,davip103,,,,,,
BIR194905020,"""version 7RS(19) of 07/07/92""",HOE,BIR,1949/05/02,0,ATL04,regular,0:00PM,night,false,meanl101,doylj901,,,"""Tom Thress""","""Tom Thress""",2024/03/24 10:12AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,0,browj114,greab101,,,,,,
BIR194905030,"""version 7RS(19) of 07/07/92""",HOE,BIR,1949/05/03,0,ATL04,regular,0:00PM,night,false,doylj901,meanl101,,,"""Tom Thress""","""Tom Thress""",2024/03/24 8:11PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,0,newbj101,lewir101,,,,,,
BIR194905110,"""version 7RS(19) of 07/07/92""",CAG,BIR,1949/05/11,0,BIR01,regular,0:00PM,night,false,austu901,moorc901,(none),moseh901,"""Tom Thress""","""Tom Thress""",2024/03/25 10:34AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,117,1862,wills104,mckig101,perra101,,,,,
BIR194905221,"""version 7RS(19) of 07/07/92""",LCB,BIR,1949/05/22,1,BIR01,regular,0:00PM,day,false,moorc901,moseh901,(none),austu901,"""Tom Thress""","""Tom Thress""",2024/08/19 9:29PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,122,5505,perra101,jones105,,,,,,
BIR194905222,"""version 7RS(19) of 07/07/92""",LCB,BIR,1949/05/22,2,BIR01,regular,0:00PM,day,false,moseh901,moorc901,(none),austu901,"""Tom Thress""","""Tom Thress""",2024/08/19 9:51PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,128,5505,newbj101,jeffg102,,,6,,,
BIR194905250,"""version 7RS(19) of 07/07/92""",LCB,BIR,1949/05/25,0,BIR01,regular,0:00PM,night,false,moorc901,moseh901,(none),austu901,"""Tom Thress""","""Tom Thress""",2024/04/15 12:35AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,134,1957,wills104,longe102,,,,,,
BIR194906110,"""version 7RS(19) of 07/07/92""",NY6,BIR,1949/06/11,0,BIR01,regular,0:00PM,night,false,,,,,"""Tom Thress""","""Tom Thress""",2024/04/19 12:14AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,0,poweb103,loper102,,,,,,
BIR194906120,"""version 7RS(19) of 07/07/92""",NY6,BIR,1949/06/12,0,BIR01,regular,0:00PM,day,false,moseh901,moorc901,(none),austu901,"""Tom Thress""","""Tom Thress""",2024/04/19 1:05AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,122,3800,wills104,newka101,,,,,,
BIR194906150,"""version 7RS(19) of 07/07/92""",NY6,BIR,1949/06/15,0,BIR01,regular,0:00PM,night,false,moorc901,austu901,,,"""Tom Thress""","""Tom Thress""",2024/05/04 3:29PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,135,2000,poweb103,maria101,perra101,,,,,
BIR194906180,"""version 7RS(19) of 07/07/92""",IN9,BIR,1949/06/18,0,CHT01,regular,0:00PM,night,false,haleu901,unggu901,,,"""Tom Thress""","""Tom Thress""",2024/05/04 4:56PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,147,1800,porta103,wills104,,,,,,
BIR194906191,"""version 7RS(19) of 07/07/92""",IN9,BIR,1949/06/19,1,BIR01,regular,0:00PM,day,false,moorc901,moseh901,(none),austu901,"""Tom Thress""","""Tom Thress""",2024/05/05 2:13PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,118,7057,perra101,cohej101,wills104,,,,,
BIR194906192,"""version 7RS(19) of 07/07/92""",IN9,BIR,1949/06/19,2,BIR01,regular,0:00PM,day,false,moseh901,moorc901,(none),austu901,"""Tom Thress""","""Tom Thress""",2024/05/05 3:55PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,146,7057,watsa102,perra101,godim101,,7,,,
BIR194907100,"""version 7RS(19) of 07/07/92""",PH5,BIR,1949/07/10,0,BIR01,regular,0:00PM,day,false,moorc901,moseh901,(none),austu901,"""Tom Thress""","""Tom Thress""",2024/05/23 8:42AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,192,3612,perra101,browb107,,,,,,
BIR194907270,"""version 7RS(19) of 07/07/92""",MEM,BIR,1949/07/27,0,BIR01,regular,0:00PM,night,false,moorc901,moseh901,(none),austu901,"""Tom Thress""","""Tom Thress""",2024/04/25 10:33PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,130,1911,perra101,thomf110,,,,,,
BLG194905011,"""version 7RS(19) of 07/07/92""",KCM,BLG,1949/05/01,1,BAL14,regular,0:00PM,day,false,mccrf901,lewiu901,(none),willh901,"""Tom Thress""","""Tom Thress""",2024/03/23 5:55PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,129,5588,mcdab101,rombb101,richg102,,,,,
BLG194905012,"""version 7RS(19) of 07/07/92""",KCM,BLG,1949/05/01,2,BAL14,regular,0:00PM,day,false,,,,,"""Tom Thress""","""Tom Thress""",2024/03/23 5:05PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,5588,wilma101,lamaj102,,,7,,,
BLG194905030,"""version 7RS(19) of 07/07/92""",KCM,BLG,1949/05/03,0,BAL14,regular,0:00PM,night,false,willh901,mccrf901,(none),lewiu901,"""Tom Thress""","""Tom Thress""",2024/06/02 2:02PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,135,2750,byrdb101,collg101,,,,,,
BLG194905040,"""version 7RS(19) of 07/07/92""",KCM,BLG,1949/05/04,0,CHE01,regular,0:00PM,night,false,mccrf901,pitku901,,,"""Tom Thress""","""Tom Thress""",2024/03/25 11:43AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,0,barnf102,day-l101,,,,,,
BLG194905151,"""version 7RS(19) of 07/07/92""",PH5,BLG,1949/05/15,1,BAL14,regular,2:00PM,day,false,lewiu901,willh901,(none),mccrf901,"""Tom Thress""","""Tom Thress""",2024/06/02 3:23PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,113,0,byrdb101,grifb102,,,,,,
BLG194905152,"""version 7RS(19) of 07/07/92""",PH5,BLG,1949/05/15,2,BAL14,regular,0:00PM,day,false,,,,,"""Tom Thress""","""Tom Thress""",2024/06/02 2:43PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,0,0,rombb101,rickb102,,,7,,,
BLG194905270,"""version 7RS(19) of 07/07/92""",NY6,BLG,1949/05/27,0,BAL14,regular,0:00PM,night,false,mccrf901,willh901,,,"""Tom Thress""","""Tom Thress""",2024/04/15 10:32PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,135,0,barnd101,blacj103,,,,,,
BLG194905291,"""version 7RS(19) of 07/07/92""",MEM,BLG,1949/05/29,1,BAL14,regular,0:00PM,day,false,mccrf901,willh901,,,"""Tom Thress""","""Tom Thress""",2024/05/23 2:35AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,135,3130,rombb101,evanf101,,,,,,
BLG194906030,"""version 7RS(19) of 07/07/92""",BIR,BLG,1949/06/03,0,BAL14,regular,0:00PM,night,false,mccrf901,lewiu901,,,"""Tom Thress""","""Tom Thress""",2024/04/27 3:25PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,125,0,blacj103,poweb103,,,,,,
BLG194906040,"""version 7RS(19) of 07/07/92""",BIR,BLG,1949/06/04,0,WIL04,regular,0:00PM,night,false,mccrf901,trusu901,,,"""Tom Thress""","""Tom Thress""",2024/04/28 1:26PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,115,0,ferrt102,greab101,byrdb101,,,,,
