game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,gametype,umplf,umprf
BSN195004210,"""version 7RS(19) of 07/07/92""",PHI,BSN,1950/04/21,BOS08,0,0:00PM,day,false,warnl101,pineb101,(none),boggd901,"""115""","""Bob Kistler""","""Greg Beston""",1994/03/07 8:58PM,unknown,none,0,unknown,-1,unknown,rain,unknown,95,7308,,,,,,,
BSN195004220,"""version 7RS(19) of 07/07/92""",PHI,BSN,1950/04/22,BOS08,0,0:00PM,day,false,pineb101,boggd901,(none),warnl101,"""206""","""D Lamoureaux""","""D Lamoureaux""",2003/06/28 8:32PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,124,7607,spahw101,simmc101,,,,,
BSN195004231,"""version 7RS(19) of 07/07/92""",PHI,BSN,1950/04/23,BOS08,1,0:00PM,day,false,boggd901,warnl101,(none),pineb101,"""206""","""D Lamoureaux""","""D Lamoureaux""",2003/06/28 8:39PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,120,0,sainj101,donnb101,,,,,
BSN195004232,"""version 7RS(19) of 07/07/92""",PHI,BSN,1950/04/23,BOS08,2,0:00PM,day,false,warnl101,pineb101,(none),boggd901,"""206""","""D Lamoureaux""","""D Lamoureaux""",2003/06/28 8:47PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,136,10302,konsj101,hogub101,,,,,
BSN195004240,"""version 7RS(19) of 07/07/92""",BRO,BSN,1950/04/24,BOS08,0,0:00PM,night,false,barla901,donaa901,(none),robbs901,"""ALLAN ROTH""","""GORD GLADMAN""","""GORD GLADMAN""",1994/11/25 12:17AM,park,pitches,0,unknown,-1,unknown,unknown,unknown,160,18478,newcd101,donod101,ramsw101,,,,
BSN195004250,"""version 7RS(19) of 07/07/92""",BRO,BSN,1950/04/25,BOS08,0,0:00PM,day,false,donaa901,robbs901,(none),barla901,"""ALLAN ROTH""","""GORD GLADMAN""","""GORD GLADMAN""",1994/12/30 9:00PM,park,pitches,0,unknown,-1,unknown,unknown,unknown,96,6033,hattj101,bickv101,,,,,
BSN195004270,"""version 7RS(19) of 07/07/92""",NY1,BSN,1950/04/27,BOS08,0,0:00PM,day,false,robbs901,barla901,(none),donaa901,"""115""","""Bob Kistler""","""Greg Beston""",1994/03/07 10:16PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,149,5780,spahw101,kosld101,,,,,
BSN195005160,"""version 7RS(19) of 07/07/92""",PIT,BSN,1950/05/16,BOS08,0,0:00PM,night,false,conlj102,gorea901,(none),stewb901,"""206""","""D Lamoureaux""","""D Lamoureaux""",2003/06/19 3:02AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,103,10273,sainj101,dickm101,,,,,
BSN195005170,"""version 7RS(19) of 07/07/92""",PIT,BSN,1950/05/17,BOS08,0,0:00PM,night,false,gorea901,stewb901,(none),conlj102,"""115""","""Bob Kistler""","""Greg Beston""",1994/03/08 9:19PM,unknown,none,0,unknown,-1,unknown,unknown,night,133,13384,chamc102,bickv101,,,,,
BSN195005200,"""version 7RS(19) of 07/07/92""",SLN,BSN,1950/05/20,BOS08,0,0:00PM,day,false,pineb101,boggd901,(none),warnl101,"""206""","""D Lamoureaux""","""D Lamoureaux""",2003/06/19 3:12AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,152,9576,martf101,spahw101,boyec101,,,,
BSN195005211,"""version 7RS(19) of 07/07/92""",CHN,BSN,1950/05/21,BOS08,1,0:00PM,day,false,boggd901,warnl101,(none),pineb101,"""206""","""D Lamoureaux""","""D Lamoureaux""",2003/06/19 3:33AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,127,0,sainj101,minnp101,,,,,
