game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,oscorer,gametype,umplf,umprf
PIT195104170,"""version 7RS(19) of 07/07/92""",SLN,PIT,1951/04/17,PIT06,0,0:00PM,day,false,jordl901,dascf901,(none),goetl901,"""94,128""","""David W. Smith""","""David W. Smith""",2009/12/22 5:55PM,park,none,40,unknown,-1,unknown,unknown,unknown,145,25894,dickm101,pohot101,werlb101,,,,,
PIT195104270,"""version 7RS(19) of 07/07/92""",CIN,PIT,1951/04/27,PIT06,0,0:00PM,night,false,jordl901,dascf901,(none),goetl901,"""291""","""Comly""","""Comly""",2010/09/20 5:53PM,unknown,none,0,unknown,-1,unknown,unknown,night,154,27135,blace102,muirj101,fox-h101,,,,,
PIT195104280,"""version 7RS(19) of 07/07/92""",CIN,PIT,1951/04/28,PIT06,0,1:33PM,day,false,dascf901,goetl901,(none),jordl901,"""535""","""DWV""","""DWV""",2015/02/26 2:39PM,park,none,78,tolf,-1,dry,none,sunny,156,10657,wehmh101,dempc101,smitf104,,,,,
PIT195104291,"""version 7RS(19) of 07/07/92""",CIN,PIT,1951/04/29,PIT06,1,0:00PM,day,false,goetl901,jordl901,(none),dascf901,"""209""",,"""D Lamoureaux""",2008/05/31 7:52AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,210,0,dickm101,smitf104,,,,,,
PIT195104292,"""version 7RS(19) of 07/07/92""",CIN,PIT,1951/04/29,PIT06,2,0:00PM,day,false,jordl901,dascf901,(none),goetl901,"""247""","""D Lamoureaux""","""D Lamoureaux""",2008/02/03 1:49PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,116,23601,,,,,,,,
PIT195105120,"""version 7RS(19) of 07/07/92""",CHN,PIT,1951/05/12,PIT06,0,0:00PM,day,false,donaa901,balll901,(none),barla901,"""94""","""D Lamoureaux""","""D Lamoureaux""",2003/11/10 5:41PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,132,7528,hillf101,law-v101,minnp101,,,,,
PIT195105131,"""version 7RS(19) of 07/07/92""",CHN,PIT,1951/05/13,PIT06,1,0:00PM,day,false,balll901,barla901,(none),donaa901,"""137,140,68,111,611""","""Jack Zerby/RWood""","""David W. Smith/RWood""",2012/05/28 3:29PM,park,none,0,unknown,-1,unknown,unknown,unknown,176,0,queem101,schub103,,,,,,
PIT195105132,"""version 7RS(19) of 07/07/92""",CHN,PIT,1951/05/13,PIT06,2,0:00PM,day,false,barla901,donaa901,(none),balll901,"""94""","""D Lamoureaux""","""D Lamoureaux""",2003/11/10 5:49PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,123,25434,klipj101,dickm101,,,,,,
PIT195105160,"""version 7RS(19) of 07/07/92""",NY1,PIT,1951/05/16,PIT06,0,0:00PM,night,false,gorea901,stewb901,(none),conlj102,"""96,104,140,137,276""","""Richard Weston/Townsend""","""David W. Smith/Townsend""",2011/11/22 4:00PM,park,none,0,unknown,-1,unknown,unknown,unknown,157,24103,hearj102,walsj107,,,,,,
PIT195105170,"""version 7RS(19) of 07/07/92""",NY1,PIT,1951/05/17,PIT06,0,0:00PM,day,false,stewb901,conlj102,(none),gorea901,"""52,140""","""Gordon Gladman/Townsend""","""Gordon Gladman/Townsend""",1997/02/02 1:08PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,169,13926,dickm101,kennm101,,,,,,
PIT195105180,"""version 7RS(19) of 07/07/92""",BSN,PIT,1951/05/18,PIT06,0,0:00PM,night,false,warnl101,pineb101,(none),boggd901,"""206""","""D Lamoureaux""","""D Lamoureaux""",2003/09/21 5:30PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,144,30890,surkm101,queem101,,,,,,
PIT195105190,"""version 7RS(19) of 07/07/92""",BSN,PIT,1951/05/19,PIT06,0,0:00PM,day,false,pineb101,boggd901,(none),warnl101,"""115""","""Bob Kistler/RWood""","""Greg Beston/RWood""",1998/05/17 2:38PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,121,13217,bickv101,law-v101,,,,,,
PIT195105201,"""version 7RS(19) of 07/07/92""",PHI,PIT,1951/05/20,PIT06,1,0:00PM,day,false,barla901,donaa901,(none),balll901,"""150""","""Greg Beston""","""Greg Beston""",2003/09/08 6:32PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,157,0,meyer101,dickm101,,,,,,
PIT195105202,"""version 7RS(19) of 07/07/92""",PHI,PIT,1951/05/20,PIT06,2,0:00PM,day,false,donaa901,balll901,(none),barla901,"""293""","""David W. Smith""","""David W. Smith""",2010/10/29 12:57PM,park,none,0,unknown,-1,unknown,unknown,unknown,143,36166,rober102,dusae101,,,,,,
PIT195105220,"""version 7RS(19) of 07/07/92""",BRO,PIT,1951/05/22,PIT06,0,0:00PM,night,false,jordl901,dascf901,(none),goetl901,"""ALLAN ROTH""","""GORD GLADMAN""","""GORD GLADMAN""",1995/01/15 12:01AM,park,pitches,0,unknown,-1,unknown,unknown,unknown,182,22360,erskc101,frieb102,branr103,,,,,
PIT195105230,"""version 7RS(19) of 07/07/92""",BRO,PIT,1951/05/23,PIT06,0,0:00PM,night,false,dascf901,goetl901,(none),jordl901,"""ALLAN ROTH""","""GORD GLADMAN""","""GORD GLADMAN""",1995/01/15 8:10PM,park,pitches,0,unknown,-1,unknown,unknown,unknown,145,15759,newcd101,queem101,,,,,,
PIT195106120,"""version 7RS(19) of 07/07/92""",BSN,PIT,1951/06/12,PIT06,0,0:00PM,night,false,goetl901,jordl901,(none),dascf901,"""115""","""Bob Kistler""","""Greg Beston""",1998/05/27 3:31PM,unknown,none,0,unknown,-1,unknown,unknown,night,149,16054,sainj101,chamc102,,,,,,
PIT195106140,"""version 7RS(19) of 07/07/92""",BSN,PIT,1951/06/14,PIT06,0,0:00PM,day,false,jordl901,dascf901,(none),goetl901,"""115""","""Bob Kistler/RWood""","""Greg Beston/RWood""",1998/05/27 4:13PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,143,4277,dickm101,bickv101,,,,,,
PIT195106160,"""version 7RS(19) of 07/07/92""",NY1,PIT,1951/06/16,PIT06,0,0:00PM,day,false,stewb901,gorea901,(none),conlj102,"""276,140,104,96""","""Pete Cottrell/Smith""","""David W. Smith""",2011/05/08 10:45AM,park,none,0,unknown,-1,unknown,unknown,unknown,147,8673,magls101,lapap102,,,,,,
