game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,oscorer,howentered,gametype,umplf,umprf
DET195204150,"""version 7RS(19) of 07/07/92""",SLA,DET,1952/04/15,DET04,0,0:00PM,day,false,romme101,berrc103,(none),honoj901,"""209""","""Comly""","""Comly""",2008/06/01 8:32PM,unknown,none,49,unknown,-1,unknown,unknown,unknown,130,43112,garvn102,troud101,,,,,,,
DET195204160,"""version 7RS(19) of 07/07/92""",SLA,DET,1952/04/16,DET04,0,0:00PM,day,false,berrc103,honoj901,(none),romme101,"""212""","""Comly""","""Comly""",2008/06/01 8:58PM,park,none,0,unknown,-1,unknown,unknown,unknown,131,5524,byrnt101,houta101,,,,,,,
DET195204170,"""version 7RS(19) of 07/07/92""",SLA,DET,1952/04/17,DET04,0,0:00PM,day,false,honoj901,romme101,(none),berrc103,"""212""","""Comly""","""Comly""",2008/06/01 9:15PM,park,none,0,unknown,-1,unknown,unknown,unknown,133,5778,cainb101,newhh101,,,,,,,
DET195204260,"""version 7RS(19) of 07/07/92""",CLE,DET,1952/04/26,DET04,0,0:00PM,day,false,mckib901,soarh901,duffj901,summb901,"""CLE""","""D Lamoureaux""","""D Lamoureaux""",2002/12/08 12:06PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,138,17922,houta101,lemob101,,,,,,,
DET195204270,"""version 7RS(19) of 07/07/92""",CLE,DET,1952/04/27,DET04,0,0:00PM,day,false,soarh901,duffj901,summb901,mckib901,"""CLE""","""D Lamoureaux""","""D Lamoureaux""",2002/12/08 12:13PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,130,42831,grayt101,garcm101,,,,,,,
DET195205090,"""version 7RS(19) of 07/07/92""",CHA,DET,1952/05/09,DET04,0,0:00PM,day,false,mcgob901,grieb901,(none),nappl901,"""CHA""","""D Lamoureaux""","""D Lamoureaux""",2002/12/08 3:31PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,267,2857,dorif101,whith101,kennb103,,,,,,
DET195205100,"""version 7RS(19) of 07/07/92""",CHA,DET,1952/05/10,DET04,0,0:00PM,day,false,grieb901,nappl901,(none),mcgob901,"""CHA""","""D Lamoureaux""","""D Lamoureaux""",2002/12/22 3:39PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,151,7533,dobsj101,houta101,kennb103,,,,,,
DET195205111,"""version 7RS(19) of 07/07/92""",CHA,DET,1952/05/11,DET04,1,0:00PM,day,false,nappl901,mcgob901,(none),grieb901,"""CHA""","""D Lamoureaux""","""D Lamoureaux""",2002/12/22 4:29PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,154,0,stobc101,newhh101,rogos101,,,,,,
DET195205112,"""version 7RS(19) of 07/07/92""",CHA,DET,1952/05/11,DET04,2,0:00PM,day,false,mcgob901,grieb901,(none),nappl901,"""CHA""","""D Lamoureaux""","""D Lamoureaux""",2002/12/22 4:33PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,123,24053,grayt101,grism101,,,,,,,
DET195205130,"""version 7RS(19) of 07/07/92""",WS1,DET,1952/05/13,DET04,0,0:00PM,night,false,summb901,mckib901,honoj901,duffj901,"""WS1""","""D Lamoureaux""","""D Lamoureaux""",2002/12/23 8:27AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,118,19092,marrc101,stuam101,,,,,,,
