game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,oscorer,gametype
CHA195404130,"""version 7RS(19) of 07/07/92""",CLE,CHA,1954/04/13,CHI10,0,0:00PM,day,false,grieb901,berrc103,hurle901,umonf901,"""Both teams""","""Scott Came""","""Scott Came""",1997/06/22 2:44PM,park,none,0,unknown,-1,unknown,unknown,unknown,181,31026,wynne101,pierb101,,,,
CHA195404140,"""version 7RS(19) of 07/07/92""",CLE,CHA,1954/04/14,CHI10,0,0:00PM,day,false,berrc103,hurle901,umonf901,grieb901,"""Both teams""","""Scott Came""","""Scott Came""",1997/06/22 1:30PM,park,none,0,unknown,-1,unknown,unknown,unknown,157,7872,lemob101,harsj101,,,,
CHA195404230,"""version 7RS(19) of 07/07/92""",BAL,CHA,1954/04/23,CHI10,0,0:00PM,day,false,umonf901,grieb901,berrc103,hurle901,"""  BAL -- CHA""","""Jim Herdman""","""Jim Herdman""",1996/12/30 9:01PM,park,none,0,unknown,-1,unknown,unknown,unknown,138,2614,colej101,pierb101,,,,
CHA195404240,"""version 7RS(19) of 07/07/92""",BAL,CHA,1954/04/24,CHI10,0,0:00PM,day,false,grieb901,berrc103,hurle901,umonf901,"""  BAL -- CHA""","""Jim Herdman""","""Jim Herdman""",1997/01/01 11:41AM,park,none,0,unknown,-1,unknown,unknown,unknown,148,9038,keegb101,bickv101,simaa101,,,
CHA195404251,"""version 7RS(19) of 07/07/92""",BAL,CHA,1954/04/25,CHI10,1,0:00PM,day,false,berrc103,hurle901,umonf901,grieb901,"""  BAL -- CHA""","""Jim Herdman""","""Jim Herdman""",1997/01/01 12:50PM,park,none,0,unknown,-1,unknown,unknown,unknown,127,0,trucv101,larsd102,,,,
CHA195404252,"""version 7RS(19) of 07/07/92""",BAL,CHA,1954/04/25,CHI10,2,0:00PM,day,false,hurle901,umonf901,grieb901,berrc103,"""  BAL -- CHA""","""Jim Herdman""","""Jim Herdman""",1997/01/01 3:00PM,park,none,0,unknown,-1,unknown,unknown,unknown,168,16571,conss101,fox-h101,,,,
CHA195405080,"""version 7RS(19) of 07/07/92""",DET,CHA,1954/05/08,CHI10,0,2:00PM,day,false,honoj901,mcgob901,papaj901,chyln901,"""  DET -- CHA""","""Jim Herdman""","""Jim Herdman""",1998/09/07 6:58AM,park,none,0,unknown,-1,wet,showers,overcast,144,5910,garvn102,johnd102,,,,
CHA195405091,"""version 7RS(19) of 07/07/92""",DET,CHA,1954/05/09,CHI10,1,0:00PM,day,false,mcgob901,papaj901,chyln901,honoj901,"""  DET -- CHA""","""Jim Herdman""","""JIm Herdman""",1998/09/07 9:31AM,park,none,0,unknown,-1,unknown,unknown,unknown,170,0,groms101,trucv101,,,,
CHA195405092,"""version 7RS(19) of 07/07/92""",DET,CHA,1954/05/09,CHI10,2,0:00PM,day,false,papaj901,chyln901,honoj901,mcgob901,"""  DET -- CHA""","""Jim Herdman""","""Jim Herdman""",1998/09/07 5:26PM,park,none,0,unknown,-1,unknown,unknown,unknown,153,15882,,,,,,
CHA195405110,"""version 7RS(19) of 07/07/92""",BOS,CHA,1954/05/11,CHI10,0,0:00PM,night,false,flahr901,stevj901,romme101,nappl901,"""  White Sox""","""Jim Herdman""","""Jim Herdman""",1998/09/12 8:22AM,park,none,0,unknown,-1,unknown,unknown,unknown,157,20090,keegb101,sullf101,,,,
CHA195405120,"""version 7RS(19) of 07/07/92""",BOS,CHA,1954/05/12,CHI10,0,0:00PM,day,false,stevj901,romme101,nappl901,flahr901,"""  White Sox""","""Jim Herdman""","""Jim Herdman""",1998/09/12 8:41AM,park,none,0,unknown,-1,unknown,unknown,unknown,125,3970,johnd102,brewt101,,,,
CHA195405130,"""version 7RS(19) of 07/07/92""",PHA,CHA,1954/05/13,CHI10,0,0:00PM,day,false,romme101,nappl901,flahr901,stevj901,"""  White Sox""","""Jim Herdman""","""Jim Herdman""",1998/09/12 10:32AM,park,none,0,unknown,-1,unknown,unknown,unknown,137,3206,burtm101,trucv101,,,,
CHA195405140,"""version 7RS(19) of 07/07/92""",PHA,CHA,1954/05/14,CHI10,0,0:00PM,night,false,nappl901,flahr901,stevj901,romme101,"""White Sox""","""Jim Herdman""","""JIm Herdman""",1998/09/12 3:04PM,park,none,0,unknown,-1,unknown,unknown,unknown,151,21613,johnd102,ditma101,,,,
CHA195405150,"""version 7RS(19) of 07/07/92""",PHA,CHA,1954/05/15,CHI10,0,0:00PM,day,false,flahr901,stevj901,romme101,nappl901,"""  White Sox""","""Jim Herdman""","""Jim Herdman""",1998/09/12 3:33PM,park,none,0,unknown,-1,unknown,unknown,unknown,149,10331,trucv101,wheal101,,,,
CHA195405161,"""version 7RS(19) of 07/07/92""",WS1,CHA,1954/05/16,CHI10,1,0:00PM,day,false,chyln901,mcgob901,papaj901,honoj901,"""  WS1 -- CHA""","""Jim Herdman""","""Jim Herdman""",1996/05/27 2:03PM,park,none,0,unknown,-1,unknown,unknown,unknown,157,0,keegb101,dixos101,,,,
CHA195405162,"""version 7RS(19) of 07/07/92""",WS1,CHA,1954/05/16,CHI10,2,0:00PM,day,false,mcgob901,papaj901,honoj901,chyln901,"""  WS1 -- CHA""","""Jim Herdman""","""Jim Herdman""",1996/06/02 5:14AM,park,none,0,unknown,-1,unknown,unknown,unknown,139,25515,portb102,fornm101,,,,
CHA195405180,"""version 7RS(19) of 07/07/92""",NYA,CHA,1954/05/18,CHI10,0,0:00PM,night,false,papaj901,honoj901,chyln901,mcgob901,"""  White Sox""","""Jim Herdman""","""Jim Herdman""",1998/09/12 4:13PM,park,none,0,unknown,-1,dry,none,night,183,37158,sainj101,johnd102,,,,
CHA195405190,"""version 7RS(19) of 07/07/92""",NYA,CHA,1954/05/19,CHI10,0,0:00PM,day,false,honoj901,chyln901,mcgob901,papaj901,"""  White Sox""","""Jim Herdman""","""Jim Herdman""",1998/09/12 5:03PM,park,none,0,unknown,-1,unknown,unknown,unknown,145,10938,grimb102,pierb101,reyna102,,,
CHA195405250,"""version 7RS(19) of 07/07/92""",CLE,CHA,1954/05/25,CHI10,0,0:00PM,night,false,mckib901,soarh901,runge901,summb901,"""  CLE - CHA""","""Jim Herdman""","""Jim Herdman""",1997/04/26 7:45AM,park,none,0,unknown,-1,unknown,unknown,unknown,172,43039,pierb101,lemob101,trucv101,,,
