game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,gametype,oscorer
KC1195504120,"""version 7RS(19) of 07/07/92""",DET,KC1,1955/04/12,KAN05,0,2:04PM,day,false,summb901,hurle901,soarh901,runge901,"""Tigers""","""Jim Herdman""","""Jim Herdman""",1996/11/24 2:55PM,park,none,75,unknown,-1,wet,none,sunny,158,32147,kella103,garvn102,blace102,,,
KC1195504130,"""version 7RS(19) of 07/07/92""",DET,KC1,1955/04/13,KAN05,0,0:00PM,day,false,hurle901,soarh901,runge901,summb901,"""Tigers""","""Jim Herdman""","""Jim Herdman""",1996/11/24 5:36PM,park,none,0,unknown,-1,wet,none,unknown,140,21868,groms101,porta101,,,,
KC1195504180,"""version 7RS(19) of 07/07/92""",CLE,KC1,1955/04/18,KAN05,0,0:00PM,night,false,papaj901,honoj901,umonf901,romme101,"""Indians,39""","""D Lamoureaux/RWood""","""D Lamoureaux/RWood""",1999/06/14 12:33PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,190,31563,houta101,blace102,fellb101,,,
KC1195504190,"""version 7RS(19) of 07/07/92""",CLE,KC1,1955/04/19,KAN05,0,0:00PM,day,false,honoj901,umonf901,romme101,papaj901,"""Indians,39""","""D Lamoureaux/RWood""","""D Lamoureaux/RWood""",1999/06/15 6:19AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,184,11558,bishc101,garcm101,,,,
KC1195504220,"""version 7RS(19) of 07/07/92""",CHA,KC1,1955/04/22,KAN05,0,0:00PM,night,false,umonf901,romme101,papaj901,honoj901,"""White Sox""","""D Lamoureaux""","""D Lamoureaux""",1999/06/15 12:07PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,153,22996,trucv101,porta101,martm101,,,
KC1195504230,"""version 7RS(19) of 07/07/92""",CHA,KC1,1955/04/23,KAN05,0,0:00PM,day,false,romme101,papaj901,honoj901,umonf901,"""White Sox/68""","""D Lamoureaux/Smith""","""D Lamoureaux/Smith""",1999/06/15 12:29PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,188,18338,harsj101,shanb102,dorif101,,,
KC1195504240,"""version 7RS(19) of 07/07/92""",CHA,KC1,1955/04/24,KAN05,0,0:00PM,day,false,papaj901,honoj901,umonf901,romme101,"""White Sox""","""D Lamoureaux""","""D Lamoureaux""",1999/06/16 6:26AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,125,19446,kella103,donod101,,,,
KC1195504260,"""version 7RS(19) of 07/07/92""",BOS,KC1,1955/04/26,KAN05,0,0:00PM,night,false,soarh901,runge901,summb901,hurle901,"""71""","""Lamouraux/Comly""","""Comly""",2007/05/12 8:43AM,park,none,0,unknown,-1,unknown,unknown,night,202,17067,gormt102,hurdt101,,,,
KC1195504270,"""version 7RS(19) of 07/07/92""",BOS,KC1,1955/04/27,KAN05,0,0:00PM,day,false,runge901,summb901,hurle901,soarh901,"""Boston Paper""","""D Lamoureaux""","""D Lamoureaux""",1999/06/17 8:17AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,137,9557,boyec101,sullf101,,,,
KC1195504280,"""version 7RS(19) of 07/07/92""",NYA,KC1,1955/04/28,KAN05,0,0:00PM,night,false,summb901,hurle901,soarh901,runge901,"""Yankees""","""D Lamoureaux""","""D Lamoureaux""",1999/06/17 8:35AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,195,32559,larsd102,grayj101,,,,
