game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,scorer,oscorer
NYA195604200,"""version 7RS(19) of 07/07/92""",BOS,NYA,1956/04/20,NYC16,0,0:00PM,day,false,chyln901,papaj901,hurle901,soarh901,"""Luke Kraemer""","""Luke Kraemer""",1994/07/06 7:56AM,park,none,0,unknown,-1,unknown,unknown,unknown,151,17543,fordw101,nixow101,,skowb101,,
NYA195604210,"""version 7RS(19) of 07/07/92""",BOS,NYA,1956/04/21,NYC16,0,0:00PM,day,false,papaj901,hurle901,soarh901,chyln901,"""Luke Kraemer""","""Luke Kraemer""",1994/07/06 8:11AM,park,none,0,unknown,-1,unknown,unknown,unknown,224,26644,byrnt101,hurdt101,,robie101,,
NYA195604220,"""version 7RS(19) of 07/07/92""",BOS,NYA,1956/04/22,NYC16,0,0:00PM,day,false,hurle901,soarh901,chyln901,papaj901,"""Luke Kraemer""","""Luke Kraemer""",1994/07/06 8:25AM,park,none,0,unknown,-1,unknown,unknown,unknown,166,35204,grimb102,baumf102,,mantm101,,
NYA195604240,"""version 7RS(19) of 07/07/92""",WS1,NYA,1956/04/24,NYC16,0,0:00PM,day,false,soarh901,chyln901,papaj901,hurle901,"""Luke Kraemer""","""Luke Kraemer""",1994/07/06 8:32AM,park,none,0,unknown,-1,unknown,unknown,unknown,111,4377,kuckj101,stobc101,,baueh101,,
NYA195605010,"""version 7RS(19) of 07/07/92""",DET,NYA,1956/05/01,NYC16,0,0:00PM,day,false,ricej901,summb901,mckib901,flahr901,"""Luke Kraemer""","""Luke Kraemer""",1994/07/06 10:28PM,park,none,0,unknown,-1,unknown,unknown,unknown,137,6771,fordw101,groms101,,mantm101,,
NYA195605020,"""version 7RS(19) of 07/07/92""",DET,NYA,1956/05/02,NYC16,0,0:00PM,day,false,summb901,mckib901,flahr901,ricej901,"""Luke Kraemer""","""Luke Kraemer""",1994/07/09 9:55AM,park,none,0,unknown,-1,unknown,unknown,unknown,160,5318,laryf101,kuckj101,,kalia101,,
NYA195605030,"""version 7RS(19) of 07/07/92""",KC1,NYA,1956/05/03,NYC16,0,0:00PM,day,false,mckib901,flahr901,ricej901,summb901,"""Luke Kraemer""","""Luke Kraemer""",1994/07/09 10:07AM,park,none,0,unknown,-1,unknown,unknown,unknown,138,4308,burtm101,morgt101,,simph101,,
NYA195605040,"""version 7RS(19) of 07/07/92""",KC1,NYA,1956/05/04,NYC16,0,0:00PM,day,false,flahr901,ricej901,summb901,mckib901,"""Luke Kraemer""","""Luke Kraemer""",1994/07/09 10:17AM,park,none,0,unknown,-1,unknown,unknown,unknown,168,5318,grimb102,crimj101,konsj101,,,
NYA195605050,"""version 7RS(19) of 07/07/92""",KC1,NYA,1956/05/05,NYC16,0,0:00PM,day,false,ricej901,summb901,mckib901,flahr901,"""Luke Kraemer""","""Luke Kraemer""",1994/07/09 10:38AM,park,none,0,unknown,-1,unknown,unknown,unknown,140,12773,mcdem102,kretl101,larsd102,,,
NYA195605061,"""version 7RS(19) of 07/07/92""",CHA,NYA,1956/05/06,NYC16,1,0:00PM,day,false,soarh901,chyln901,papaj901,hurle901,"""Wayne Townsend,Luke Kraemer""","""Wayne Townsend,Luke Kraemer""",1994/07/09 11:28AM,park,pitches,0,unknown,-1,unknown,unknown,cloudy,135,0,fordw101,harsj101,,,"""602""",
NYA195605062,"""version 7RS(19) of 07/07/92""",CHA,NYA,1956/05/06,NYC16,2,0:00PM,day,false,chyln901,papaj901,hurle901,soarh901,"""Luke Kraemer""","""Luke Kraemer""",1994/07/09 2:50PM,park,none,0,unknown,-1,unknown,unknown,unknown,143,49016,coler101,byrdh101,konsj101,,,
NYA195605080,"""version 7RS(19) of 07/07/92""",CLE,NYA,1956/05/08,NYC16,0,0:00PM,day,false,papaj901,hurle901,soarh901,chyln901,"""Luke Kraemer""","""Luke Kraemer""",1994/07/09 2:57PM,park,none,0,unknown,-1,unknown,unknown,unknown,134,8794,kuckj101,wynne101,,howae101,,
NYA195605090,"""version 7RS(19) of 07/07/92""",CLE,NYA,1956/05/09,NYC16,0,0:00PM,day,false,hurle901,soarh901,chyln901,papaj901,"""Luke Kraemer""","""Luke Kraemer""",1994/07/09 3:04PM,park,none,0,unknown,-1,unknown,unknown,unknown,170,12225,scorh101,morgt101,mossd101,,,
NYA195605100,"""version 7RS(19) of 07/07/92""",CLE,NYA,1956/05/10,NYC16,0,0:00PM,day,false,soarh901,chyln901,papaj901,hurle901,"""Luke Kraemer""","""Luke Kraemer""",1994/07/09 3:11PM,park,none,0,unknown,-1,unknown,unknown,unknown,179,10382,lemob101,mcdem102,,hegaj101,,
NYA195605110,"""version 7RS(19) of 07/07/92""",BAL,NYA,1956/05/11,NYC16,0,0:00PM,night,false,umonf901,berrc103,honoj901,nappl901,"""Luke Kraemer""","""Luke Kraemer""",1994/07/09 4:44PM,park,none,0,unknown,-1,unknown,unknown,unknown,143,13991,fordw101,palie101,,skowb101,,
