game_id,inputprogvers,visteam,hometeam,site,date,number,starttime,daynight,usedh,gametype,umphome,ump1b,ump2b,ump3b,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,scorer,oscorer,umplf
ASW195707280,"""version 7RS(19) of 07/07/92""",ASE,ASW,CHI10,1957/07/28,0,0:00PM,day,false,allstar,younr901,lewis901,lewie901,summa901,"""Tom Thress""","""Tom Thress""",2023/09/26 12:56AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,157,10500,wille107,ellij106,,,,,
CLE195704160,"""version 7RS(19) of 07/07/92""",CHA,CLE,CLE07,1957/04/16,0,0:00PM,day,false,,summb901,honoj901,flahr901,chyln901,"""Mike Grahek""","""Mike Grahek""",1999/08/11 11:54AM,park,none,0,unknown,-1,unknown,unknown,unknown,209,31145,pierb101,scorh101,,,"""Indians""",,
CLE195704260,"""version 7RS(19) of 07/07/92""",DET,CLE,CLE07,1957/04/26,0,0:00PM,night,false,,tabaf901,berrc103,mckib901,soarh901,"""Mike Grahek""","""Mike Grahek""",1997/09/22 4:28PM,park,none,0,unknown,-1,unknown,unknown,unknown,167,14396,maasd101,lemob101,,,"""H. Middlesworth""",,
CLE195704270,"""version 7RS(19) of 07/07/92""",DET,CLE,CLE07,1957/04/27,0,0:00PM,day,false,,berrc103,mckib901,soarh901,tabaf901,"""Mike Grahek""","""Mike Grahek""",1997/09/24 10:27AM,park,none,0,unknown,-1,unknown,unknown,unknown,143,5215,scorh101,foytp101,,wertv101,"""H. Middlesworth""",joneh701,
CLE195704281,"""version 7RS(19) of 07/07/92""",DET,CLE,CLE07,1957/04/28,1,0:00PM,day,false,,mckib901,soarh901,tabaf901,berrc103,"""Mike Grahek""","""Mike Grahek""",1997/09/30 3:37PM,park,none,0,unknown,-1,unknown,unknown,unknown,134,0,abera101,wynne101,,,"""H. Middlesworth""",,
CLE195704282,"""version 7RS(19) of 07/07/92""",DET,CLE,CLE07,1957/04/28,2,0:00PM,day,false,,soarh901,tabaf901,berrc103,mckib901,"""Mike Grahek""","""Mike Grahek""",1997/09/30 4:37PM,park,none,0,unknown,-1,unknown,unknown,unknown,139,12467,narlr101,abera101,,,"""H. Middlesworth""",,
CLE195704300,"""version 7RS(19) of 07/07/92""",WS1,CLE,CLE07,1957/04/30,0,0:00PM,night,false,,umonf901,papaj901,hurle901,runge901,"""Mike Grahek""","""Mike Grahek""",1999/11/10 8:06AM,park,none,0,unknown,-1,unknown,unknown,unknown,127,5569,lemob101,ramop101,narlr101,,"""Nats/Indians""",,
CLE195705010,"""version 7RS(19) of 07/07/92""",WS1,CLE,CLE07,1957/05/01,0,0:00PM,day,false,,papaj901,hurle901,runge901,umonf901,"""Mike Grahek""","""Mike Grahek""",1999/11/11 7:54AM,park,none,0,unknown,-1,unknown,unknown,unknown,176,1943,narlr101,brodd101,,,"""Tribe/Senators""",,
CLE195705040,"""version 7RS(19) of 07/07/92""",BOS,CLE,CLE07,1957/05/04,0,0:00PM,day,false,,romme101,stevj901,nappl901,ricej901,"""Mike Grahek""","""Mike Grahek""",1999/03/10 8:02AM,park,none,45,unknown,-1,unknown,unknown,unknown,135,2796,wynne101,stond102,,,"""Indians""",,
CLE195705051,"""version 7RS(19) of 07/07/92""",BOS,CLE,CLE07,1957/05/05,1,0:00PM,day,false,,stevj901,nappl901,ricej901,romme101,"""Mike Grahek""","""Mike Grahek""",1999/03/10 9:31PM,park,none,0,unknown,-1,unknown,unknown,unknown,152,0,nixow101,lemob101,,,"""Indians""",,
CLE195705052,"""version 7RS(19) of 07/07/92""",BOS,CLE,CLE07,1957/05/05,2,0:00PM,day,false,,nappl901,ricej901,romme101,stevj901,"""Mike Grahek""","""Mike Grahek""",1999/03/10 9:41PM,park,none,0,unknown,-1,unknown,unknown,unknown,137,12454,sisld102,garcm101,deloi101,,"""Indians""",,
CLE195705070,"""version 7RS(19) of 07/07/92""",NYA,CLE,CLE07,1957/05/07,0,0:00PM,night,false,,ricej901,romme101,stevj901,nappl901,"""Mike Grahek""","""Mike Grahek""",1998/08/25 4:33PM,park,none,0,unknown,-1,unknown,unknown,unknown,149,18386,lemob101,sturt101,,,"""Yanks/Koppett""",,
CLE195705080,"""version 7RS(19) of 07/07/92""",NYA,CLE,CLE07,1957/05/08,0,0:00PM,night,false,,romme101,stevj901,nappl901,ricej901,"""Mike Grahek""","""Mike Grahek""",1998/08/25 5:00PM,park,none,0,unknown,-1,unknown,unknown,unknown,169,15629,wynne101,byrnt101,narlr101,,"""Yanks/Koppett""",,
CLE195705100,"""version 7RS(19) of 07/07/92""",KC1,CLE,CLE07,1957/05/10,0,0:00PM,night,false,,umonf901,papaj901,hurle901,runge901,"""Mike Grahek""","""Mike Grahek""",1999/11/17 4:15PM,park,none,0,unknown,-1,unknown,unknown,unknown,149,5457,garcm101,hostg101,narlr101,,"""Indians""",,
CLE195705110,"""version 7RS(19) of 07/07/92""",KC1,CLE,CLE07,1957/05/11,0,0:00PM,day,false,,papaj901,hurle901,runge901,umonf901,"""Mike Grahek""","""Mike Grahek""",1999/11/18 8:03AM,park,none,0,unknown,-1,unknown,unknown,unknown,119,2874,lemob101,morgt101,mossd101,,"""Indians""",,
CLE195705121,"""version 7RS(19) of 07/07/92""",KC1,CLE,CLE07,1957/05/12,1,0:00PM,day,false,,hurle901,runge901,umonf901,papaj901,"""Mike Grahek""","""Mike Grahek""",1999/11/22 9:27PM,park,none,0,unknown,-1,unknown,unknown,unknown,185,0,trucv101,wynne101,,,"""Indians""",,
CLE195705122,"""version 7RS(19) of 07/07/92""",KC1,CLE,CLE07,1957/05/12,2,0:00PM,day,false,,runge901,umonf901,papaj901,hurle901,"""Mike Grahek""","""Mike Grahek""",1999/11/22 9:38PM,park,none,0,unknown,-1,unknown,unknown,unknown,137,9923,mossd101,durer101,narlr101,,"""Indians""",,
CLE195705240,"""version 7RS(19) of 07/07/92""",CHA,CLE,CLE07,1957/05/24,0,0:00PM,night,false,,ricej901,romme101,stevj901,nappl901,"""Mike Grahek""","""Mike Grahek""",1999/08/20 11:46AM,park,none,0,unknown,-1,unknown,unknown,unknown,162,22208,tomad101,fiscb101,narlr101,,"""Sox/Indians""",,
CLE195705250,"""version 7RS(19) of 07/07/92""",CHA,CLE,CLE07,1957/05/25,0,0:00PM,day,false,,romme101,stevj901,nappl901,ricej901,"""Mike Grahek""","""Mike Grahek""",1999/08/20 2:15PM,park,none,0,unknown,-1,unknown,unknown,unknown,140,8138,donod101,wynne101,,,"""Sox/Indians""",,
CLE195705261,"""version 7RS(19) of 07/07/92""",CHA,CLE,CLE07,1957/05/26,1,0:00PM,day,false,,stevj901,nappl901,ricej901,romme101,"""Mike Grahek""","""Mike Grahek""",1999/08/20 3:04PM,park,none,0,unknown,-1,unknown,unknown,unknown,156,0,pierb101,daleb102,,,"""Sox/Indians""",,
CLE195705262,"""version 7RS(19) of 07/07/92""",CHA,CLE,CLE07,1957/05/26,2,0:00PM,day,false,,nappl901,ricej901,romme101,stevj901,"""Mike Grahek""","""Mike Grahek""",1999/08/20 3:32PM,park,none,0,unknown,-1,unknown,unknown,unknown,173,24518,narlr101,keegb101,,,"""Sox/Indians""",,
CLE195706040,"""version 7RS(19) of 07/07/92""",NYA,CLE,CLE07,1957/06/04,0,0:00PM,night,false,,soarh901,tabaf901,berrc103,mckib901,"""Mike Grahek""","""Mike Grahek""",1998/10/06 7:50AM,park,none,0,unknown,-1,unknown,none,sunny,166,23466,sturt101,daleb102,grimb102,,"""Yankees""",,
CLE195706050,"""version 7RS(19) of 07/07/92""",NYA,CLE,CLE07,1957/06/05,0,0:00PM,night,false,,tabaf901,berrc103,mckib901,soarh901,"""Mike Grahek""","""Mike Grahek""",1998/10/06 9:14PM,park,none,0,unknown,-1,unknown,unknown,unknown,158,22221,shanb102,wynne101,,,"""Yankees""",,
CLE195706060,"""version 7RS(19) of 07/07/92""",NYA,CLE,CLE07,1957/06/06,0,0:00PM,day,false,,berrc103,mckib901,soarh901,tabaf901,"""Mike Grahek""","""Mike Grahek""",1998/10/06 9:43PM,park,none,0,unknown,-1,unknown,unknown,unknown,184,7461,kuckj101,garcm101,,,"""Yankees""",,
CLE195706070,"""version 7RS(19) of 07/07/92""",WS1,CLE,CLE07,1957/06/07,0,0:00PM,night,false,,mckib901,soarh901,tabaf901,berrc103,"""Mike Grahek""","""Mike Grahek""",1999/12/08 9:31PM,park,none,0,unknown,-1,unknown,unknown,unknown,194,6182,clevt101,tomad101,,,"""Indians/Nats""",,
