game_id,inputprogvers,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,translator,oscorer,gametype
CHA195804150,"""version 7RS(19) of 07/07/92""",DET,CHA,CHI10,1958/04/15,0,0:00PM,day,false,romme101,stevj901,nappl901,ricej901,"""Middlesworth""","""Elliott""",1998/01/02 2:39PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,159,28319,bunnj101,pierb101,,,,,
CHA195804160,"""version 7RS(19) of 07/07/92""",DET,CHA,CHI10,1958/04/16,0,0:00PM,day,false,stevj901,nappl901,ricej901,papaj901,"""Middlesworth ""","""Elliott""",1998/01/06 7:41AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,177,5524,speng102,donod101,presj101,,,,
CHA195804170,"""version 7RS(19) of 07/07/92""",DET,CHA,CHI10,1958/04/17,0,0:00PM,day,false,nappl901,ricej901,romme101,stevj901,"""Middlesworth""","""Elliott""",1998/01/07 7:29AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,149,4426,wynne101,laryf101,stalg103,,,,
CHA195804250,"""version 7RS(19) of 07/07/92""",KC1,CHA,CHI10,1958/04/25,0,0:00PM,day,false,flahr901,chyln901,berrc103,mckib901,"""CHA""","""Chris Chestnut""",1999/06/22 8:07PM,park,none,0,unknown,-1,unknown,unknown,unknown,216,1742,fiscb101,cradw101,,,"""Chris Chestnut""",,
CHA195804260,"""version 7RS(19) of 07/07/92""",KC1,CHA,CHI10,1958/04/26,0,0:00PM,day,false,chyln901,berrc103,mckib901,flahr901,"""CHA""","""Chris Chestnut""",1999/06/26 9:13AM,park,none,0,unknown,-1,unknown,unknown,unknown,158,3906,terrr101,donod101,,,"""Chris Chestnut""",,
CHA195805090,"""version 7RS(19) of 07/07/92""",CLE,CHA,CHI10,1958/05/09,0,0:00PM,day,false,honoj901,soarh901,umonf901,summb901,"""9 & 3""","""Greg Beston""",2004/01/24 1:10PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,154,2055,wynne101,granj101,,,"""Greg Beston""",,
CHA195805100,"""version 7RS(19) of 07/07/92""",CLE,CHA,CHI10,1958/05/10,0,0:00PM,day,false,soarh901,umonf901,summb901,honoj901,"""3""","""Greg Beston""",2004/01/24 2:25PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,158,7749,donod101,mossd101,,,"""Greg Beston""",,
CHA195805111,"""version 7RS(19) of 07/07/92""",CLE,CHA,CHI10,1958/05/11,1,0:00PM,day,false,umonf901,summb901,honoj901,soarh901,"""9 & 3""","""Greg Beston""",2004/01/25 10:11AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,178,0,narlr101,pierb101,mclic101,,"""Greg Beston""",,
CHA195805112,"""version 7RS(19) of 07/07/92""",CLE,CHA,CHI10,1958/05/11,2,0:00PM,day,false,summb901,honoj901,soarh901,umonf901,"""9 & 3""","""Greg Beston""",2004/01/25 10:38AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,155,18570,wilsj104,kellb103,stalg103,,"""Greg Beston""",,
CHA195805200,"""version 7RS(19) of 07/07/92""",NYA,CHA,CHI10,1958/05/20,0,0:00PM,night,false,berrc103,mckib901,flahr901,chyln901,"""NYA/CHA""","""Chris Chestnut""",1999/07/05 7:54PM,park,none,0,unknown,-1,unknown,unknown,unknown,147,36167,kuckj101,donod101,,,"""Chris Chestnut""",,
CHA195805210,"""version 7RS(19) of 07/07/92""",NYA,CHA,CHI10,1958/05/21,0,0:00PM,day,false,mckib901,flahr901,chyln901,berrc103,"""NYA CHA""","""Marc Stephenson""",1999/06/07 9:36PM,park,none,65,unknown,-1,unknown,unknown,sunny,129,9002,fordw101,pierb101,,,"""Marc Stephenson""",,
CHA195805220,"""version 7RS(19) of 07/07/92""",BAL,CHA,CHI10,1958/05/22,0,0:00PM,day,false,romme101,stevj901,nappl901,ricej901,"""BAL CHA""","""Tim Cashion""",1997/04/27 3:02AM,park,none,0,unknown,-1,unknown,unknown,unknown,145,632,wilsj104,porta101,,,"""Tim Cashion""",,
