game_id,inputprogvers,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,gametype,umplf,umprf
KC1195904100,"""version 7RS(19) of 07/07/92""",CLE,KC1,KAN05,1959/04/10,0,0:00PM,day,false,papaj901,hurle901,runge901,tabaf901,"""Plain Dealer""","""Ron Rakowski""","""Ron Rakowski""",1996/06/25 7:21PM,park,none,0,unknown,-1,unknown,unknown,unknown,161,22630,bellg102,grimb102,brodd101,,,,
KC1195904110,"""version 7RS(19) of 07/07/92""",CLE,KC1,KAN05,1959/04/11,0,0:00PM,day,false,hurle901,runge901,tabaf901,papaj901,"""Plain Dealer""","""Ron Rakowski""","""Ron Rakowski""",1996/06/25 8:03PM,park,none,0,unknown,-1,unknown,unknown,unknown,160,8181,ferrd102,garvn102,brodd101,,,,
KC1195904210,"""version 7RS(19) of 07/07/92""",CHA,KC1,KAN05,1959/04/21,0,0:00PM,night,false,nappl901,ricej901,romme101,stevj901,"""White Sox""","""Ron Fisher""","""Ron Fisher""",1995/09/10 2:44PM,park,none,0,unknown,-1,unknown,unknown,unknown,117,6569,grimb102,pierb101,,,,,
KC1195904220,"""version 7RS(19) of 07/07/92""",CHA,KC1,KAN05,1959/04/22,0,0:00PM,night,false,ricej901,romme101,stevj901,nappl901,"""White Sox""","""David W. Smith""","""David W. Smith""",1996/06/25 3:48PM,park,none,0,unknown,-1,unknown,unknown,unknown,192,7446,shawb103,daleb102,,,,,
KC1195904240,"""version 7RS(19) of 07/07/92""",DET,KC1,KAN05,1959/04/24,0,0:00PM,night,false,romme101,stevj901,nappl901,ricej901,"""Det Free Press""","""Ron Fisher""","""Ron Fisher""",1993/07/03 10:14AM,park,none,0,unknown,-1,unknown,unknown,unknown,154,8727,terrr101,hoefb101,,,,,
KC1195904250,"""version 7RS(19) of 07/07/92""",DET,KC1,KAN05,1959/04/25,0,0:00PM,night,false,stevj901,nappl901,ricej901,romme101,"""Det Free Press""","""Ron Fisher""","""Ron Fisher""",1993/07/03 11:35PM,park,none,0,unknown,-1,unknown,unknown,unknown,160,9499,garvn102,foytp101,tomad101,,,,
KC1195904260,"""version 7RS(19) of 07/07/92""",DET,KC1,KAN05,1959/04/26,0,0:00PM,day,false,nappl901,ricej901,romme101,stevj901,"""Det Free Press""","""Ron Fisher""","""Ron Fisher""",1993/07/04 12:55AM,park,none,0,unknown,-1,unknown,unknown,unknown,164,7430,grimb102,bunnj101,daleb102,,,,
KC1195904280,"""version 7RS(19) of 07/07/92""",WS1,KC1,KAN05,1959/04/28,0,0:00PM,night,false,mckib901,soarh901,chyln901,summb901,"""Senators""","""Ron Rakowski""","""Ron Rakowski""",1996/09/11 8:38PM,park,none,0,unknown,-1,unknown,unknown,unknown,161,7566,kemmr101,herbr101,,,,,
KC1195904290,"""version 7RS(19) of 07/07/92""",WS1,KC1,KAN05,1959/04/29,0,0:00PM,day,false,soarh901,chyln901,summb901,mckib901,"""Senators""","""Ron Rakowski""","""Ron Rakowski""",1996/09/11 8:55PM,park,none,0,unknown,-1,unknown,unknown,unknown,156,4769,gormt102,valev101,,,,,
KC1195904300,"""version 7RS(19) of 07/07/92""",BAL,KC1,KAN05,1959/04/30,0,0:00PM,night,false,romme101,stevj901,nappl901,ricej901,"""Orioles""","""Ron Rakowski""","""Ron Rakowski""",1996/09/11 9:05PM,park,none,0,unknown,-1,unknown,unknown,unknown,134,8446,garvn102,loesb101,,,,,
KC1195905010,"""version 7RS(19) of 07/07/92""",BAL,KC1,KAN05,1959/05/01,0,0:00PM,night,false,stevj901,nappl901,ricej901,romme101,"""Orioles""","""Ron Rakowski""","""Ron Rakowski""",1996/09/18 7:23PM,park,none,0,unknown,-1,unknown,unknown,unknown,151,10343,meyer101,johne101,,,,,
KC1195905020,"""version 7RS(19) of 07/07/92""",BAL,KC1,KAN05,1959/05/02,0,0:00PM,day,false,nappl901,ricej901,romme101,stevj901,"""Orioles""","""Ron Rakowski""","""Ron Rakowski""",1996/09/18 7:53PM,park,none,0,unknown,-1,unknown,unknown,unknown,110,8089,wilhh101,herbr101,,,,,
KC1195905030,"""version 7RS(19) of 07/07/92""",BOS,KC1,KAN05,1959/05/03,0,0:00PM,day,false,ricej901,romme101,stevj901,nappl901,"""Boston Record/268""","""Ron Rakowski/Smith""","""Ron Rakowski/Smith""",1996/09/18 8:15PM,park,none,0,unknown,-1,unknown,unknown,unknown,143,12635,terrr101,sullf101,,,,,
KC1195905040,"""version 7RS(19) of 07/07/92""",BOS,KC1,KAN05,1959/05/04,0,0:00PM,day,false,romme101,stevj901,nappl901,ricej901,"""Boston Record""","""Ron Rakowski""","""Ron Rakowski""",1996/09/18 8:49PM,park,none,0,unknown,-1,unknown,unknown,unknown,200,5457,monbb101,coler101,wallm101,,,,
KC1195905050,"""version 7RS(19) of 07/07/92""",NYA,KC1,KAN05,1959/05/05,0,0:00PM,night,false,mckib901,soarh901,chyln901,runge901,"""Yankees""","""Ron Fisher""","""Ron Fisher""",1994/07/16 7:57PM,park,none,70,unknown,-1,wet,unknown,unknown,168,19092,turlb101,coler101,,,,,
KC1195905060,"""version 7RS(19) of 07/07/92""",NYA,KC1,KAN05,1959/05/06,0,0:00PM,night,false,soarh901,chyln901,runge901,mckib901,"""Yankees""","""Ron Fisher""","""Ron Fisher""",1994/07/18 11:51PM,park,none,0,unknown,-1,unknown,unknown,unknown,140,18802,ditma101,grimb102,shanb102,,,,
KC1195905220,"""version 7RS(19) of 07/07/92""",CHA,KC1,KAN05,1959/05/22,0,0:00PM,night,false,flahr901,umonf901,berrc103,honoj901,"""White Sox""","""Ron Fisher""","""Ron Fisher""",1995/09/26 4:58AM,park,none,0,unknown,-1,unknown,unknown,unknown,132,13527,shawb103,grimb102,lownt101,,,,
KC1195905230,"""version 7RS(19) of 07/07/92""",CHA,KC1,KAN05,1959/05/23,0,0:00PM,night,false,umonf901,berrc103,honoj901,flahr901,"""White Sox""","""Ron Fisher""","""Ron Fisher""",1995/09/26 8:49AM,park,none,0,unknown,-1,unknown,unknown,unknown,140,12416,daleb102,wynne101,,,,,
KC1195905240,"""version 7RS(19) of 07/07/92""",CHA,KC1,KAN05,1959/05/24,0,0:00PM,day,false,berrc103,honoj901,flahr901,umonf901,"""White Sox""","""Ron Fisher""","""Ron Fisher""",1995/09/26 12:41PM,park,none,0,unknown,-1,unknown,unknown,unknown,157,14985,herbr101,pierb101,,,,,
KC1195905250,"""version 7RS(19) of 07/07/92""",DET,KC1,KAN05,1959/05/25,0,0:00PM,night,false,honoj901,flahr901,umonf901,berrc103,"""Det Free Press""","""Ron Fisher""","""Ron Fisher""",1990/08/10 12:05AM,park,none,0,unknown,-1,unknown,unknown,unknown,158,8766,davij105,coler101,narlr101,,,,
KC1195905260,"""version 7RS(19) of 07/07/92""",DET,KC1,KAN05,1959/05/26,0,0:00PM,night,false,flahr901,berrc103,(none),honoj901,"""Det Free Press""","""Ron Fisher""","""Ron Fisher""",1990/08/15 7:59AM,park,none,0,unknown,-1,unknown,unknown,unknown,145,7502,foytp101,garvn102,morgt101,,,,
KC1195906020,"""version 7RS(19) of 07/07/92""",BOS,KC1,KAN05,1959/06/02,0,0:00PM,night,false,tabaf901,papaj901,hurle901,runge901,"""Boston Record""","""Ron Rakowski""","""Ron Rakowski""",1996/09/18 9:37PM,park,none,0,unknown,-1,unknown,unknown,unknown,145,14047,sturt101,sullf101,coler101,,,,
KC1195906040,"""version 7RS(19) of 07/07/92""",BOS,KC1,KAN05,1959/06/04,0,0:00PM,day,false,hurle901,runge901,tabaf901,papaj901,"""Boston Record""","""Ron Rakowski""","""Ron Rakowski""",1996/09/18 10:06PM,park,none,0,unknown,-1,unknown,unknown,unknown,170,9210,casaj101,coler101,,,,,
KC1195906050,"""version 7RS(19) of 07/07/92""",BAL,KC1,KAN05,1959/06/05,0,0:00PM,night,false,runge901,tabaf901,papaj901,hurle901,"""Orioles""","""Ron Rakowski""","""Ron Rakowski""",1996/09/18 10:24PM,park,none,0,unknown,-1,unknown,unknown,unknown,165,17025,pappm101,garvn102,,,,,
KC1195906060,"""version 7RS(19) of 07/07/92""",BAL,KC1,KAN05,1959/06/06,0,0:00PM,night,false,tabaf901,papaj901,hurle901,runge901,"""Orioles""","""Ron Rakowski""","""Ron Rakowski""",1996/09/18 10:39PM,park,none,0,unknown,-1,unknown,unknown,unknown,132,30319,daleb102,browh101,,,,,
