game_id,inputprogvers,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,oscorer
NYA196004220,"""version 7RS(19) of 07/07/92""",BAL,NYA,NYC16,1960/04/22,0,2:06PM,day,false,berrc103,nappl901,umonf901,drumc901,"""Yankees""","""Ron Fisher""","""Ron Fisher""",1995/04/05 6:02AM,park,none,78,unknown,-1,unknown,unknown,unknown,144,36386,fordw101,wilhh101,terrr101,,
NYA196004230,"""version 7RS(19) of 07/07/92""",BAL,NYA,NYC16,1960/04/23,0,2:04PM,day,false,nappl901,umonf901,drumc901,berrc103,"""H. Rosenthal""","""Ron Rakowski""","""Ron Rakowski""",1995/06/05 11:30AM,park,none,62,unknown,-1,unknown,unknown,unknown,183,18653,shorb101,coler101,durer101,,
NYA196004240,"""version 7RS(19) of 07/07/92""",BAL,NYA,NYC16,1960/04/24,0,2:04PM,day,false,umonf901,drumc901,berrc103,nappl901,"""H. Rosenthal,602""","""Wayne Townsend,Ron Rakowski""","""Wayne Townsend,Ron Rakowski""",1995/06/05 11:53AM,park,pitches,59,fromcf,-1,unknown,unknown,sunny,180,19460,coatj101,fishj101,jamej101,,
NYA196004260,"""version 7RS(19) of 07/07/92""",BOS,NYA,NYC16,1960/04/26,0,2:03PM,day,false,drumc901,berrc103,nappl901,umonf901,"""Yankees""","""Ron Fisher""","""Ron Fisher""",1996/01/11 4:50PM,park,none,68,unknown,-1,unknown,unknown,unknown,171,9012,casaj101,gablg102,brewt101,,
NYA196004270,"""version 7RS(19) of 07/07/92""",WS1,NYA,NYC16,1960/04/27,0,2:02PM,day,false,berrc103,nappl901,umonf901,drumc901,"""H. Rosenthal""","""Ron Rakowski""","""Ron Rakowski""",1996/01/11 8:14PM,park,none,59,unknown,-1,unknown,unknown,overcast,137,3745,kaatj101,fordw101,ramop101,,
NYA196005030,"""version 7RS(19) of 07/07/92""",DET,NYA,NYC16,1960/05/03,0,2:03PM,day,false,soarh901,flahr901,stewb902,hurle901,"""Yankees""","""Ron Fisher""","""Ron Fisher""",1995/04/18 7:33AM,park,none,70,unknown,-1,unknown,unknown,unknown,171,13374,ditma101,mossd101,durer101,,
NYA196005040,"""version 7RS(19) of 07/07/92""",DET,NYA,NYC16,1960/05/04,0,2:03PM,day,false,flahr901,stewb902,hurle901,soarh901,"""H. Rosenthal""","""Ron Rakowski""","""Ron Rakowski""",1996/01/09 8:31PM,park,none,70,unknown,-1,unknown,unknown,unknown,152,9416,shorb101,laryf101,,,
NYA196005060,"""version 7RS(19) of 07/07/92""",KC1,NYA,NYC16,1960/05/06,0,2:03PM,day,false,stewb902,hurle901,soarh901,flahr901,"""H. Rosenthal""","""Ron Rakowski""","""Ron Rakowski""",1996/01/09 9:51PM,park,none,74,unknown,-1,dry,none,sunny,208,5891,durer101,trowb101,,,
NYA196005070,"""version 7RS(19) of 07/07/92""",KC1,NYA,NYC16,1960/05/07,0,2:03PM,day,false,hurle901,soarh901,flahr901,stewb902,"""Yankees""","""Ron Fisher""","""Ron Fisher""",1996/01/09 6:07AM,park,none,69,unknown,-1,unknown,unknown,unknown,139,15399,terrr101,brung101,,,
NYA196005080,"""version 7RS(19) of 07/07/92""",CHA,NYA,NYC16,1960/05/08,0,2:02PM,day,false,honoj901,chyln901,mckib901,stevj901,"""White Sox,602""","""Wayne Townsend,Ron Rakowski""","""Wayne Townsend,Ron Rakowski""",1996/01/09 10:11PM,park,pitches,61,unknown,-1,wet,drizzle,overcast,185,19053,stalg103,kippf101,,,
NYA196005100,"""version 7RS(19) of 07/07/92""",CLE,NYA,NYC16,1960/05/10,0,8:03PM,night,false,chyln901,mckib901,stevj901,honoj901,"""Indians,602""","""Wayne Townsend,Ron Rakowski""","""Wayne Townsend,Ron Rakowski""",1996/01/09 10:25PM,park,pitches,61,unknown,-1,unknown,unknown,unknown,185,25651,stigd101,durer101,,,
NYA196005120,"""version 7RS(19) of 07/07/92""",CLE,NYA,NYC16,1960/05/12,0,2:02PM,day,false,mckib901,stevj901,honoj901,chyln901,"""H. Rosenthal""","""Ron Rakowski""","""Ron Rakowski""",1996/01/11 10:39PM,park,none,62,unknown,-1,dry,none,sunny,172,7350,bellg102,terrr101,,,
NYA196005260,"""version 7RS(19) of 07/07/92""",BAL,NYA,NYC16,1960/05/26,0,8:02PM,night,false,ricej901,smita901,runge901,papaj901,"""H. Rosenthal""","""Ron Rakowski""","""Ron Rakowski""",1996/01/09 8:40AM,park,none,72,unknown,-1,dry,none,unknown,129,18297,fordw101,browh101,,,
NYA196005270,"""version 7RS(19) of 07/07/92""",BAL,NYA,NYC16,1960/05/27,0,2:03PM,day,false,smita901,runge901,papaj901,ricej901,"""H. Rosenthal""","""Ron Rakowski""","""Ron Rakowski""",1996/01/09 8:50AM,park,none,75,unknown,-1,dry,none,unknown,137,7387,wilhh101,ditma101,,,
NYA196005280,"""version 7RS(19) of 07/07/92""",WS1,NYA,NYC16,1960/05/28,0,0:00PM,night,false,runge901,papaj901,ricej901,smita901,"""H. Rosenthal""","""Ron Rakowski""","""Ron Rakowski""",1996/01/09 9:01AM,park,none,64,unknown,-1,dry,none,night,163,27508,coatj101,kaatj101,,,
NYA196005290,"""version 7RS(19) of 07/07/92""",WS1,NYA,NYC16,1960/05/29,0,2:02PM,day,false,papaj901,ricej901,smita901,runge901,"""H. Rosenthal,602""","""Wayne Townsend,Ron Rakowski""","""Wayne Townsend,Ron Rakowski""",1996/01/09 9:19AM,park,pitches,66,unknown,-1,dry,none,overcast,220,21516,jamej101,lee-d102,,,
NYA196005301,"""version 7RS(19) of 07/07/92""",WS1,NYA,NYC16,1960/05/30,1,1:31PM,day,false,ricej901,smita901,runge901,papaj901,"""Yankees""","""Ron Fisher""","""Ron Fisher""",1996/01/08 6:29PM,park,none,70,unknown,-1,unknown,unknown,unknown,156,0,stobc101,ditma101,clevt101,,
NYA196005302,"""version 7RS(19) of 07/07/92""",WS1,NYA,NYC16,1960/05/30,2,4:32PM,day,false,smita901,runge901,papaj901,ricej901,"""Yankees,602""","""Wayne Townsend,Ron Fisher""","""Wayne Townsend,Ron Fisher""",1996/01/08 3:03AM,park,pitches,70,unknown,-1,unknown,unknown,unknown,157,42927,shanb102,ramop101,,,
NYA196006030,"""version 7RS(19) of 07/07/92""",BOS,NYA,NYC16,1960/06/03,0,8:03PM,night,false,smita901,runge901,papaj901,ricej901,"""H. Rosenthal,602""","""Wayne Townsend,Ron Rakowski""","""Wayne Townsend,Ron Rakowski""",1996/01/11 10:07AM,park,pitches,72,unknown,-1,wet,unknown,unknown,176,22918,turlb101,casaj101,shanb102,,
NYA196006040,"""version 7RS(19) of 07/07/92""",BOS,NYA,NYC16,1960/06/04,0,2:03PM,day,false,runge901,papaj901,ricej901,smita901,"""H. Rosenthal""","""Ron Rakowski""","""Ron Rakowski""",1996/01/11 10:18AM,park,none,78,unknown,-1,dry,none,overcast,157,18412,monbb101,shorb101,,,
NYA196006051,"""version 7RS(19) of 07/07/92""",BOS,NYA,NYC16,1960/06/05,1,2:02PM,day,false,papaj901,ricej901,smita901,runge901,"""Yankees""","""David W. Smith""","""David W. Smith""",1996/01/09 4:14PM,park,none,82,unknown,-1,unknown,unknown,unknown,173,0,terrr101,brewt101,shanb102,,
NYA196006052,"""version 7RS(19) of 07/07/92""",BOS,NYA,NYC16,1960/06/05,2,5:22PM,day,false,ricej901,smita901,runge901,papaj901,"""Yankees""","""Ron Fisher""","""Ron Fisher""",1996/01/11 1:44PM,park,none,79,unknown,-1,unknown,unknown,unknown,147,37211,ditma101,bowst101,,,
