game_id,inputprogvers,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,oscorer,umplf,gametype
CLE196104190,"""version 7RS(19) of 07/07/92""",DET,CLE,CLE07,1961/04/19,0,0:00PM,day,false,kinnb901,hurle901,honoj901,flahr901,"""Indians""","""Ron Rakowski""","""Ron Rakowski""",1995/11/06 12:17PM,park,none,0,unknown,-1,unknown,unknown,unknown,160,28216,fox-t101,funkf101,,,,,
CLE196104200,"""version 7RS(19) of 07/07/92""",DET,CLE,CLE07,1961/04/20,0,0:00PM,day,false,hurle901,honoj901,flahr901,kinnb901,"""rakowski""","""Ron Rakowski""","""Ron Rakowski""",1995/10/18 12:32PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,151,2272,laryf101,bellg102,,,,,
CLE196104301,"""version 7RS(19) of 07/07/92""",BOS,CLE,CLE07,1961/04/30,1,0:00PM,day,false,flahr901,hurle901,kinnb901,honoj901,"""rakowski""","""rakowski""","""rakowski""",1993/07/12 5:24PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,126,0,monbb101,bellg102,,,,,
CLE196104302,"""version 7RS(19) of 07/07/92""",BOS,CLE,CLE07,1961/04/30,2,0:00PM,day,false,hurle901,kinnb901,honoj901,flahr901,"""rakowski""","""rakowski""","""rakowski""",1995/10/18 9:51PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,149,11308,hawkw101,conlg101,,,,,
CLE196105020,"""version 7RS(19) of 07/07/92""",CHA,CLE,CLE07,1961/05/02,0,0:00PM,night,false,kinnb901,honoj901,flahr901,hurle901,"""White Sox""","""Ron Rakowski""","""Ron Rakowski""",1993/07/12 10:10PM,park,none,0,unknown,-1,unknown,unknown,unknown,184,4255,funkf101,kemmr101,,,,,
CLE196105030,"""version 7RS(19) of 07/07/92""",CHA,CLE,CLE07,1961/05/03,0,0:00PM,night,false,honoj901,flahr901,hurle901,kinnb901,"""rakowski""","""rakowski""","""rakowski""",1995/10/18 12:51PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,137,3879,funkf101,stalg103,,,,,
CLE196105050,"""version 7RS(19) of 07/07/92""",WS2,CLE,CLE07,1961/05/05,0,0:00PM,night,false,smita901,mckib901,soarh901,chyln901,"""rakowski""","""rakowski""","""rakowski""",1993/07/13 5:20PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,131,6277,hobae101,antoj103,,,,,
CLE196105071,"""version 7RS(19) of 07/07/92""",WS2,CLE,CLE07,1961/05/07,1,0:00PM,day,false,mckib901,soarh901,chyln901,smita901,"""rakowski""","""rakowski""","""rakowski""",1993/07/13 5:30PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,134,0,hawkw101,sturt101,,,,,
CLE196105072,"""version 7RS(19) of 07/07/92""",WS2,CLE,CLE07,1961/05/07,2,0:00PM,day,false,soarh901,chyln901,smita901,mckib901,"""rakowski""","""rakowski""","""rakowski""",1995/10/18 5:31PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,162,7576,sisld102,funkf101,kutym101,,,,
CLE196105120,"""version 7RS(19) of 07/07/92""",BAL,CLE,CLE07,1961/05/12,0,0:00PM,night,false,berrc103,linsj901,umonf901,stewb902,"""rakowski""","""rakowski""","""rakowski""",1993/07/15 10:01PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,125,9240,fishj101,antoj103,,,,,
CLE196105130,"""version 7RS(19) of 07/07/92""",BAL,CLE,CLE07,1961/05/13,0,0:00PM,day,false,linsj901,umonf901,stewb902,berrc103,"""rakowski""","""rakowski""","""rakowski""",1993/07/15 10:13PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,127,3417,browh101,hawkw101,wilhh101,,,,
CLE196105141,"""version 7RS(19) of 07/07/92""",BAL,CLE,CLE07,1961/05/14,1,0:00PM,day,false,umonf901,stewb902,berrc103,linsj901,"""rakowski""","""rakowski""","""rakowski""",1993/07/15 10:31PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,219,0,funkf101,fishj101,,,,,
CLE196105142,"""version 7RS(19) of 07/07/92""",BAL,CLE,CLE07,1961/05/14,2,0:00PM,day,false,stewb902,berrc103,linsj901,umonf901,"""rakowski""","""rakowski""","""rakowski""",1993/07/20 10:10AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,157,13238,latmb101,estrc101,,,,,
CLE196105190,"""version 7RS(19) of 07/07/92""",NYA,CLE,CLE07,1961/05/19,0,0:00PM,night,false,hurle901,honoj901,kinnb901,flahr901,"""Yankees""","""Ron Rakowski""","""Ron Rakowski""",1993/07/20 10:28AM,park,none,0,unknown,-1,dry,none,night,175,21240,latmb101,clevt101,alleb101,,,,
CLE196105200,"""version 7RS(19) of 07/07/92""",NYA,CLE,CLE07,1961/05/20,0,0:00PM,day,false,honoj901,kinnb901,flahr901,hurle901,"""rakowski""","""rakowski""","""rakowski""",1993/07/20 10:40AM,unknown,none,0,unknown,-1,dry,none,cloudy,158,8431,funkf101,stafb101,,,,,
CLE196105270,"""version 7RS(19) of 07/07/92""",KC1,CLE,CLE07,1961/05/27,0,0:00PM,day,false,stewb902,berrc103,linsj901,umonf901,"""rakowski""","""rakowski""","""rakowski""",1993/07/20 11:01AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,203,1808,walkj104,funkf101,,,,,
CLE196105281,"""version 7RS(19) of 07/07/92""",KC1,CLE,CLE07,1961/05/28,1,0:00PM,day,false,berrc103,linsj901,umonf901,stewb902,"""None""","""Ron Rakowski""","""Ron Rakowski""",1993/07/20 11:16PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,127,0,bellg102,herbr101,,,,,
CLE196105282,"""version 7RS(19) of 07/07/92""",KC1,CLE,CLE07,1961/05/28,2,0:00PM,day,false,linsj901,umonf901,stewb902,berrc103,"""None""","""Ron Rakowski""","""Ron Rakowski""",1993/07/20 11:28PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,129,10022,bassn101,perrj102,,,,,
CLE196105301,"""version 7RS(19) of 07/07/92""",MIN,CLE,CLE07,1961/05/30,1,0:00PM,day,false,runge901,carrh901,drumc901,papaj901,"""rakowski""","""rakowski""","""rakowski""",1993/07/26 5:22PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,153,0,funkf101,pascc102,,,,,
CLE196105302,"""version 7RS(19) of 07/07/92""",MIN,CLE,CLE07,1961/05/30,2,0:00PM,day,false,carrh901,drumc901,papaj901,runge901,"""Indians""","""Ron Rakowski""","""Ron Rakowski""",1993/07/26 5:34PM,park,none,0,unknown,-1,unknown,unknown,unknown,138,13861,granj101,ramop101,latmb101,,,,
CLE196106020,"""version 7RS(19) of 07/07/92""",LAA,CLE,CLE07,1961/06/02,0,0:00PM,night,false,drumc901,papaj901,runge901,carrh901,"""rakowski""","""rakowski""","""rakowski""",1994/02/22 5:51PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,150,10453,funkf101,jamej101,,,,,
CLE196106030,"""version 7RS(19) of 07/07/92""",LAA,CLE,CLE07,1961/06/03,0,0:00PM,day,false,papaj901,runge901,carrh901,drumc901,"""Angels""","""Ron Rakowski""","""Ron Rakowski""",1994/02/22 7:53PM,park,none,0,unknown,-1,unknown,unknown,unknown,150,3134,granj101,fowla101,,,,,
CLE196106041,"""version 7RS(19) of 07/07/92""",LAA,CLE,CLE07,1961/06/04,1,0:00PM,day,false,runge901,carrh901,drumc901,papaj901,"""rakowski""","""rakowski""","""rakowski""",1994/02/22 9:49PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,163,0,perrj102,klinr102,funkf101,,,,
