game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,oscorer
KC1196304090,"""version 7RS(19) of 07/07/92""",NYA,KC1,1963/04/09,KAN05,0,1:33PM,day,false,mckib901,chyln901,ricej901,valeb901,"""Yankees""","""D Lamoureaux""","""D Lamoureaux""",1995/01/09 8:58PM,unknown,none,55,unknown,-1,unknown,unknown,overcast,141,20976,terrr101,segud101,,,
KC1196304100,"""version 7RS(19) of 07/07/92""",NYA,KC1,1963/04/10,KAN05,0,0:00PM,day,false,chyln901,ricej901,valeb901,mckib901,"""Yankees""","""D Lamoureaux""","""D Lamoureaux""",1995/01/10 6:25AM,unknown,none,47,unknown,-1,unknown,rain,unknown,153,3855,stafb101,bowst101,daleb102,,
KC1196304120,"""version 7RS(19) of 07/07/92""",MIN,KC1,1963/04/12,KAN05,0,0:00PM,night,false,ricej901,valeb901,mckib901,chyln901,"""Athletics""","""D Lamoureaux""","""D Lamoureaux""",1995/03/06 7:21PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,139,6462,rakoe101,kralj101,,,
KC1196304130,"""version 7RS(19) of 07/07/92""",MIN,KC1,1963/04/13,KAN05,0,0:00PM,night,false,valeb901,mckib901,chyln901,ricej901,"""Athletics""","""D Lamoureaux""","""D Lamoureaux""",1995/03/06 9:02PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,149,6556,wickd101,stigd101,wyatj102,,
KC1196304140,"""version 7RS(19) of 07/07/92""",MIN,KC1,1963/04/14,KAN05,0,0:00PM,day,false,mckib901,chyln901,ricej901,valeb901,"""Athletics""","""D Lamoureaux""","""D Lamoureaux""",1995/03/07 12:25PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,176,10378,penao101,pascc102,,,
KC1196304191,"""version 7RS(19) of 07/07/92""",LAA,KC1,1963/04/19,KAN05,1,0:00PM,day,false,honoj901,runge901,stewb902,salea901,"""Angels ""","""D Lamoureaux""","""D Lamoureaux""",1995/03/13 12:39PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,164,0,penao101,belib101,wyatj102,,
KC1196304192,"""version 7RS(19) of 07/07/92""",LAA,KC1,1963/04/19,KAN05,2,0:00PM,night,false,runge901,stewb902,salea901,honoj901,"""Angels""","""D Lamoureaux""","""D Lamoureaux""",1995/03/13 4:01PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,140,14489,fiscb101,turlb101,,,
KC1196304200,"""version 7RS(19) of 07/07/92""",LAA,KC1,1963/04/20,KAN05,0,0:00PM,night,false,stewb902,salea901,honoj901,runge901,"""Angeles""","""D Lamoureaux""","""D Lamoureaux""",1995/03/13 4:15PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,175,10285,chand102,segud101,navaj101,,
KC1196304210,"""version 7RS(19) of 07/07/92""",LAA,KC1,1963/04/21,KAN05,0,0:00PM,day,false,salea901,honoj901,runge901,stewb902,"""Angels""","""D Lamoureaux""","""D Lamoureaux""",1995/03/14 12:28PM,unknown,none,0,unknown,-1,unknown,unknown,sunny,144,10830,lee-d102,bowst101,sprij102,,
KC1196304220,"""version 7RS(19) of 07/07/92""",DET,KC1,1963/04/22,KAN05,0,0:00PM,night,false,honoj901,runge901,stewb902,salea901,"""Tigers""","""D Lamoureaux""","""D Lamoureaux""",1996/05/03 6:04AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,161,3501,fiscb101,egand101,,,
KC1196304230,"""version 7RS(19) of 07/07/92""",DET,KC1,1963/04/23,KAN05,0,0:00PM,day,false,runge901,stewb902,salea901,honoj901,"""Tigers""","""D Lamoureaux""","""D Lamoureaux""",1996/05/03 11:58AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,128,2611,rakoe101,regap101,,,
KC1196305010,"""version 7RS(19) of 07/07/92""",CLE,KC1,1963/05/01,KAN05,0,0:00PM,night,false,umonf901,kinnb901,stevj901,nappl901,"""Athletics""","""D Lamoureaux""","""D Lamoureaux""",1995/04/04 5:54AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,168,9357,penao101,bellg102,,,
KC1196305020,"""version 7RS(19) of 07/07/92""",CLE,KC1,1963/05/02,KAN05,0,0:00PM,day,false,kinnb901,stevj901,nappl901,umonf901,"""Athletics""","""D Lamoureaux""","""D Lamoureaux""",1995/04/04 12:02PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,178,4764,latmb101,wickd101,,,
KC1196305030,"""version 7RS(19) of 07/07/92""",BOS,KC1,1963/05/03,KAN05,0,0:00PM,night,false,stevj901,nappl901,umonf901,kinnb901,"""Larry Claflin""","""D Lamoureaux""","""D Lamoureaux""",1996/08/28 5:23AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,140,14021,rakoe101,monbb101,,,
KC1196305040,,BOS,KC1,1963/05/04,KAN05,0,0:00PM,night,false,nappl901,umonf901,kinnb901,stevj901,"""Newspaper""",,,,unknown,none,0,unknown,-1,unknown,unknown,unknown,121,13973,fiscb101,deloi101,,,
KC1196305050,"""version 7RS(19) of 07/07/92""",BOS,KC1,1963/05/05,KAN05,0,0:00PM,day,false,umonf901,kinnb901,stevj901,nappl901,"""Larry Claflin""","""D Lamoureaux""","""D Lamoureaux""",1996/08/28 5:33AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,155,20482,mored103,penao101,radad101,,
