game_id,inputprogvers,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,translator,inputter,scorer,oscorer,umplf
WS2196404130,"""version 7RS(19) of 07/07/92""",LAA,WS2,WAS10,1964/04/13,0,0:00PM,day,false,papaj901,umonf901,drumc901,dimul901,1994/07/18 11:17AM,park,none,0,unknown,-1,unknown,unknown,unknown,138,40145,mcbrk101,ostec103,navaj101,adcoj101,,,,,
WS2196404150,"""version 7RS(19) of 07/07/92""",LAA,WS2,WAS10,1964/04/15,0,0:00PM,night,false,umonf901,drumc901,dimul901,papaj901,1994/07/18 11:23AM,park,none,0,unknown,-1,unknown,unknown,unknown,165,8104,danib102,latmb101,bridm101,blasd101,,,,,
WS2196404160,"""version 7RS(19) of 07/07/92""",MIN,WS2,WAS10,1964/04/16,0,0:00PM,night,false,drumc901,dimul901,papaj901,umonf901,1994/08/16 7:55PM,park,none,0,unknown,-1,unknown,unknown,unknown,138,5760,kaatj101,boulc101,,versz101,,,,,
WS2196404170,"""version 7RS(19) of 07/07/92""",MIN,WS2,WAS10,1964/04/17,0,0:00PM,night,false,dimul901,papaj901,umonf901,drumc901,1994/08/16 8:24PM,park,none,0,unknown,-1,unknown,unknown,unknown,139,10606,klinr102,dailb101,,,,,,,
WS2196404180,"""version 7RS(19) of 07/07/92""",MIN,WS2,WAS10,1964/04/18,0,0:00PM,day,false,papaj901,umonf901,drumc901,dimul901,1994/08/16 9:33PM,park,none,0,unknown,-1,unknown,unknown,unknown,196,4166,pleib101,ridzs101,,olivt102,,,,,
WS2196404190,"""version 7RS(19) of 07/07/92""",KC1,WS2,WAS10,1964/04/19,0,0:00PM,day,false,umonf901,drumc901,dimul901,papaj901,1994/08/05 12:53PM,park,none,0,unknown,-1,unknown,unknown,unknown,104,8500,penao101,ostec103,,colar101,,,,,
WS2196405061,"""version 7RS(19) of 07/07/92""",NYA,WS2,WAS10,1964/05/06,1,6:01PM,day,false,runge901,smita901,kinnb901,honoj901,1994/04/13 9:19PM,unknown,none,70,unknown,-1,unknown,unknown,unknown,148,0,boutj101,danib102,stafb101,,"""G. Robbins""","""D. Lamoureaux""",,,
WS2196405062,"""version 7RS(19) of 07/07/92""",NYA,WS2,WAS10,1964/05/06,2,9:00PM,night,false,smita901,kinnb901,honoj901,runge901,1994/04/13 9:51PM,unknown,none,68,unknown,-1,unknown,unknown,unknown,185,32026,klinr102,meyeb102,,,"""G. Robbins""","""D. Lamoureaux""",,,
WS2196405070,"""version 7RS(19) of 07/07/92""",NYA,WS2,WAS10,1964/05/07,0,8:07PM,night,false,kinnb901,honoj901,runge901,smita901,1994/04/14 6:17AM,unknown,none,80,unknown,-1,unknown,unknown,unknown,178,10485,mikkp101,bridm101,renih101,trest101,"""G. Robbins""","""D. Lamoureaux""","""Yankees""",,
WS2196405080,"""version 7RS(19) of 07/07/92""",BOS,WS2,WAS10,1964/05/08,0,0:00PM,night,false,honoj901,runge901,smita901,kinnb901,1994/07/18 9:06PM,park,none,0,unknown,-1,unknown,unknown,unknown,177,7495,spanb101,narub101,radad101,brese101,,,,,
WS2196405090,"""version 7RS(19) of 07/07/92""",BOS,WS2,WAS10,1964/05/09,0,0:00PM,day,false,runge901,smita901,kinnb901,honoj901,1994/07/18 10:10PM,park,none,0,unknown,-1,unknown,unknown,unknown,184,2378,klinr102,heffb101,,lockd101,,,,,
WS2196405101,"""version 7RS(19) of 07/07/92""",BOS,WS2,WAS10,1964/05/10,1,0:00PM,day,false,smita901,kinnb901,honoj901,runge901,1994/07/18 11:16PM,park,none,0,unknown,-1,unknown,unknown,unknown,151,0,ostec103,monbb101,,zimmd101,,,,,
WS2196405102,"""version 7RS(19) of 07/07/92""",BOS,WS2,WAS10,1964/05/10,2,0:00PM,day,false,kinnb901,honoj901,runge901,smita901,1994/07/18 11:23PM,park,none,0,unknown,-1,unknown,unknown,unknown,209,13603,wilse102,hannj102,radad101,stuad101,,,,,
WS2196405110,"""version 7RS(19) of 07/07/92""",BAL,WS2,WAS10,1964/05/11,0,0:00PM,night,false,hallb901,hurle901,flahr901,carrh901,1995/02/07 1:29PM,park,none,0,unknown,-1,unknown,unknown,unknown,149,3813,danib102,mccom103,klinr102,danib102,"""De Jong""","""Luke Kraemer""",,,
WS2196405120,"""version 7RS(19) of 07/07/92""",BAL,WS2,WAS10,1964/05/12,0,0:00PM,night,false,hurle901,flahr901,carrh901,hallb901,1995/02/07 1:58PM,park,none,0,unknown,-1,unknown,unknown,unknown,137,2188,mcnad102,stend101,,kirkw101,"""De Jong""","""Luke Kraemer""",,,
WS2196405140,"""version 7RS(19) of 07/07/92""",BAL,WS2,WAS10,1964/05/14,0,0:00PM,night,false,flahr901,carrh901,hallb901,hurle901,1995/02/07 2:11PM,park,none,0,unknown,-1,unknown,unknown,unknown,115,4224,narub101,rober102,,zimmd101,"""De Jong""","""Luke Kraemer""",,,
WS2196405150,"""version 7RS(19) of 07/07/92""",CHA,WS2,WAS10,1964/05/15,0,0:00PM,night,false,valeb901,mckib901,soarh901,salea901,1994/08/17 11:49AM,park,none,0,unknown,-1,unknown,unknown,unknown,141,7706,buzhj101,ostec103,,hersm101,,,,,
WS2196405160,"""version 7RS(19) of 07/07/92""",CHA,WS2,WAS10,1964/05/16,0,0:00PM,day,false,mckib901,soarh901,salea901,valeb901,1994/08/17 11:56AM,park,none,0,unknown,-1,dry,none,sunny,134,3393,danib102,herbr101,klinr102,lockd101,,,,,
WS2196405170,"""version 7RS(19) of 07/07/92""",CHA,WS2,WAS10,1964/05/17,0,0:00PM,day,false,soarh901,salea901,valeb901,mckib901,1994/08/17 12:02PM,park,none,0,unknown,-1,unknown,unknown,unknown,141,8108,pizaj101,bridm101,mossd101,wardp102,,,,,
WS2196405180,"""version 7RS(19) of 07/07/92""",DET,WS2,WAS10,1964/05/18,0,0:00PM,night,false,salea901,valeb901,mckib901,soarh901,1994/07/31 12:50PM,park,none,0,unknown,-1,unknown,unknown,unknown,176,4280,regap101,klinr102,sherl101,cashn101,,,,,
WS2196405190,"""version 7RS(19) of 07/07/92""",DET,WS2,WAS10,1964/05/19,0,0:00PM,night,false,valeb901,mckib901,soarh901,salea901,1994/07/31 12:56PM,park,none,0,unknown,-1,unknown,unknown,unknown,140,4306,wickd101,narub101,,brutb101,,,,,
WS2196405200,"""version 7RS(19) of 07/07/92""",DET,WS2,WAS10,1964/05/20,0,0:00PM,night,false,mckib901,soarh901,salea901,valeb901,1994/07/31 1:04PM,park,none,0,unknown,-1,unknown,unknown,unknown,159,6407,ostec103,rakoe101,chent101,kennj105,,,,,
WS2196405210,"""version 7RS(19) of 07/07/92""",DET,WS2,WAS10,1964/05/21,0,0:00PM,night,false,soarh901,salea901,valeb901,mckib901,1994/07/31 1:09PM,park,none,0,unknown,-1,unknown,unknown,unknown,127,4947,danib102,hamij101,duckj101,,,,,,
WS2196405290,"""version 7RS(19) of 07/07/92""",CLE,WS2,WAS10,1964/05/29,0,0:00PM,night,false,hurle901,flahr901,carrh901,hallb901,1994/08/14 4:06PM,park,none,0,unknown,-1,unknown,unknown,unknown,185,9938,duckj101,abert101,,blasd101,,,,,
WS2196405300,"""version 7RS(19) of 07/07/92""",CLE,WS2,WAS10,1964/05/30,0,0:00PM,day,false,flahr901,carrh901,hallb901,hurle901,1994/08/14 4:14PM,park,none,0,unknown,-1,unknown,unknown,unknown,162,7749,ramop101,narub101,,romaj101,,,,,
WS2196405311,"""version 7RS(19) of 07/07/92""",CLE,WS2,WAS10,1964/05/31,1,0:00PM,day,false,carrh901,hallb901,hurle901,flahr901,1994/08/14 4:24PM,park,none,0,unknown,-1,unknown,unknown,unknown,161,0,mcdos101,klinr102,abert101,alvim101,,,,,
WS2196405312,"""version 7RS(19) of 07/07/92""",CLE,WS2,WAS10,1964/05/31,2,0:00PM,day,false,hallb901,hurle901,flahr901,carrh901,1994/08/14 4:32PM,park,none,0,unknown,-1,unknown,unknown,unknown,171,13475,bellg102,danib102,siebs101,heldw101,,,,,
WS2196406080,"""version 7RS(19) of 07/07/92""",KC1,WS2,WAS10,1964/06/08,0,0:00PM,night,false,stevj901,valeb901,nappl901,ricej901,1994/08/14 12:08PM,park,none,0,unknown,-1,unknown,unknown,unknown,156,3765,drabm101,duckj101,wyatj102,colar101,,,,,
WS2196406091,"""version 7RS(19) of 07/07/92""",KC1,WS2,WAS10,1964/06/09,1,0:00PM,day,false,valeb901,nappl901,ricej901,stevj901,1994/08/14 12:14PM,park,none,0,unknown,-1,unknown,unknown,unknown,141,0,narub101,odonj101,,cottc101,,,,,
WS2196406092,"""version 7RS(19) of 07/07/92""",KC1,WS2,WAS10,1964/06/09,2,0:00PM,night,false,nappl901,ricej901,stevj901,valeb901,1994/08/14 12:20PM,park,none,0,unknown,-1,unknown,unknown,unknown,138,6253,chent101,pfisd101,,kingj101,,,,,
