game_id,inputprogvers,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,umplf,oscorer
WS2196804100,"""version 7RS(19) of 07/07/92""",MIN,WS2,WAS10,1968/04/10,0,2:02PM,day,false,honoj901,umonf901,stevj901,ashfe901,"""Burt Hawkins""","""Michael House""","""Michael House""",1998/03/21 11:01AM,park,none,0,unknown,-1,unknown,unknown,unknown,122,32063,chand102,pascc102,,,,
WS2196804110,"""version 7RS(19) of 07/07/92""",MIN,WS2,WAS10,1968/04/11,0,2:23PM,day,false,umonf901,stevj901,ashfe901,honoj901,"""Burt Hawkins""","""Michael House""","""Michael House""",1998/03/21 12:08PM,park,none,0,unknown,-1,unknown,unknown,unknown,143,1086,merrj102,higgd101,,,,
WS2196804130,"""version 7RS(19) of 07/07/92""",OAK,WS2,WAS10,1968/04/13,0,3:07PM,day,false,stevj901,ashfe901,honoj901,umonf901,"""Burt Hawkins""","""Michael House""","""Michael House""",1998/03/21 8:38PM,park,none,0,unknown,-1,unknown,unknown,unknown,187,5014,dobsc101,ortep101,akerj102,,,
WS2196804140,"""version 7RS(19) of 07/07/92""",OAK,WS2,WAS10,1968/04/14,0,2:26PM,day,false,ashfe901,honoj901,umonf901,stevj901,"""Burt Hawkins""","""Michael House""","""Michael House""",1998/03/23 9:54AM,park,none,0,unknown,-1,unknown,unknown,unknown,146,7276,higgd101,nashj101,,,,
WS2196804150,"""version 7RS(19) of 07/07/92""",CAL,WS2,WAS10,1968/04/15,0,0:00PM,day,false,sprim901,flahr901,stewb902,dimul901,"""Angels/Senators""","""D Lamoureaux""","""D Lamoureaux""",1998/07/27 11:54AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,144,4570,pascc102,ellis101,,,,
WS2196804260,"""version 7RS(19) of 07/07/92""",CLE,WS2,WAS10,1968/04/26,0,0:00PM,night,false,hallb901,neudj901,nappl901,salea901,"""CLE/WS2""","""D Lamoureaux""","""D Lamoureaux""",1998/07/27 8:23PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,265,10922,higgd101,gramt101,,,,
WS2196804270,"""version 7RS(19) of 07/07/92""",CLE,WS2,WAS10,1968/04/27,0,0:00PM,day,false,neudj901,nappl901,salea901,hallb901,"""CLE/WS2""","""D Lamoureaux""","""D Lamoureaux""",1998/07/27 8:33PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,132,2284,pascc102,mcdos101,baldd101,,,
WS2196804281,"""version 7RS(19) of 07/07/92""",CLE,WS2,WAS10,1968/04/28,1,0:00PM,day,false,nappl901,salea901,hallb901,neudj901,"""Burt Hawkins""","""Michael House""","""Michael House""",1998/04/12 12:38AM,park,none,0,unknown,-1,unknown,unknown,unknown,142,0,ortep101,wills102,,,,
WS2196804282,"""version 7RS(19) of 07/07/92""",CLE,WS2,WAS10,1968/04/28,2,0:00PM,day,false,salea901,hallb901,neudj901,nappl901,"""Burt Hawkins""","""Michael House""","""Michael House""",1998/04/12 8:19PM,park,none,0,unknown,-1,unknown,unknown,unknown,132,23739,tianl101,moorb105,,,,
WS2196805030,"""version 7RS(19) of 07/07/92""",BAL,WS2,WAS10,1968/05/03,0,0:00PM,night,false,runge901,ricej901,drumc901,odomj901,"""Orioles""","""David Annis""","""Wayne Townsend""",1996/10/12 9:55AM,park,none,0,unknown,-1,unknown,unknown,night,133,14696,mcnad102,pascc102,,,,
WS2196805040,"""version 7RS(19) of 07/07/92""",BAL,WS2,WAS10,1968/05/04,0,0:00PM,day,false,ricej901,drumc901,odomj901,runge901,"""Orioles""","""David Annis""","""Wayne Townsend""",1996/10/12 9:32AM,park,none,0,unknown,-1,unknown,unknown,unknown,147,5342,hardj101,ortep101,,,,
