game_id,inputprogvers,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,oscorer,umplf
NYN196904080,"""version 7RS(19) of 07/07/92""",MON,NYN,NYC17,1969/04/08,0,0:00PM,day,false,gormt101,lands901,willb901,colon901,"""Mets""","""Dobrow""","""Dobrow""",1994/12/04 2:54AM,park,pitches,66,unknown,-1,unknown,unknown,unknown,215,44541,shawd102,koonc101,sembc101,,,
NYN196904090,"""version 7RS(19) of 07/07/92""",MON,NYN,NYC17,1969/04/09,0,0:00PM,day,false,lands901,willb901,colon901,gormt101,"""Mets""","""Dobrow""","""Dobrow""",1994/12/04 3:09AM,park,pitches,63,unknown,-1,unknown,unknown,unknown,186,13827,mcgrt001,stonb101,ryann001,,,
NYN196904100,"""version 7RS(19) of 07/07/92""",MON,NYN,NYC17,1969/04/10,0,0:00PM,day,false,willb901,colon901,gormt101,lands901,"""Mets""","""Dobrow""","""Dobrow""",1994/12/04 3:18AM,park,pitches,72,unknown,-1,unknown,unknown,cloudy,123,8608,gentg101,jastl101,koonc101,,,
NYN196904110,"""version 7RS(19) of 07/07/92""",SLN,NYN,NYC17,1969/04/11,0,0:00PM,day,false,colon901,gormt101,lands901,willb901,"""Mets""","""Dobrow""","""Dobrow""",1994/12/04 3:35AM,park,none,0,unknown,-1,unknown,unknown,unknown,164,12591,carls001,koosj001,hoerj101,,,
NYN196904120,"""version 7RS(19) of 07/07/92""",SLN,NYN,NYC17,1969/04/12,0,0:00PM,day,false,gormt101,lands901,willb901,colon901,"""Mets""","""Dobrow""","""Dobrow""",1994/12/04 3:46AM,park,none,0,unknown,-1,unknown,unknown,unknown,114,19510,giusd101,cardd101,,,,
NYN196904130,"""version 7RS(19) of 07/07/92""",SLN,NYN,NYC17,1969/04/13,0,0:00PM,day,false,lands901,willb901,colon901,gormt101,"""Mets""","""Dobrow""","""Dobrow""",1994/12/04 3:56AM,park,none,0,unknown,-1,unknown,unknown,unknown,133,25314,gibsb101,seavt001,,,,
NYN196904210,"""version 7RS(19) of 07/07/92""",PHI,NYN,NYC17,1969/04/21,0,0:00PM,night,false,steld901,donaa901,steim901,engeb901,"""Mets""","""Dobrow""","""Dobrow""",1994/12/05 8:33PM,park,none,0,unknown,-1,unknown,unknown,unknown,162,9286,frymw101,taylr101,lersb101,,,
NYN196904230,"""version 7RS(19) of 07/07/92""",PIT,NYN,NYC17,1969/04/23,0,0:00PM,night,false,donaa901,steim901,engeb901,steld901,"""Mets""","""Dobrow""","""Dobrow""",1994/12/05 8:40PM,park,none,0,unknown,-1,unknown,unknown,unknown,137,7274,koosj001,bunnj101,,,,
NYN196904250,"""version 7RS(19) of 07/07/92""",CHN,NYN,NYC17,1969/04/25,0,0:00PM,night,false,dezef901,craws901,pelec901,harvd901,"""Mets""","""Dobrow""","""Dobrow""",1994/12/06 2:37AM,park,none,0,unknown,-1,unknown,unknown,unknown,135,18548,jenkf101,seavt001,,,,
NYN196904260,"""version 7RS(19) of 07/07/92""",CHN,NYN,NYC17,1969/04/26,0,0:00PM,day,false,craws901,pelec901,harvd901,dezef901,"""Mets""","""Dobrow""","""Dobrow""",1994/12/06 2:48AM,park,none,0,unknown,-1,unknown,unknown,unknown,149,16252,handb101,cardd101,,,,
