game_id,inputprogvers,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,translator,oscorer
OAK197104071,"""version 7RS(19) of 07/07/92""",CHA,OAK,OAK01,1971/04/07,1,0:00PM,day,false,ricej901,odomj901,sprim901,mccol901,"""White Sox""","""Alan Boodman""",1996/01/31 7:15PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,140,0,johnt001,huntj101,romov101,,,
OAK197104072,"""version 7RS(19) of 07/07/92""",CHA,OAK,OAK01,1971/04/07,2,0:00PM,day,false,odomj901,sprim901,mccol901,ricej901,"""White Sox""","""Alan Boodman""",1996/01/31 8:25PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,148,23838,johnb105,pantj101,,,,
OAK197104090,"""version 7RS(19) of 07/07/92""",KCA,OAK,OAK01,1971/04/09,0,0:00PM,night,false,sprim901,mccol901,ricej901,odomj901,"""Royals""","""Alan Boodman""",1996/02/01 12:20PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,119,3131,bluev001,rookj101,,,,
OAK197104100,"""version 7RS(19) of 07/07/92""",KCA,OAK,OAK01,1971/04/10,0,0:00PM,day,false,mccol901,ricej901,odomj901,sprim901,"""Royals""","""Alan Boodman""",1996/02/01 8:11PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,153,4444,lockb102,yorkj101,,,,
OAK197104110,"""version 7RS(19) of 07/07/92""",KCA,OAK,OAK01,1971/04/11,0,0:00PM,day,false,ricej901,odomj901,sprim901,mccol901,"""Royals""","""Alan Boodman""",1996/02/02 3:47PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,166,5238,fitza101,huntj101,abert101,,,
OAK197104230,"""version 7RS(19) of 07/07/92""",DET,OAK,OAK01,1971/04/23,0,0:00PM,night,false,goetr901,nappl901,neudj901,phild901,"""A's""","""Alan Boodman""",1996/02/15 10:14AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,160,7071,segud101,chand102,,,,
OAK197104240,"""version 7RS(19) of 07/07/92""",DET,OAK,OAK01,1971/04/24,0,0:00PM,day,false,nappl901,neudj901,phild901,goetr901,"""A's""","""Alan Boodman""",1996/02/16 4:43PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,152,7815,huntj101,timmt101,,,,
OAK197104250,"""version 7RS(19) of 07/07/92""",DET,OAK,OAK01,1971/04/25,0,0:00PM,day,false,neudj901,phild901,goetr901,nappl901,"""A's""","""Alan Boodman""",1996/02/19 10:42AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,150,10677,lolim101,fingr001,schef102,,,
OAK197104260,"""version 7RS(19) of 07/07/92""",BAL,OAK,OAK01,1971/04/26,0,0:00PM,night,false,dimul901,hallb901,odonj901,umonf901,"""Orioles""","""Alan Boodman""",1996/02/20 3:37PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,127,6998,bluev001,dobsp101,,,,
OAK197104270,"""version 7RS(19) of 07/07/92""",BAL,OAK,OAK01,1971/04/27,0,0:00PM,night,false,hallb901,odonj901,umonf901,dimul901,"""Orioles""","""Alan Boodman""",1996/02/20 11:46AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,165,5502,mcnad102,segud101,,,,
