game_id,hometeam,visteam,home_first_inning_runs,visiting_first_inning_runs
ATL197404080,ATL,LAN,0,0
ATL197404090,ATL,LAN,0,3
ATL197404100,ATL,LAN,0,1
ATL197404110,ATL,LAN,0,0
ATL197404120,ATL,CIN,0,0
ATL197404130,ATL,CIN,0,0
ATL197404150,ATL,SDN,2,0
ATL197404160,ATL,SDN,0,0
ATL197404170,ATL,SDN,0,0
ATL197404180,ATL,SDN,1,1
ATL197404240,ATL,PIT,0,1
ATL197404250,ATL,PIT,0,0
ATL197404260,ATL,CHN,0,3
ATL197404270,ATL,CHN,1,0
ATL197404280,ATL,CHN,1,0
ATL197405100,ATL,SFN,0,0
ATL197405110,ATL,SFN,1,0
ATL197405121,ATL,SFN,1,0
ATL197405122,ATL,SFN,0,0
ATL197405240,ATL,HOU,1,0
ATL197405250,ATL,HOU,0,0
ATL197405270,ATL,PHI,1,0
ATL197405280,ATL,PHI,0,0
ATL197405290,ATL,PHI,0,0
ATL197406070,ATL,MON,1,0
ATL197406080,ATL,MON,0,0
ATL197406091,ATL,MON,0,0
ATL197406092,ATL,MON,1,2
ATL197406110,ATL,NYN,0,1
ATL197406120,ATL,NYN,0,0
ATL197406140,ATL,SLN,0,0
ATL197406150,ATL,SLN,5,0
ATL197406160,ATL,SLN,0,0
ATL197406270,ATL,CIN,3,2
ATL197406281,ATL,CIN,0,0
ATL197406282,ATL,CIN,0,0
ATL197406290,ATL,CIN,0,0
ATL197406300,ATL,CIN,0,3
ATL197407010,ATL,HOU,0,0
ATL197407020,ATL,HOU,0,0
ATL197407030,ATL,HOU,0,0
ATL197407040,ATL,HOU,1,0
ATL197407150,ATL,CHN,0,0
ATL197407160,ATL,CHN,0,2
ATL197407170,ATL,CHN,0,0
ATL197407180,ATL,PIT,0,0
ATL197407190,ATL,PIT,0,0
ATL197407200,ATL,PIT,0,4
ATL197407210,ATL,PIT,1,1
ATL197407250,ATL,SDN,0,0
ATL197407270,ATL,LAN,2,0
ATL197407280,ATL,LAN,0,0
ATL197407290,ATL,LAN,1,0
ATL197407300,ATL,SFN,0,0
ATL197407310,ATL,SFN,0,0
ATL197408130,ATL,MON,0,0
ATL197408140,ATL,MON,4,0
ATL197408160,ATL,PHI,0,0
ATL197408170,ATL,PHI,0,3
ATL197408180,ATL,PHI,0,0
ATL197408190,ATL,SLN,0,0
ATL197408200,ATL,SLN,2,2
ATL197408210,ATL,SLN,0,0
ATL197408231,ATL,NYN,0,0
ATL197408232,ATL,NYN,0,0
ATL197408240,ATL,NYN,2,2
ATL197408250,ATL,NYN,0,0
ATL197409021,ATL,SDN,4,1
ATL197409022,ATL,SDN,1,0
ATL197409030,ATL,SDN,0,0
ATL197409040,ATL,SDN,2,0
ATL197409060,ATL,SFN,0,0
ATL197409070,ATL,SFN,0,0
ATL197409080,ATL,SFN,0,0
ATL197409090,ATL,LAN,0,1
ATL197409100,ATL,LAN,0,0
ATL197409281,ATL,HOU,0,0
ATL197409282,ATL,HOU,2,0
ATL197409290,ATL,HOU,0,1
ATL197410010,ATL,CIN,3,0
ATL197410020,ATL,CIN,4,0
BAL197404050,BAL,DET,0,1
