game_id,inputprogvers,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,scorer,oscorer
DET197604130,"""version 7RS(19) of 07/07/92""",MIL,DET,DET04,1976/04/13,0,0:00PM,day,true,frana901,deegb901,coont901,neudj901,"""Rich Abbott""","""Rich Abbott""",1997/05/11 9:13PM,park,none,61,unknown,-1,unknown,unknown,unknown,117,48612,slatj001,hillj101,,,,
DET197604230,"""version 7RS(19) of 07/07/92""",TEX,DET,DET04,1976/04/23,0,0:00PM,day,true,fordd901,sprim901,(none),barnl901,"""Rich Abbott""","""Rich Abbott""",1997/07/22 11:14PM,park,none,0,unknown,-1,unknown,unknown,unknown,168,10754,hillj101,barrs103,,,,
DET197604240,"""version 7RS(19) of 07/07/92""",TEX,DET,DET04,1976/04/24,0,0:00PM,day,true,sprim901,barnl901,(none),fordd901,"""Rich Abbott""","""Rich Abbott""",1997/07/23 11:01PM,park,none,0,unknown,-1,unknown,unknown,unknown,141,8862,foucs101,hillj101,,,,
DET197604270,"""version 7RS(19) of 07/07/92""",OAK,DET,DET04,1976/04/27,0,0:00PM,day,true,denkd901,barnl901,fordd901,sprim901,"""Rich Abbott""","""Rich Abbott""",1997/07/24 7:02PM,park,none,42,unknown,-1,unknown,unknown,unknown,158,4612,colej102,bluev001,laxtb101,,,
DET197604280,"""version 7RS(19) of 07/07/92""",OAK,DET,DET04,1976/04/28,0,0:00PM,day,true,barnl901,fordd901,sprim901,denkd901,"""Rich Abbott""","""Rich Abbott""",1997/07/26 8:18PM,park,none,0,unknown,-1,unknown,unknown,unknown,122,7088,robed101,norrm101,,,,
DET197605040,"""version 7RS(19) of 07/07/92""",MIN,DET,DET04,1976/05/04,0,0:00PM,night,true,koscg901,chyln901,evanj901,brinj901,"""Rich Abbott""","""Rich Abbott""",1997/07/29 10:00PM,park,none,60,unknown,-1,unknown,unknown,night,194,8818,albuv101,laxtb101,luebs101,,,
DET197605050,"""version 7RS(19) of 07/07/92""",MIN,DET,DET04,1976/05/05,0,0:00PM,night,true,chyln901,evanj901,brinj901,koscg901,"""Rich Abbott""","""Rich Abbott""",1997/07/30 11:59PM,park,none,81,unknown,-1,unknown,unknown,night,140,8317,blylb001,robed101,,,,
DET197605070,"""version 7RS(19) of 07/07/92""",CHA,DET,DET04,1976/05/07,0,0:00PM,night,true,evanj901,brinj901,koscg901,chyln901,"""Rich Abbott""","""Rich Abbott""",1997/08/01 5:01PM,park,none,0,unknown,-1,unknown,unknown,night,114,10059,barer101,forst001,,,,
DET197605080,"""version 7RS(19) of 07/07/92""",CHA,DET,DET04,1976/05/08,0,0:00PM,day,true,brinj901,koscg901,chyln901,evanj901,"""Rich Abbott""","""Rich Abbott""",1997/08/11 10:44PM,park,none,0,unknown,-1,unknown,unknown,unknown,129,11802,ruhlv001,johnb105,laxtb101,,,
DET197605090,"""version 7RS(19) of 07/07/92""",CHA,DET,DET04,1976/05/09,0,0:00PM,day,true,koscg901,chyln901,evanj901,brinj901,"""Rich Abbott""","""Rich Abbott""",1997/08/11 11:16PM,park,none,0,unknown,-1,unknown,unknown,unknown,138,12250,woodw103,colej102,carrc103,,,
DET197605140,"""version 7RS(19) of 07/07/92""",CLE,DET,DET04,1976/05/14,0,0:00PM,night,true,fordd901,sprim901,denkd901,barnl901,"""Turocy""","""Turocy""",1998/01/31 1:15PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,157,14092,buskt101,colej102,,,,
DET197605150,"""version 7RS(19) of 07/07/92""",CLE,DET,DET04,1976/05/15,0,2:15PM,day,true,sprim901,denkd901,barnl901,fordd901,"""Turocy""","""Turocy""",1998/01/31 1:24PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,117,14583,fidrm101,dobsp101,,,,
DET197605160,"""version 7RS(19) of 07/07/92""",CLE,DET,DET04,1976/05/16,0,2:00PM,day,true,denkd901,barnl901,fordd901,sprim901,"""Turocy""","""Turocy""",1998/01/31 1:32PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,114,51650,browj109,barer101,,,,
