game_id,inputprogvers,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,oscorer,gametype
SDN197804140,"""version 7RS(19) of 07/07/92""",SFN,SDN,SAN01,1978/04/14,0,0:00PM,night,false,davis901,tatat901,varge901,pryop901,"""25,29""","""Comly""","""Comly""",1996/08/07 11:41PM,park,none,0,unknown,-1,unknown,unknown,night,151,45901,moffr101,fingr001,,,,
SDN197804160,"""version 7RS(19) of 07/07/92""",SFN,SDN,SAN01,1978/04/16,0,0:00PM,day,false,tatat901,varge901,pryop901,davis901,"""25,29""","""Comly""","""Comly""",1996/08/08 7:45PM,park,none,0,unknown,-1,unknown,unknown,unknown,162,20992,knepb001,owchb001,laveg001,,,
SDN197804180,"""version 7RS(19) of 07/07/92""",HOU,SDN,SAN01,1978/04/18,0,0:00PM,night,false,froeb901,grege901,willb901,steld901,"""25""","""Comly""","""Comly""",1996/08/08 8:12PM,park,none,65,tocf,5,unknown,unknown,night,154,10840,niekj001,shirb001,,,,
SDN197804190,"""version 7RS(19) of 07/07/92""",HOU,SDN,SAN01,1978/04/19,0,0:00PM,night,false,grege901,willb901,steld901,froeb901,"""25""","""Comly""","""Comly""",1996/08/08 8:34PM,park,none,0,unknown,-1,unknown,unknown,night,168,12129,anduj001,freid101,sambj001,,,
SDN197804200,"""version 7RS(19) of 07/07/92""",ATL,SDN,SAN01,1978/04/20,0,0:00PM,day,false,weyel901,wendh901,rennd901,monte901,"""25""","""Comly""","""Comly""",1996/08/08 8:50PM,park,none,0,unknown,-1,unknown,unknown,unknown,93,10256,joner101,niekp001,fingr001,,,
SDN197804210,"""version 7RS(19) of 07/07/92""",ATL,SDN,SAN01,1978/04/21,0,0:00PM,night,false,wendh901,rennd901,monte901,weyel901,"""25""","""Comly""","""Comly""",1996/08/08 9:08PM,park,none,0,unknown,-1,unknown,unknown,night,162,37113,perrg101,eastj001,,,,
SDN197804220,"""version 7RS(19) of 07/07/92""",ATL,SDN,SAN01,1978/04/22,0,0:00PM,night,false,rennd901,monte901,weyel901,wendh901,"""25""","""Comly""","""Comly""",1996/08/08 9:54PM,park,none,0,unknown,-1,unknown,unknown,night,143,49744,owchb001,boggt001,fingr001,,,
SDN197804230,"""version 7RS(19) of 07/07/92""",ATL,SDN,SAN01,1978/04/23,0,0:00PM,day,false,monte901,weyel901,wendh901,rennd901,"""25""","""Comly""","""Comly""",1996/08/08 10:17PM,park,none,0,unknown,-1,unknown,unknown,unknown,200,19502,wehrd001,soloe101,,,,
SDN197805090,"""version 7RS(19) of 07/07/92""",CHN,SDN,SAN01,1978/05/09,0,7:00PM,night,false,kiblj901,colon901,davis901,westj901,"""15""","""Comly""","""Comly""",1996/08/14 11:14PM,park,count,69,unknown,2,unknown,unknown,unknown,155,15643,frymw101,shirb001,,,,
SDN197805100,"""version 7RS(19) of 07/07/92""",CHN,SDN,SAN01,1978/05/10,0,7:00PM,night,false,colon901,davis901,westj901,kiblj901,"""15,25""","""Comly""","""Comly""",1996/08/14 11:35PM,park,count,65,rtol,3,unknown,unknown,unknown,122,17082,joner101,lampd001,,,,
SDN197805110,"""version 7RS(19) of 07/07/92""",CHN,SDN,SAN01,1978/05/11,0,0:00PM,day,false,davis901,westj901,kiblj901,colon901,"""15;25""","""Comly""","""Comly""",1996/08/15 8:00PM,park,count,82,rtol,5,unknown,unknown,unknown,173,14756,hernw001,lee-m101,moord001,,,
SDN197805120,"""version 7RS(19) of 07/07/92""",PIT,SDN,SAN01,1978/05/12,0,7:07PM,night,false,engeb901,dalej901,mcshj901,rungp901,"""19,25""","""Comly""","""Comly""",1996/08/25 3:02PM,park,none,0,unknown,-1,unknown,unknown,night,162,20240,lee-m101,tekuk001,fingr001,,,
SDN197805130,"""version 7RS(19) of 07/07/92""",PIT,SDN,SAN01,1978/05/13,0,7:05PM,night,false,dalej901,mcshj901,rungp901,engeb901,"""19,25""","""Comly""","""Comly""",1996/08/25 3:42PM,park,none,0,unknown,-1,unknown,unknown,night,148,32648,spild001,kisob001,fingr001,,,
SDN197805140,"""version 7RS(19) of 07/07/92""",PIT,SDN,SAN01,1978/05/14,0,1:05PM,day,false,mcshj901,rungp901,engeb901,dalej901,"""19,25""","""Comly""","""Comly""",1996/08/25 4:00PM,park,none,0,unknown,-1,unknown,unknown,unknown,114,18572,robid001,joner101,,,,
SDN197805150,"""version 7RS(19) of 07/07/92""",SLN,SDN,SAN01,1978/05/15,0,7:05PM,night,false,quicj901,crawj901,harvd901,olsea901,"""20,25""","""Comly""","""Comly""",1996/08/11 12:35PM,park,none,0,unknown,-1,unknown,unknown,night,213,17199,lee-m101,vuckp001,,,,
SDN197805160,"""version 7RS(19) of 07/07/92""",SLN,SDN,SAN01,1978/05/16,0,7:05PM,night,false,crawj901,harvd901,olsea901,quicj901,"""20,25""","""Comly""","""Comly""",1996/08/11 4:38PM,park,none,0,unknown,-1,unknown,unknown,night,160,14434,owchb001,urrej101,dacqj101,,,
SDN197805170,"""version 7RS(19) of 07/07/92""",SLN,SDN,SAN01,1978/05/17,0,1:05PM,day,false,harvd901,olsea901,quicj901,crawj901,"""20,25""","""Comly""","""Comly""",1996/08/11 7:18PM,park,none,0,unknown,-1,unknown,unknown,unknown,120,13732,shirb001,rasme101,fingr001,,,
SDN197805220,"""version 7RS(19) of 07/07/92""",LAN,SDN,SAN01,1978/05/22,0,0:00PM,day,false,steld901,froeb901,grege901,willb901,"""35,25""","""Comly""","""Comly""",1996/08/29 11:31PM,park,none,0,unknown,-1,unknown,unknown,unknown,173,21957,suttd001,owchb001,,,,
SDN197805230,"""version 7RS(19) of 07/07/92""",LAN,SDN,SAN01,1978/05/23,0,0:00PM,night,false,froeb901,grege901,willb901,steld901,"""35,25""","""Comly""","""Comly""",1996/08/30 5:36AM,park,none,0,unknown,-1,unknown,unknown,night,120,27512,fingr001,johnt001,,,,
SDN197805240,"""version 7RS(19) of 07/07/92""",LAN,SDN,SAN01,1978/05/24,0,0:00PM,night,false,grege901,willb901,steld901,froeb901,"""25""","""Comly""","""Comly""",1996/08/30 6:00AM,park,none,0,unknown,-1,unknown,unknown,night,181,27100,perrg101,rhodr001,dacqj101,,,
SDN197805260,"""version 7RS(19) of 07/07/92""",CIN,SDN,SAN01,1978/05/26,0,0:00PM,night,false,weyel901,wendh901,rennd901,monte901,"""22,25""","""Comly""","""Comly""",1996/08/28 10:42PM,park,none,0,unknown,-1,unknown,unknown,night,136,34227,seavt001,shirb001,baird001,,,
SDN197805270,"""version 7RS(19) of 07/07/92""",CIN,SDN,SAN01,1978/05/27,0,0:00PM,night,false,wendh901,rennd901,monte901,weyel901,"""22,25""","""Comly""","""Comly""",1996/08/29 6:57PM,park,none,0,unknown,-1,unknown,unknown,night,150,43484,bonhb101,owchb001,,,,
SDN197805280,"""version 7RS(19) of 07/07/92""",CIN,SDN,SAN01,1978/05/28,0,1:00PM,day,false,rennd901,monte901,weyel901,wendh901,"""22,25,Reds radio broadcast""","""Clem Comly/Mike Grahek""","""Clem Comly/Mike Grahek""",1996/08/29 8:13PM,park,pitches,0,unknown,-1,unknown,none,sunny,118,34029,joner101,normf101,fingr001,,,
SDN197806120,"""version 7RS(19) of 07/07/92""",NYN,SDN,SAN01,1978/06/12,0,0:00PM,night,false,olsea901,quicj901,crawj901,harvd901,"""17,25""","""Comly""","""Comly""",1996/09/08 8:05PM,park,none,0,unknown,-1,unknown,unknown,night,136,19431,lee-m101,zachp001,,,,
SDN197806130,"""version 7RS(19) of 07/07/92""",NYN,SDN,SAN01,1978/06/13,0,0:00PM,night,false,quicj901,crawj901,harvd901,olsea901,"""17,25""","""Comly""","""Comly""",1996/09/08 8:25PM,park,none,0,unknown,-1,unknown,unknown,night,169,12927,locks101,fingr001,siebp101,,,
SDN197806141,"""version 7RS(19) of 07/07/92""",MON,SDN,SAN01,1978/06/14,1,0:00PM,night,false,crawj901,harvd901,olsea901,quicj901,"""16,25""","""Comly""","""Comly""",1996/09/16 8:32PM,park,none,0,unknown,-1,unknown,unknown,night,143,0,rasme101,twitw101,dacqj101,,,
SDN197806142,"""version 7RS(19) of 07/07/92""",MON,SDN,SAN01,1978/06/14,2,0:00PM,night,false,harvd901,olsea901,quicj901,crawj901,"""16,25""","""Comly""","""Comly""",1996/09/16 8:50PM,park,none,0,unknown,-1,unknown,unknown,night,126,18765,perrg101,frymw101,,,,
SDN197806150,"""version 7RS(19) of 07/07/92""",MON,SDN,SAN01,1978/06/15,0,0:00PM,day,false,olsea901,quicj901,crawj901,harvd901,"""25,16""","""Comly""","""Comly""",1996/09/16 9:13PM,park,none,0,unknown,-1,unknown,unknown,unknown,137,9253,grimr101,shirb001,,,,
SDN197806160,"""version 7RS(19) of 07/07/92""",PHI,SDN,SAN01,1978/06/16,0,0:00PM,night,false,colon901,davis901,(none),westj901,"""18,25""","""Comly""","""Comly""",1996/09/15 12:37PM,park,none,0,unknown,-1,unknown,unknown,night,111,21124,carls001,joner101,,,,
SDN197806170,"""version 7RS(19) of 07/07/92""",PHI,SDN,SAN01,1978/06/17,0,0:00PM,night,false,davis901,westj901,kiblj901,colon901,"""18,25""","""Comly""","""Comly""",1996/09/15 1:24PM,park,none,0,unknown,-1,unknown,unknown,night,138,27319,owchb001,lonbj101,,,,
SDN197806180,"""version 7RS(19) of 07/07/92""",PHI,SDN,SAN01,1978/06/18,0,0:00PM,day,false,westj901,kiblj901,colon901,davis901,"""18,25""","""Comly""","""Comly""",1996/09/15 1:46PM,park,none,0,unknown,-1,unknown,unknown,unknown,129,21195,perrg101,ruthd001,fingr001,,,
SDN197806200,"""version 7RS(19) of 07/07/92""",ATL,SDN,SAN01,1978/06/20,0,0:00PM,night,false,mcshj901,rungp901,engeb901,dalej901,"""25,147""","""David W. Smith""","""David W. Smith""",1999/05/22 3:09PM,park,none,0,unknown,-1,unknown,unknown,unknown,133,13059,niekp001,joner101,garbg001,,,
SDN197806210,"""version 7RS(19) of 07/07/92""",ATL,SDN,SAN01,1978/06/21,0,0:00PM,night,false,rungp901,engeb901,dalej901,mcshj901,"""25""","""Comly""","""Comly""",1996/09/17 11:28PM,park,none,0,unknown,-1,unknown,unknown,night,152,12016,devia101,shirb001,garbg001,,,
SDN197806220,"""version 7RS(19) of 07/07/92""",ATL,SDN,SAN01,1978/06/22,0,0:00PM,day,false,engeb901,dalej901,mcshj901,rungp901,"""21,25""","""Comly""","""Comly""",1996/09/17 11:45PM,park,none,0,unknown,-1,unknown,unknown,unknown,136,8854,owchb001,mahlm001,fingr001,,,
SDN197806230,"""version 7RS(19) of 07/07/92""",HOU,SDN,SAN01,1978/06/23,0,0:00PM,night,false,harvd901,olsea901,quicj901,crawj901,"""25""","""Comly""","""Comly""",1996/09/17 4:44PM,park,none,0,unknown,-1,unknown,unknown,night,128,12055,perrg101,dixot101,,,,
SDN197806240,"""version 7RS(19) of 07/07/92""",HOU,SDN,SAN01,1978/06/24,0,0:00PM,night,false,olsea901,quicj901,crawj901,harvd901,"""25""","""Comly""","""Comly""",1996/09/17 6:06PM,park,none,0,unknown,-1,unknown,unknown,night,191,15759,fingr001,forsk001,,,,
SDN197806251,"""version 7RS(19) of 07/07/92""",HOU,SDN,SAN01,1978/06/25,1,0:00PM,day,false,quicj901,crawj901,harvd901,olsea901,"""25""","""Comly""","""Comly""",1996/09/17 6:17PM,park,none,0,unknown,-1,unknown,unknown,unknown,115,0,shirb001,richj101,,,,
SDN197806252,"""version 7RS(19) of 07/07/92""",HOU,SDN,SAN01,1978/06/25,2,0:00PM,day,false,crawj901,harvd901,olsea901,quicj901,"""25""","""Comly""","""Comly""",1996/09/17 10:55PM,park,none,0,unknown,-1,unknown,unknown,unknown,177,20342,rasme101,mclab101,dacqj101,,,
SDN197806260,"""version 7RS(19) of 07/07/92""",SFN,SDN,SAN01,1978/06/26,0,0:00PM,night,false,pryop901,willc901,varge901,tatat901,"""29""","""Comly""","""Comly""",1996/09/18 7:52PM,park,none,0,unknown,-1,unknown,unknown,night,140,28186,fingr001,laveg001,,,,
SDN197806270,"""version 7RS(19) of 07/07/92""",SFN,SDN,SAN01,1978/06/27,0,0:00PM,night,false,varge901,willc901,tatat901,pryop901,"""25,29""","""Comly""","""Comly""",1996/09/18 8:23PM,park,none,0,unknown,-1,unknown,unknown,night,161,34472,bluev001,perrg101,,,,
SDN197806281,"""version 7RS(19) of 07/07/92""",SFN,SDN,SAN01,1978/06/28,1,0:00PM,night,false,willc901,tatat901,pryop901,varge901,"""25,29""","""Comly""","""Comly""",1996/09/18 9:10PM,park,none,0,unknown,-1,unknown,unknown,night,119,0,barrj101,joner101,moffr101,,,
SDN197806282,"""version 7RS(19) of 07/07/92""",SFN,SDN,SAN01,1978/06/28,2,0:00PM,night,false,tatat901,pryop901,varge901,willc901,"""25,29""","""Comly""","""Comly""",1996/09/18 9:47PM,park,none,0,unknown,-1,unknown,unknown,night,151,29827,rasme101,willc101,dacqj101,,,
SDN197807210,"""version 7RS(19) of 07/07/92""",CHN,SDN,SAN01,1978/07/21,0,7:00PM,night,false,varge901,pryop901,tatat901,willc901,"""15,25""","""Comly""","""Comly""",1996/09/29 10:33AM,park,count,72,unknown,2,unknown,unknown,night,183,22982,reusr001,shirb001,suttb001,,,
SDN197807220,"""version 7RS(19) of 07/07/92""",CHN,SDN,SAN01,1978/07/22,0,7:00PM,night,false,pryop901,tatat901,willc901,varge901,"""15,25""","""Comly""","""Comly""",1996/09/29 11:58AM,park,count,73,unknown,2,unknown,unknown,night,143,22258,dacqj101,burrr001,,,,
SDN197807230,"""version 7RS(19) of 07/07/92""",CHN,SDN,SAN01,1978/07/23,0,1:00PM,day,false,tatat901,willc901,varge901,pryop901,"""15,25""","""Comly""","""Comly""",1996/09/29 12:51PM,park,count,84,unknown,4,unknown,unknown,unknown,152,21505,lampd001,joner101,,,,
SDN197807250,"""version 7RS(19) of 07/07/92""",PIT,SDN,SAN01,1978/07/25,0,7:07PM,night,false,steld901,froeb901,grege901,willb901,"""25,19""","""Comly""","""Comly""",1996/10/05 11:54PM,park,none,0,unknown,-1,unknown,unknown,night,140,17522,owchb001,rookj101,,,,
SDN197807260,"""version 7RS(19) of 07/07/92""",PIT,SDN,SAN01,1978/07/26,0,7:05PM,night,false,froeb901,grege901,willb901,steld901,"""25,19""","""Comly""","""Comly""",1996/10/06 12:31AM,park,none,0,unknown,-1,unknown,unknown,night,170,16556,perrg101,kisob001,fingr001,,,
SDN197807270,"""version 7RS(19) of 07/07/92""",PIT,SDN,SAN01,1978/07/27,0,1:00PM,day,false,grege901,willb901,steld901,froeb901,"""25,19""","""Comly""","""Comly""",1996/10/06 1:30AM,park,none,0,unknown,-1,unknown,unknown,night,164,14076,shirb001,white001,fingr001,,,
SDN197807280,"""version 7RS(19) of 07/07/92""",SLN,SDN,SAN01,1978/07/28,0,7:03PM,night,false,rennd901,weyel901,monte901,wendh901,"""20,25""","""Comly""","""Comly""",1996/09/22 5:02PM,park,none,0,unknown,-1,unknown,unknown,night,129,17217,joner101,dennj001,,,,
SDN197807290,"""version 7RS(19) of 07/07/92""",SLN,SDN,SAN01,1978/07/29,0,7:02PM,night,false,weyel901,monte901,wendh901,rennd901,"""20,25""","""Comly""","""Comly""",1996/09/22 5:31PM,park,none,0,unknown,-1,unknown,unknown,night,142,18696,owchb001,vuckp001,,,,
SDN197807300,"""version 7RS(19) of 07/07/92""",SLN,SDN,SAN01,1978/07/30,0,1:04PM,day,false,monte901,wendh901,rennd901,weyel901,"""20;25""","""Comly""","""Comly""",1996/09/22 5:52PM,park,none,0,unknown,-1,unknown,unknown,unknown,148,16478,perrg101,forsb001,fingr001,,,
SDN197807310,"""version 7RS(19) of 07/07/92""",LAN,SDN,SAN01,1978/07/31,0,0:00PM,night,false,kiblj901,colon901,davis901,westj901,"""24,25,35""","""Comly""","""Comly""",1996/10/09 9:44PM,park,none,0,unknown,-1,unknown,unknown,night,146,28592,rasme101,rhodr001,fingr001,,,
SDN197808010,"""version 7RS(19) of 07/07/92""",LAN,SDN,SAN01,1978/08/01,0,0:00PM,night,false,colon901,davis901,westj901,kiblj901,"""24,25,35""","""Comly""","""Comly""",1996/11/05 6:08PM,park,none,0,unknown,-1,unknown,unknown,night,119,40846,joner101,hootb001,,,,
SDN197808020,"""version 7RS(19) of 07/07/92""",LAN,SDN,SAN01,1978/08/02,0,7:13PM,night,false,davis901,westj901,kiblj901,colon901,"""24,25,35""","""Comly""","""Comly""",1996/11/05 6:41PM,park,none,0,unknown,-1,unknown,unknown,night,138,46751,owchb001,johnt001,fingr001,,,
SDN197808100,"""version 7RS(19) of 07/07/92""",CIN,SDN,SAN01,1978/08/10,0,7:04PM,night,false,harvd901,willc901,quicj901,crawj901,"""22,25""","""Comly""","""Comly""",1996/11/05 1:58AM,park,none,0,unknown,-1,unknown,unknown,night,165,27882,joner101,lacom001,shirb001,,,
SDN197808110,"""version 7RS(19) of 07/07/92""",CIN,SDN,SAN01,1978/08/11,0,7:03PM,night,false,willc901,quicj901,crawj901,harvd901,"""22,25""","""Comly""","""Comly""",1996/11/05 4:48PM,park,none,0,unknown,-1,unknown,unknown,night,155,33635,baird001,owchb001,,,,
SDN197808120,"""version 7RS(19) of 07/07/92""",CIN,SDN,SAN01,1978/08/12,0,7:03PM,night,false,quicj901,crawj901,harvd901,willc901,"""22,25""","""Comly""","""Comly""",1996/11/05 5:15PM,park,none,0,unknown,-1,unknown,unknown,night,160,38543,perrg101,seavt001,fingr001,,,
SDN197808130,"""version 7RS(19) of 07/07/92""",CIN,SDN,SAN01,1978/08/13,0,1:08PM,day,false,crawj901,harvd901,willc901,quicj901,"""22,25""","""Comly""","""Comly""",1996/11/05 5:32PM,park,none,0,unknown,-1,unknown,unknown,unknown,140,34267,rasme101,normf101,shirb001,,,
SDN197808240,"""version 7RS(19) of 07/07/92""",NYN,SDN,SAN01,1978/08/24,0,7:04PM,night,false,rennd901,weyel901,monte901,wendh901,"""17,25""","""Comly""","""Comly""",1996/10/27 9:37PM,park,none,0,unknown,-1,unknown,unknown,night,142,17613,bruhm101,owchb001,,,,
SDN197808250,"""version 7RS(19) of 07/07/92""",NYN,SDN,SAN01,1978/08/25,0,7:08PM,night,false,meltd901,dierr901,denis901,edwal901,"""17,25""","""Comly""","""Comly""",1996/10/27 10:41PM,park,none,0,unknown,-1,unknown,unknown,night,147,19459,swanc001,perrg101,,,,
SDN197808260,"""version 7RS(19) of 07/07/92""",NYN,SDN,SAN01,1978/08/26,0,7:03PM,night,false,weyel901,monte901,wendh901,rennd901,"""17,25""","""Comly""","""Comly""",1996/10/27 11:13PM,park,none,0,unknown,-1,unknown,unknown,night,124,16458,lolim101,koosj001,fingr001,,,
