player_id,last,first,bats,throws,team_id,pos,player_name,year,team_name
arrof001,Arroyo,Fernando,R,R,DET,P,Fernando Arroyo,1978,"A,Detroit,Tigers"
bakes101,Baker,Steve,R,R,DET,P,Steve Baker,1978,"A,Detroit,Tigers"
billj101,Billingham,Jack,R,R,DET,P,Jack Billingham,1978,"A,Detroit,Tigers"
burns101,Burnside,Sheldon,R,L,DET,P,Sheldon Burnside,1978,"A,Detroit,Tigers"
corct001,Corcoran,Tim,L,L,DET,OF,Tim Corcoran,1978,"A,Detroit,Tigers"
crawj102,Crawford,Jim,L,L,DET,P,Jim Crawford,1978,"A,Detroit,Tigers"
dills101,Dillard,Steve,R,R,DET,2B,Steve Dillard,1978,"A,Detroit,Tigers"
fidrm101,Fidrych,Mark,R,R,DET,P,Mark Fidrych,1978,"A,Detroit,Tigers"
foucs101,Foucault,Steve,L,R,DET,P,Steve Foucault,1978,"A,Detroit,Tigers"
glyne001,Glynn,Ed,R,L,DET,P,Ed Glynn,1978,"A,Detroit,Tigers"
hillj101,Hiller,John,R,L,DET,P,John Hiller,1978,"A,Detroit,Tigers"
kemps001,Kemp,Steve,L,L,DET,OF,Steve Kemp,1978,"A,Detroit,Tigers"
leflr101,LeFlore,Ron,R,R,DET,OF,Ron LeFlore,1978,"A,Detroit,Tigers"
mankp101,Mankowski,Phil,L,R,DET,3B,Phil Mankowski,1978,"A,Detroit,Tigers"
may-m001,May,Milt,L,R,DET,C,Milt May,1978,"A,Detroit,Tigers"
morrj001,Morris,Jack,R,R,DET,P,Jack Morris,1978,"A,Detroit,Tigers"
parrl001,Parrish,Lance,R,R,DET,C,Lance Parrish,1978,"A,Detroit,Tigers"
rodra101,Rodriguez,Aurelio,R,R,DET,3B,Aurelio Rodriguez,1978,"A,Detroit,Tigers"
rozed001,Rozema,Dave,R,R,DET,P,Dave Rozema,1978,"A,Detroit,Tigers"
slatj001,Slaton,Jim,R,R,DET,P,Jim Slaton,1978,"A,Detroit,Tigers"
spikc101,Spikes,Charlie,R,R,DET,OF,Charlie Spikes,1978,"A,Detroit,Tigers"
stanm101,Stanley,Mickey,R,R,DET,OF,Mickey Stanley,1978,"A,Detroit,Tigers"
staur001,Staub,Rusty,L,R,DET,DH,Rusty Staub,1978,"A,Detroit,Tigers"
stegd001,Stegman,Dave,R,R,DET,OF,Dave Stegman,1978,"A,Detroit,Tigers"
sykeb101,Sykes,Bob,B,L,DET,P,Bob Sykes,1978,"A,Detroit,Tigers"
taylb101,Taylor,Bruce,R,R,DET,P,Bruce Taylor,1978,"A,Detroit,Tigers"
thomj001,Thompson,Jason,L,L,DET,1B,Jason Thompson,1978,"A,Detroit,Tigers"
tobid001,Tobik,Dave,R,R,DET,P,Dave Tobik,1978,"A,Detroit,Tigers"
trama001,Trammell,Alan,R,R,DET,SS,Alan Trammell,1978,"A,Detroit,Tigers"
wagnm001,Wagner,Mark,R,R,DET,SS,Mark Wagner,1978,"A,Detroit,Tigers"
whitl001,Whitaker,Lou,L,R,DET,2B,Lou Whitaker,1978,"A,Detroit,Tigers"
wilcm001,Wilcox,Milt,R,R,DET,P,Milt Wilcox,1978,"A,Detroit,Tigers"
wockj001,Wockenfuss,John,R,R,DET,OF,John Wockenfuss,1978,"A,Detroit,Tigers"
younk101,Young,Kip,R,R,DET,P,Kip Young,1978,"A,Detroit,Tigers"
alexd001,Alexander,Doyle,R,R,TEX,P,Doyle Alexander,1978,"A,Texas,Rangers"
aloms101,Alomar,Sandy,B,R,TEX,1B,Sandy Alomar,1978,"A,Texas,Rangers"
barkl001,Barker,Len,R,R,TEX,P,Len Barker,1978,"A,Texas,Rangers"
benij001,Beniquez,Juan,R,R,TEX,OF,Juan Beniquez,1978,"A,Texas,Rangers"
bevak001,Bevacqua,Kurt,R,R,TEX,3B,Kurt Bevacqua,1978,"A,Texas,Rangers"
bondb101,Bonds,Bobby,R,R,TEX,OF,Bobby Bonds,1978,"A,Texas,Rangers"
campb101,Campaneris,Bert,R,R,TEX,SS,Bert Campaneris,1978,"A,Texas,Rangers"
clevr101,Cleveland,Reggie,R,R,TEX,P,Reggie Cleveland,1978,"A,Texas,Rangers"
