game_id,inputprogvers,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,gametype,oscorer
KCA198004100,"""version 7RS(19) of 07/07/92""",DET,KCA,KAN06,1980/04/10,0,7:35PM,night,true,phild901,dimul901,clara901,pales901,"""KC""","""Bill Disney""","""Bill Disney""",1995/06/12 2:16PM,park,none,65,unknown,14,unknown,unknown,night,148,34901,morrj001,leond001,,kemps001,,
KCA198004110,"""version 7RS(19) of 07/07/92""",DET,KCA,KAN06,1980/04/11,0,7:35PM,night,true,dimul901,clara901,pales901,phild901,"""KC""","""Bill Disney""","""Bill disney""",1995/06/12 2:41PM,park,none,42,unknown,14,unknown,unknown,night,133,14605,gural001,schad001,,lacop101,,
KCA198004120,"""version 7RS(19) of 07/07/92""",DET,KCA,KAN06,1980/04/12,0,1:35PM,day,true,clara901,pales901,phild901,dimul901,"""KC""","""Bill Disney""","""Bill Disney""",1995/06/14 5:29AM,park,none,50,unknown,16,unknown,unknown,unknown,179,16130,pattm101,undep101,,chald101,,
KCA198004130,"""version 7RS(19) of 07/07/92""",DET,KCA,KAN06,1980/04/13,0,1:35PM,day,true,clara901,pales901,phild901,dimul901,"""KC""","""Bill Disney""","""Bill disney""",1995/06/14 9:11AM,park,none,52,unknown,20,unknown,unknown,unknown,149,17720,splip001,rozed001,chrig101,lacop101,,
KCA198004210,"""version 7RS(19) of 07/07/92""",TOR,KCA,KAN06,1980/04/21,0,7:36PM,night,true,mckej901,hendt901,(none),barnl901,"""KC/Toronto""","""Bill Disney""","""Bill Disney""",1995/06/15 6:46AM,park,none,84,unknown,0,unknown,unknown,night,149,21117,stied001,galer001,,bonnb001,,
KCA198004220,"""version 7RS(19) of 07/07/92""",TOR,KCA,KAN06,1980/04/22,0,7:35PM,night,true,hendt901,barnl901,(none),mckej901,"""KC/Toronto""","""Bill Disney""","""Bill Disney""",1995/06/16 5:35AM,park,none,82,unknown,-1,unknown,unknown,night,128,16993,splip001,mirap001,,wathj001,,
KCA198004230,"""version 7RS(19) of 07/07/92""",TOR,KCA,KAN06,1980/04/23,0,7:35PM,night,true,barnl901,mckej901,hendt901,evanj901,"""KC/Toronto""","""Bill Disney""","""Bill Disney""",1995/06/17 7:03AM,park,none,74,unknown,-1,unknown,unknown,night,153,18855,chrig101,mclaj001,quisd001,bretg001,,
KCA198004250,"""version 7RS(19) of 07/07/92""",BAL,KCA,KAN06,1980/04/25,0,0:00PM,night,true,koscg901,denkd901,mccol901,fordd901,"""Orioles""","""G. Fitzgerald""","""G. Fitzgerald""",1993/12/21 8:50PM,park,none,0,unknown,-1,unknown,unknown,night,138,20436,gural001,stons101,,whitf001,,
KCA198004260,"""version 7RS(19) of 07/07/92""",BAL,KCA,KAN06,1980/04/26,0,0:00PM,day,true,denkd901,mccol901,fordd901,koscg901,"""Orioles""","""G. Fitzgerald""","""G. Fitzgerald""",1993/12/21 9:12PM,park,none,0,unknown,-1,unknown,unknown,unknown,154,25925,flanm001,galer001,,bumba001,,
KCA198004270,"""version 7RS(19) of 07/07/92""",BAL,KCA,KAN06,1980/04/27,0,0:00PM,day,true,mccol901,fordd901,koscg901,denkd901,"""Orioles""","""G. Fitzgerald""","""G. Fitzgerald""",1993/12/21 10:39PM,park,none,0,unknown,-1,unknown,unknown,unknown,122,20496,splip001,fordd101,,quirj001,,
