game_id,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,inputter,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,translator,oscorer
DET198504080,CLE,DET,DET04,1985/04/08,0,0:00PM,day,true,sprim901,mckej901,merrd901,voltv901,"""Dave Brown + Wigley from WILX video""","""Gary Gillette + Wigley from WILX video""",tv,pitches,42,ltor,13,unknown,unknown,unknown,169,51180,morrj001,camae001,hernw001,whitl001,,
DET198504100,CLE,DET,DET04,1985/04/10,0,0:00PM,day,true,mckej901,merrd901,voltv901,sprim901,"""Jeff Held""","""Gary Gillette""",unknown,none,0,unknown,-1,unknown,unknown,unknown,153,14659,petrd001,ruhlv001,lopea001,whitl001,,
DET198504110,CLE,DET,DET04,1985/04/11,0,0:00PM,day,true,merrd901,voltv901,sprim901,mckej901,"""Gary Bowe""","""Gary Gillette""",unknown,none,0,unknown,-1,unknown,unknown,unknown,236,19090,hernw001,vonod001,,broot001,,
DET198504160,MIL,DET,DET04,1985/04/16,0,0:00PM,night,true,clara901,reilm901,cobld901,denkd901,"""Sanford Sklansky""","""Gary Gillette""",unknown,none,0,unknown,-1,unknown,unknown,unknown,143,23869,terrw001,burrr001,lopea001,trama001,,
DET198504170,MIL,DET,DET04,1985/04/17,0,0:00PM,day,true,reilm901,cobld901,denkd901,clara901,"""Scott Segrin""","""Gary Gillette""",unknown,none,0,unknown,-1,unknown,unknown,unknown,118,15221,darwd001,morrj001,,gantj001,,
DET198504190,KCA,DET,DET04,1985/04/19,0,0:00PM,night,true,barnl901,fordd901,kaisk901,roe-r901,"""Kopf""","""Gary Gillette""",unknown,none,0,unknown,-1,unknown,unknown,unknown,155,35432,sabeb001,petrd001,,bretg001,,
DET198504200,KCA,DET,DET04,1985/04/20,0,0:00PM,day,true,fordd901,kaisk901,roe-r901,barnl901,"""Stiles""","""Gary Gillette""",unknown,none,0,unknown,-1,unknown,unknown,unknown,150,27339,hernw001,quisd001,,whitl001,,
DET198504210,KCA,DET,DET04,1985/04/21,0,0:00PM,day,true,kaisk901,roe-r901,barnl901,fordd901,"""Peters""","""Gary Gillette""",unknown,none,0,unknown,-1,unknown,unknown,unknown,245,30168,quisd001,berej001,gural001,motld001,,
DET198504300,MIN,DET,DET04,1985/04/30,0,0:00PM,night,true,hendt901,morrd901,evanj901,bremn901,"""Steve Bodnar""","""Gary Gillette""",unknown,none,0,unknown,-1,unknown,unknown,unknown,156,22899,butcj001,wilcm001,,teuft001,,
DET198505010,MIN,DET,DET04,1985/05/01,0,0:00PM,day,true,morrd901,evanj901,bremn901,hendt901,"""B. Jensen""","""Gary Gillette""",unknown,none,0,unknown,-1,unknown,unknown,unknown,178,19008,violf001,morrj001,lysar001,hatcm001,,
