game_id,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,inputter,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,oscorer,translator
MON198704200,PHI,MON,MON02,1987/04/20,0,0:00PM,day,false,wendh901,tatat901,crawj901,davib902,"""B. MacInnes""","""Rollie Loewen""",unknown,none,0,unknown,-1,unknown,unknown,unknown,158,50482,schad001,tibbj001,tekuk001,parrl001,,
MON198704220,PHI,MON,MON02,1987/04/22,0,0:00PM,day,false,tatat901,crawj901,davib902,wendh901,"""B. MacInnes""","""Rollie Loewen""",unknown,none,0,unknown,-1,unknown,unknown,unknown,150,8114,heatn001,cowlj001,,wallt001,,
MON198704230,PHI,MON,MON02,1987/04/23,0,0:00PM,day,false,crawj901,davib902,wendh901,tatat901,"""B. MacInnes""","""Rollie Loewen""",unknown,none,0,unknown,-1,unknown,unknown,unknown,176,5632,stclr001,jackm001,mcgaa001,,,
MON198704240,CHN,MON,MON02,1987/04/24,0,0:00PM,day,false,davib902,wendh901,tatat901,crawj901,"""O'Donnell""","""O'Donnell""",unknown,none,0,unknown,-1,unknown,unknown,unknown,175,7752,moyej001,sebrb001,smitl001,dawsa001,,
MON198704250,CHN,MON,MON02,1987/04/25,0,0:00PM,day,false,wendh901,tatat901,crawj901,davib902,"""McCormick""","""Dewan""",unknown,none,0,unknown,-1,unknown,unknown,unknown,192,11824,sands001,tibbj001,,morek001,,
MON198704260,CHN,MON,MON02,1987/04/26,0,0:00PM,day,false,tatat901,crawj901,davib902,wendh901,"""O'Donnell""","""O'Donnell""",unknown,none,0,unknown,-1,unknown,unknown,unknown,155,12052,trous001,sorel001,,durhl001,,
MON198705080,HOU,MON,MON02,1987/05/08,0,0:00PM,night,false,westj901,marsr901,engeb901,rungp901,"""B. MacInnes""","""Rollie Loewen""",unknown,none,0,unknown,-1,unknown,unknown,unknown,124,9692,scotm001,heatn001,,garnp001,,
MON198705090,HOU,MON,MON02,1987/05/09,0,0:00PM,day,false,marsr901,engeb901,rungp901,westj901,"""B. MacInnes""","""Rollie Loewen""",unknown,none,0,unknown,-1,unknown,unknown,unknown,133,12590,sebrb001,deshj001,burkt001,nichr001,,
MON198705100,HOU,MON,MON02,1987/05/10,0,0:00PM,day,false,engeb901,rungp901,westj901,marsr901,"""B. MacInnes""","""Rollie Loewen""",unknown,none,0,unknown,-1,unknown,unknown,unknown,149,13259,tibbj001,darwd001,stclr001,raint001,,
MON198705110,ATL,MON,MON02,1987/05/11,0,0:00PM,night,false,froeb901,quicj901,willc901,kiblj901,"""B. MacInnes""","""Rollie Loewen""",unknown,none,0,unknown,-1,unknown,unknown,unknown,195,9653,sorel001,ackej001,,wallt001,,
MON198705120,ATL,MON,MON02,1987/05/12,0,0:00PM,night,false,quicj901,willc901,kiblj901,froeb901,"""Paul Debbas""","""Rollie Loewen""",unknown,none,0,unknown,-1,unknown,unknown,unknown,168,9522,smitz001,hereu001,dedmj001,smitz001,,
MON198705130,CIN,MON,MON02,1987/05/13,0,0:00PM,night,false,willc901,kiblj901,froeb901,quicj901,"""B. MacInnes""","""Rollie Loewen""",unknown,none,0,unknown,-1,unknown,unknown,unknown,157,11265,browt001,stclr001,,larkb001,,
