game_id,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,inputter,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,oscorer
DET198904070,MIL,DET,DET04,1989/04/07,0,01:45,day,true,welkt901,evanj901,shulj901,morrd901,"""Kaluzny""","""Gillette""",tv,pitches,43,torf,-1,dry,none,cloudy,165,51473,alexd001,wegmb001,hernw001,,
DET198904080,MIL,DET,DET04,1989/04/08,0,01:15,day,true,evanj901,shulj901,morrd901,welkt901,"""Lysogorski""","""Gillette""",park,pitches,39,rtol,-1,dry,none,overcast,160,12892,augud001,tanaf001,plesd001,,
DET198904110,MIN,DET,DET04,1989/04/11,0,01:36,day,true,fordd901,koscg901,hirsj901,barnl901,"""Unger""","""Gillette""",park,pitches,40,unknown,-1,dry,none,overcast,171,9968,andea001,morrj001,,,
DET198904130,MIN,DET,DET04,1989/04/13,0,01:35,day,true,koscg901,hirsj901,barnl901,fordd901,"""Lysogorski""","""Gillette""",park,pitches,0,unknown,-1,unknown,unknown,unknown,150,9042,robij002,rawls001,,,
DET198904140,TEX,DET,DET04,1989/04/14,0,07:38,night,true,garcr901,hendt901,roe-r901,reilm901,"""Kaluzny""","""Gillette""",tv,pitches,0,unknown,-1,unknown,unknown,unknown,190,12384,moyej001,willf001,russj001,,
DET198904150,TEX,DET,DET04,1989/04/15,0,01:35,day,true,hendt901,roe-r901,reilm901,garcr901,"""Lysogorski""","""Gillette""",radio,pitches,0,unknown,-1,unknown,unknown,unknown,155,17250,browk001,tanaf001,,,
DET198904160,TEX,DET,DET04,1989/04/16,0,01:35,day,true,roe-r901,reilm901,garcr901,hendt901,"""Lysogorski""","""Gillette""",park,pitches,0,unknown,-1,unknown,unknown,unknown,247,16030,hougc001,morrj001,russj001,,
DET198904240,SEA,DET,DET04,1989/04/24,0,07:35,night,true,voltv901,cousd901,mckej901,kaisk901,"""Lysogorski""","""Hester""",radio,pitches,59,tocf,-1,dry,none,night,175,13174,alexd001,langm001,,,
DET198904250,SEA,DET,DET04,1989/04/25,0,01:35,day,true,cousd901,mckej901,kaisk901,voltv901,"""Koehler""","""Gillette""",tv,pitches,0,unknown,-1,unknown,unknown,unknown,154,12043,tanaf001,banks001,hernw001,,
DET198905050,OAK,DET,DET04,1989/05/05,0,07:36,night,true,morrd901,welkt901,evanj901,shulj901,"""Unger""","""Hester""",park,none,66,unknown,-1,wet,none,night,167,18482,stewd001,tanaf001,ecked001,,
DET198905060,OAK,DET,DET04,1989/05/06,0,02:26,day,true,welkt901,evanj901,shulj901,morrd901,"""Unger""","""Hester""",park,pitches,46,unknown,-1,dry,drizzle,overcast,172,32404,morrj001,davis001,hernw001,,
DET198905070,OAK,DET,DET04,1989/05/07,0,01:35,day,true,evanj901,shulj901,morrd901,welkt901,"""Lysogorski""","""Hester""",park,pitches,45,ltor,-1,dry,none,cloudy,181,20391,welcb001,hudsc001,ecked001,,
DET198905080,CAL,DET,DET04,1989/05/08,0,07:35,night,true,reedr901,johnm901,clara901,phild901,"""Lysogorski""","""Hester""",park,pitches,59,ltor,-1,dry,none,night,159,12759,finlc001,alexd001,,,
DET198905090,CAL,DET,DET04,1989/05/09,0,07:36,night,true,johnm901,clara901,phild901,reedr901,"""Rickert""","""Hester""",radio,pitches,55,torf,15,wet,none,night,157,12290,blylb001,gibsp001,,,
DET198905100,CAL,DET,DET04,1989/05/10,0,08:37,night,true,clara901,phild901,reedr901,johnm901,"""Kaluzny""","""Hester""",tv,pitches,56,fromrf,-1,wet,rain,night,155,13187,hernw001,harvb001,,,
DET198905150,CHA,DET,DET04,1989/05/15,0,07:35,night,true,mckej901,kaisk901,voltv901,cousd901,"""Lysogorski""","""Hester""",tv,pitches,60,rtol,-1,dry,none,night,162,12035,tanaf001,longb002,hernw001,,
DET198905160,CHA,DET,DET04,1989/05/16,0,07:39,night,true,kaisk901,voltv901,cousd901,mckej901,"""Rickert""","""Hester""",radio,pitches,72,rtol,-1,dry,none,night,193,13861,willf001,perem001,,,
DET198905170,CHA,DET,DET04,1989/05/17,0,07:35,night,true,voltv901,cousd901,mckej901,kaisk901,"""Epke""","""Hester""",tv,pitches,76,unknown,11,dry,none,night,210,15975,pattk001,hernw001,hills001,,
DET198905190,KCA,DET,DET04,1989/05/19,0,07:39,night,true,roe-r901,reilm901,garcr901,hendt901,"""Kaluzny""","""Hester""",tv,pitches,72,unknown,-1,wet,none,night,163,18208,hennm001,sabeb001,,,
DET198905200,KCA,DET,DET04,1989/05/20,0,07:35,night,true,reilm901,garcr901,hendt901,roe-r901,"""Fruehling""","""Hester""",radio,pitches,72,torf,-1,wet,none,cloudy,169,21287,hennm001,gordt001,,,
DET198905210,KCA,DET,DET04,1989/05/21,0,01:35,day,true,garcr901,hendt901,roe-r901,reilm901,"""Lysogorski""","""Hester""",tv,pitches,75,ltor,-1,dry,none,sunny,147,24853,gibsp001,gubim001,hernw001,,
DET198905220,CLE,DET,DET04,1989/05/22,0,07:35,night,true,hirsj901,barnl901,fordd901,koscg901,"""Lysogorski""","""Hester""",tv,pitches,73,rtol,-1,dry,none,night,153,13702,blacb001,morrj001,orosj001,,
DET198905230,CLE,DET,DET04,1989/05/23,0,07:37,night,true,barnl901,fordd901,koscg901,hirsj901,"""Rickert""","""Hester""",radio,pitches,69,unknown,-1,dry,none,night,122,13141,trujm001,swing001,,,
DET198905240,CLE,DET,DET04,1989/05/24,0,07:38,night,true,fordd901,koscg901,hirsj901,barnl901,"""Kaluzny""","""Hester""",tv,pitches,79,ltor,-1,dry,none,night,185,14352,hernw001,bails001,,,
DET198905250,CLE,DET,DET04,1989/05/25,0,01:36,day,true,koscg901,hirsj901,barnl901,fordd901,"""Gartung""","""Hester""",radio,pitches,73,torf,-1,wet,none,cloudy,175,20594,tanaf001,farrj001,hernw001,,
DET198906010,BAL,DET,DET04,1989/06/01,0,07:41,night,true,roe-r901,reilm901,garcr901,scotd901,"""David W. Smith""","""David W. Smith""",tv,pitches,78,unknown,-1,dry,none,night,159,14861,schmd001,noser001,thurm001,,
DET198906020,BAL,DET,DET04,1989/06/02,0,07:39,night,true,reilm901,garcr901,scotd901,roe-r901,"""G. Kaluzny""","""David W. Smith""",tv,pitches,75,ltor,-1,dry,none,night,163,19758,milab001,trujm001,hickk001,,
DET198906030,BAL,DET,DET04,1989/06/03,0,07:38,night,true,garcr901,scotd901,roe-r901,reilm901,"""""","""""",unknown,pitches,0,unknown,-1,unknown,unknown,unknown,193,19738,hickk001,alexd001,olsog001,,
DET198906040,BAL,DET,DET04,1989/06/04,0,01:36,day,true,scotd901,roe-r901,reilm901,garcr901,"""""","""""",unknown,pitches,0,unknown,-1,unknown,unknown,unknown,199,23621,tibbj001,tanaf001,willm004,,
