game_id,visteam,hometeam,site,date,number,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,oscorer,starttime
BAL199104080,CHA,BAL,BAL11,1991/04/08,0,day,true,evanj902,kimbs901,mcdos901,deflp901,STATS Inc.,,STATS Inc.,park,pitches,89,tolf,8,unknown,none,cloudy,155,50213,mcdoj001,ballj002,,,
BAL199104100,CHA,BAL,BAL11,1991/04/10,0,night,true,denkd901,mccol901,merrd901,mcclt901,STATS Inc.,,STATS Inc.,park,pitches,71,ltor,22,unknown,none,sunny,177,24973,hibbg001,mesaj001,thigb001,,
BAL199104190,TEX,BAL,BAL11,1991/04/19,0,night,true,welkt901,scotd901,evanj901,morrd901,STATS Inc.,,STATS Inc.,park,pitches,51,tolf,12,unknown,none,cloudy,175,21834,robij002,rogek001,,,
BAL199104200,TEX,BAL,BAL11,1991/04/20,0,day,true,scotd901,evanj901,morrd901,welkt901,STATS Inc.,,STATS Inc.,park,pitches,49,tolf,11,unknown,none,overcast,186,22448,ryann001,mesaj001,russj001,,
BAL199104260,MIL,BAL,BAL11,1991/04/26,0,night,true,reedr901,brinj901,cousd901,roe-r901,STATS Inc.,,STATS Inc.,park,pitches,73,tocf,5,unknown,none,cloudy,196,28657,holmd001,mesaj001,nunee001,,
BAL199104270,MIL,BAL,BAL11,1991/04/27,0,night,true,brinj901,cousd901,roe-r901,reedr901,STATS Inc.,,STATS Inc.,park,pitches,79,rtol,9,unknown,none,cloudy,184,31488,augud001,robij002,,,
BAL199104280,MIL,BAL,BAL11,1991/04/28,0,day,true,cousd901,roe-r901,reedr901,brinj901,STATS Inc.,,STATS Inc.,park,pitches,73,rtol,10,unknown,none,cloudy,172,32989,milab001,holmd001,olsog001,,
BAL199104290,SEA,BAL,BAL11,1991/04/29,0,night,true,koscg901,kaisk901,meric901,barnl901,STATS Inc.,,STATS Inc.,park,pitches,63,rtol,8,unknown,none,cloudy,165,18892,delur001,johnd001,,,
BAL199104300,SEA,BAL,BAL11,1991/04/30,0,night,true,kaisk901,meric901,barnl901,koscg901,STATS Inc.,,STATS Inc.,park,pitches,75,tolf,7,unknown,none,cloudy,168,18743,hanse001,ballj002,swanr001,,
BAL199105010,SEA,BAL,BAL11,1991/05/01,0,night,true,meric901,barnl901,koscg901,kaisk901,STATS Inc.,,STATS Inc.,park,pitches,81,tolf,18,unknown,none,cloudy,181,19918,mesaj001,johnr005,olsog001,,
BAL199105140,OAK,BAL,BAL11,1991/05/14,0,night,true,scotd901,evanj901,morrd901,welkt901,STATS Inc.,,STATS Inc.,park,pitches,82,ltor,12,unknown,none,cloudy,202,24006,robij002,slusj001,,,
BAL199105150,OAK,BAL,BAL11,1991/05/15,0,night,true,evanj901,morrd901,welkt901,scotd901,STATS Inc.,,STATS Inc.,park,pitches,87,rtol,15,unknown,none,cloudy,207,32596,welcb001,ballj002,ecked001,,
BAL199105160,OAK,BAL,BAL11,1991/05/16,0,night,true,morrd901,welkt901,scotd901,evanj901,STATS Inc.,,STATS Inc.,park,pitches,86,tocf,12,unknown,none,cloudy,211,32414,klinj001,mesaj001,,,
BAL199105170,CAL,BAL,BAL11,1991/05/17,0,night,true,reilm901,younl901,garcr901,pales901,STATS Inc.,,STATS Inc.,park,pitches,77,torf,6,unknown,none,cloudy,180,34209,mcdob001,lewis001,,,
BAL199105180,CAL,BAL,BAL11,1991/05/18,0,night,true,younl901,garcr901,pales901,reilm901,STATS Inc.,,STATS Inc.,park,pitches,65,rtol,17,unknown,none,cloudy,210,31728,finlc001,willm004,harvb001,,
BAL199105190,CAL,BAL,BAL11,1991/05/19,0,day,true,garcr901,pales901,reilm901,younl901,STATS Inc.,,STATS Inc.,park,pitches,61,tolf,11,unknown,none,cloudy,181,36225,mccak001,ballj002,,,
BAL199105240,NYA,BAL,BAL11,1991/05/24,0,night,true,johnm901,tscht901,cobld901,shulj901,STATS Inc.,,STATS Inc.,park,pitches,88,torf,17,unknown,none,cloudy,187,30436,sands001,robij002,,,
BAL199105250,NYA,BAL,BAL11,1991/05/25,0,night,true,tscht901,cobld901,shulj901,johnm901,STATS Inc.,,STATS Inc.,park,pitches,94,ltor,13,unknown,none,cloudy,200,36459,farrs001,flanm001,guetl001,,
BAL199105260,NYA,BAL,BAL11,1991/05/26,0,day,true,cobld901,shulj901,johnm901,tscht901,STATS Inc.,,STATS Inc.,park,pitches,93,tocf,5,unknown,none,sunny,257,39259,habyj001,flanm001,cadag001,,
BAL199105270,CLE,BAL,BAL11,1991/05/27,0,night,true,phild901,coont901,hendt901,hirsj901,STATS Inc.,,STATS Inc.,park,pitches,93,tocf,17,unknown,none,cloudy,167,23338,candt001,milab001,hills001,,
