game_id,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,oscorer
MIL199304120,CAL,MIL,MIL05,1993/04/12,0,1:05,day,true,clara901,morrd901,barnl901,koscg901,pitches,45,torf,10,dry,none,overcast,197,53621,finlc001,eldrc001,valej001,,
MIL199304140,CAL,MIL,MIL05,1993/04/14,0,6:05,night,true,morrd901,barnl901,koscg901,clara901,pitches,41,torf,21,soaked,none,night,201,7948,sands001,orosj001,,,
MIL199304170,OAK,MIL,MIL05,1993/04/17,0,1:05,day,true,joycj901,denkd901,shulj901,tscht901,pitches,44,tocf,8,dry,none,overcast,138,16272,wegmb001,welcb001,,,
MIL199304180,OAK,MIL,MIL05,1993/04/18,0,1:05,day,true,denkd901,shulj901,tscht901,joycj901,pitches,57,rtol,20,dry,none,cloudy,144,13927,eldrc001,hills001,,,
MIL199304230,TEX,MIL,MIL05,1993/04/23,0,6:07,night,true,clara901,morrd901,barnl901,koscg901,pitches,50,fromcf,-1,wet,none,night,138,14778,eldrc001,browk001,orosj001,,
MIL199304240,TEX,MIL,MIL05,1993/04/24,0,1:07,day,true,morrd901,barnl901,koscg901,clara901,pitches,73,ltor,28,dry,none,sunny,190,15928,leibc001,manzj001,,,
MIL199304250,TEX,MIL,MIL05,1993/04/25,0,1:05,day,true,barnl901,koscg901,clara901,morrd901,pitches,58,fromlf,8,dry,none,cloudy,153,14182,rogek001,navaj001,,,
MIL199304260,MIN,MIL,MIL05,1993/04/26,0,6:07,night,true,evanj901,mccol901,hendt901,craft901,pitches,47,torf,9,dry,none,sunny,171,12311,boner001,tapak001,,,
MIL199304270,MIN,MIL,MIL05,1993/04/27,0,1:05,day,true,mccol901,hendt901,craft901,evanj901,pitches,53,fromrf,17,wet,drizzle,cloudy,161,10344,wegmb001,deshj001,henrd002,,
MIL199305040,CHA,MIL,MIL05,1993/05/04,0,7:06,night,true,hirsj901,welkt901,cobld901,merrd901,pitches,56,torf,9,wet,none,night,152,13746,boddm001,mccak001,,,
MIL199305050,CHA,MIL,MIL05,1993/05/05,0,1:06,day,true,welkt901,cobld901,merrd901,hirsj901,pitches,65,ltor,9,dry,none,cloudy,165,16148,radis001,orosj001,hernr001,,
MIL199305070,BOS,MIL,MIL05,1993/05/07,0,7:06,night,true,onorb901,kaisk901,johnm901,mckej901,pitches,61,fromcf,8,dry,none,night,126,15058,darwd001,wegmb001,russj001,,
MIL199305080,BOS,MIL,MIL05,1993/05/08,0,2:06,day,true,kaisk901,johnm901,mckej901,onorb901,pitches,73,fromrf,13,dry,none,sunny,161,25150,eldrc001,quanp001,henrd002,,
MIL199305090,BOS,MIL,MIL05,1993/05/09,0,1:05,day,true,johnm901,mckej901,onorb901,kaisk901,pitches,75,rtol,9,dry,none,cloudy,139,20398,boddm001,heskj001,,,
MIL199305140,CLE,MIL,MIL05,1993/05/14,0,7:07,night,true,cousd901,reedr901,mcclt901,brinj901,pitches,76,tolf,16,dry,none,night,148,14633,boddm001,younc002,henrd002,,
MIL199305150,CLE,MIL,MIL05,1993/05/15,0,1:05,day,true,reedr901,mcclt901,brinj901,cousd901,pitches,62,tolf,20,dry,none,sunny,199,31171,cookd001,boner001,,,
MIL199305160,CLE,MIL,MIL05,1993/05/16,0,1:05,day,true,mcclt901,brinj901,cousd901,reedr901,pitches,59,fromcf,13,unknown,unknown,unknown,176,20028,navaj001,bielm001,henrd002,,
MIL199305180,DET,MIL,MIL05,1993/05/18,0,7:05,night,true,johnm901,hicke901,mckej901,voltv901,pitches,52,ltor,13,wet,none,night,180,13369,leitm001,eldrc001,,,
MIL199305190,DET,MIL,MIL05,1993/05/19,0,7:06,night,true,hicke901,mckej901,voltv901,johnm901,pitches,57,rtol,8,soaked,rain,night,203,12751,dohej001,boddm001,hennm001,,
MIL199305200,DET,MIL,MIL05,1993/05/20,0,1:06,day,true,mckej901,kaisk901,johnm901,hicke901,pitches,54,fromcf,8,dry,none,cloudy,189,21424,welld001,wegmb001,,,
MIL199305280,KCA,MIL,MIL05,1993/05/28,0,7:07,night,true,shulj901,hicke901,craft901,denkd901,pitches,49,fromlf,8,wet,drizzle,night,173,19201,eldrc001,appik001,,,
MIL199305290,KCA,MIL,MIL05,1993/05/29,0,7:06,night,true,hicke901,craft901,denkd901,shulj901,pitches,60,ltor,7,dry,none,night,254,26308,sampb002,austj001,montj002,,
