game_id,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,oscorer,gwrbi
HOU199404040,MON,HOU,HOU02,1994/04/04,0,1:38,day,false,mcshj901,monte901,willc901,darlg901,pitches,0,unknown,-1,dry,none,dome,237,43440,edent001,shawj001,,,
HOU199404050,MON,HOU,HOU02,1994/04/05,0,7:09,night,false,monte901,willc901,darlg901,mcshj901,pitches,0,unknown,-1,dry,none,dome,188,16227,hillk001,drabd001,,,
HOU199404060,MON,HOU,HOU02,1994/04/06,0,7:05,night,false,willc901,darlg901,mcshj901,monte901,pitches,0,unknown,-1,dry,none,dome,179,17180,ruetk001,kiled001,,,
HOU199404080,NYN,HOU,HOU02,1994/04/08,0,7:07,night,false,laynj901,rungp901,demud901,hallt901,pitches,0,unknown,-1,dry,none,dome,174,31522,swing001,hille001,willm002,,
HOU199404090,NYN,HOU,HOU02,1994/04/09,0,7:07,night,false,rungp901,demud901,hallt901,laynj901,pitches,0,unknown,-1,dry,none,dome,152,23872,sabeb001,harnp001,,,
HOU199404100,NYN,HOU,HOU02,1994/04/10,0,1:05,day,false,demud901,hallt901,laynj901,rungp901,pitches,0,unknown,-1,dry,none,dome,171,17295,drabd001,smitp001,,,
HOU199404250,PIT,HOU,HOU02,1994/04/25,0,7:06,night,false,kellj901,grege901,gormb901,ripps901,pitches,0,unknown,-1,dry,none,dome,144,16007,harnp001,neagd001,,,
HOU199404260,PIT,HOU,HOU02,1994/04/26,0,7:07,night,false,grege901,gormb901,ripps901,kellj901,pitches,0,unknown,-1,dry,none,dome,200,23151,dewem001,jonet003,whitr002,,
HOU199404270,CHN,HOU,HOU02,1994/04/27,0,7:06,night,false,gormb901,ripps901,kellj901,grege901,pitches,0,unknown,-1,dry,none,dome,174,15456,reyns001,bautj001,,,
HOU199404280,CHN,HOU,HOU02,1994/04/28,0,1:35,day,false,ripps901,kellj901,grege901,gormb901,pitches,0,unknown,-1,dry,none,dome,188,13966,crimc001,willm002,myerr001,,
HOU199404290,SLN,HOU,HOU02,1994/04/29,0,7:06,night,false,hirsm901,relic901,herna901,wendh901,pitches,0,unknown,-1,dry,none,dome,178,36090,hampm001,rodrr004,,,
HOU199404300,SLN,HOU,HOU02,1994/04/30,0,7:05,night,false,relic901,herna901,wendh901,hirsm901,pitches,0,unknown,-1,dry,none,dome,190,49927,harnp001,watsa001,,,
HOU199405010,SLN,HOU,HOU02,1994/05/01,0,1:38,day,false,herna901,wendh901,hirsm901,relic901,pitches,0,unknown,-1,dry,none,dome,177,20028,tewkb001,hampm001,murpr001,,
HOU199405130,COL,HOU,HOU02,1994/05/13,0,7:05,night,false,quicj901,davib902,hohnb901,riekr901,pitches,0,unknown,-1,dry,none,dome,160,29962,drabd001,freem001,,,
HOU199405140,COL,HOU,HOU02,1994/05/14,0,7:06,night,false,davib902,hohnb901,riekr901,quicj901,pitches,0,unknown,-1,unknown,unknown,dome,181,23037,niedd001,kiled001,ruffb001,,
HOU199405150,COL,HOU,HOU02,1994/05/15,0,1:35,day,false,hohnb901,riekr901,quicj901,davib902,pitches,0,unknown,-1,unknown,unknown,dome,162,21004,reyna001,swing001,,,
HOU199405160,SFN,HOU,HOU02,1994/05/16,0,7:08,night,false,hirsm901,vanol901,relic901,marsr901,pitches,0,unknown,-1,dry,none,dome,175,13179,vered001,hickb001,willm002,,
HOU199405170,SFN,HOU,HOU02,1994/05/17,0,7:08,night,false,vanol901,relic901,marsr901,hirsm901,pitches,0,unknown,-1,dry,none,dome,163,17458,swifb001,harnp001,beckr001,,
HOU199405180,SFN,HOU,HOU02,1994/05/18,0,7:07,night,false,relic901,marsr901,hirsm901,vanol901,pitches,0,unknown,-1,dry,none,dome,171,15098,drabd001,portm001,hudej001,,
HOU199405190,SDN,HOU,HOU02,1994/05/19,0,7:05,night,false,laynj901,kellj901,demud901,hallt901,pitches,0,unknown,-1,dry,none,night,202,12115,edent001,martj002,,,
HOU199405200,SDN,HOU,HOU02,1994/05/20,0,7:07,night,false,kellj901,demud901,hallt901,laynj901,pitches,0,unknown,-1,dry,none,dome,141,28305,swing001,ashba002,hudej001,,
HOU199405210,SDN,HOU,HOU02,1994/05/21,0,7:05,night,false,demud901,hallt901,laynj901,kellj901,pitches,0,unknown,-1,unknown,unknown,dome,162,21719,reyns001,benea001,willm002,,
HOU199405220,SDN,HOU,HOU02,1994/05/22,0,1:38,day,false,hallt901,laynj901,kellj901,demud901,pitches,0,unknown,-1,dry,none,dome,187,20257,martp002,willm002,hofft001,,
HOU199405300,FLO,HOU,HOU02,1994/05/30,0,1:05,day,false,ripps901,tatat901,grege901,herna901,pitches,0,unknown,-1,dry,none,dome,180,29854,edent001,nen-r001,,,
HOU199405310,FLO,HOU,HOU02,1994/05/31,0,7:07,night,false,tatat901,grege901,herna901,ripps901,pitches,0,unknown,-1,dry,none,dome,147,14173,vered001,lewir001,hudej001,,
HOU199406010,FLO,HOU,HOU02,1994/06/01,0,7:07,night,false,grege901,herna901,ripps901,tatat901,pitches,0,unknown,-1,dry,none,dome,169,17055,weatd001,reyns001,nen-r001,,
HOU199406030,PHI,HOU,HOU02,1994/06/03,0,7:05,night,false,crawj901,wintm901,kellj901,froeb901,pitches,0,unknown,-1,dry,none,dome,162,31280,willb001,westd001,hudej001,,
HOU199406040,PHI,HOU,HOU02,1994/06/04,0,7:05,night,false,wintm901,kellj901,froeb901,crawj901,pitches,0,unknown,-1,dry,none,dome,149,23455,drabd001,munob001,,,
HOU199406050,PHI,HOU,HOU02,1994/06/05,0,1:36,day,false,kellj901,froeb901,crawj901,wintm901,pitches,0,unknown,-1,dry,none,dome,148,20694,kiled001,willm005,hudej001,,
HOU199406100,ATL,HOU,HOU02,1994/06/10,0,7:06,night,false,willc901,mcshj901,monte901,darlg901,pitches,0,unknown,-1,unknown,unknown,dome,158,38435,smolj001,drabd001,mcmig001,,
