game_id,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,oscorer,gametype,umplf,umprf
MON199505020,NYN,MON,MON02,1995/05/02,0,7:55,night,false,janud901,willb902,florj901,holom901,pitches,60,unknown,-1,unknown,unknown,unknown,210,46515,fassj001,jacoj001,rojam001,,,,
MON199505030,NYN,MON,MON02,1995/05/03,0,7:38,night,false,quicj901,davib902,ripps901,hohnb901,none,0,unknown,-1,dry,none,dome,145,13923,martp001,sabeb001,rojam001,,,,
MON199505040,NYN,MON,MON02,1995/05/04,0,7:37,night,false,davib902,ripps901,hohnb901,quicj901,pitches,0,unknown,-1,dry,none,dome,184,12993,franj001,shawj001,,,,,
MON199505050,FLO,MON,MON02,1995/05/05,0,7:41,night,false,demud901,rapue901,laynj901,rungp901,pitches,0,unknown,-1,dry,none,dome,177,21406,burkj001,hereg001,matht001,,,,
MON199505060,FLO,MON,MON02,1995/05/06,0,1:41,day,false,rapue901,laynj901,rungp901,demud901,pitches,0,unknown,-1,dry,none,dome,174,31400,weatd001,ruetk001,,,,,
MON199505070,FLO,MON,MON02,1995/05/07,0,1:36,day,false,laynj901,rungp901,demud901,rapue901,pitches,0,unknown,-1,dry,none,dome,184,23197,fassj001,gardm001,,,,,
MON199505080,FLO,MON,MON02,1995/05/08,0,7:09,night,false,rungp901,demud901,bellw901,laynj901,none,0,unknown,-1,dry,none,dome,156,12018,rojam001,perey001,,,,,
MON199505160,CIN,MON,MON02,1995/05/16,0,7:27,night,false,mcshj901,monte901,willc901,riekr901,none,0,unknown,-1,dry,none,dome,178,15969,perec001,jarvk001,rojam001,,,,
MON199505170,CIN,MON,MON02,1995/05/17,0,7:37,night,false,monte901,willc901,riekr901,mcshj901,pitches,0,unknown,-1,dry,none,dome,184,15047,rijoj001,fassj001,carrh001,,,,
MON199505220,FLO,MON,MON02,1995/05/22,0,7:35,night,false,davib902,hohnb901,nauep901,potts901,pitches,0,unknown,-1,dry,none,dome,175,12716,perec001,weatd001,rojam001,,,,
MON199505230,SDN,MON,MON02,1995/05/23,0,7:40,night,false,hohnb901,nauep901,potts901,davib902,pitches,0,unknown,-1,dry,none,dome,177,13439,fassj001,ashba002,rojam001,,,,
MON199505240,SDN,MON,MON02,1995/05/24,0,7:38,night,false,nauep901,potts901,davib902,hohnb901,none,0,unknown,-1,dry,none,dome,157,16549,shawj001,berua001,aquil001,,,,
MON199505250,SDN,MON,MON02,1995/05/25,0,7:35,night,false,potts901,davib902,hohnb901,nauep901,pitches,65,unknown,-1,dry,none,dome,173,13484,sands002,henrb001,hofft001,,,,
MON199505260,LAN,MON,MON02,1995/05/26,0,7:35,night,false,poncl901,darlg901,hirsm901,pullf901,pitches,65,unknown,-1,dry,none,dome,169,24314,hereg001,martr002,scott002,,,,
MON199505270,LAN,MON,MON02,1995/05/27,0,1:40,day,false,darlg901,hirsm901,pullf901,poncl901,pitches,65,unknown,-1,dry,none,dome,144,24503,perec001,valdi001,rojam001,,,,
MON199505280,LAN,MON,MON02,1995/05/28,0,8:05,night,false,hirsm901,pullf901,poncl901,darlg901,pitches,65,unknown,-1,dry,none,dome,185,16588,fassj001,nomoh001,scott002,,,,
MON199505290,SFN,MON,MON02,1995/05/29,0,7:39,night,false,froeb901,herna901,vanol901,hallt901,pitches,72,unknown,-1,dry,none,dome,194,14293,burbd001,rojam001,,,,,
MON199505300,SFN,MON,MON02,1995/05/30,0,7:39,night,false,herna901,vanol901,hallt901,froeb901,pitches,0,unknown,-1,dry,none,dome,213,14257,bautj001,shawj001,beckr001,,,,
MON199505310,SFN,MON,MON02,1995/05/31,0,7:35,night,false,vanol901,froeb901,mealj901,herna901,pitches,0,unknown,-1,dry,none,dome,152,15913,hereg001,mulht001,rojam001,,,,
MON199506010,SLN,MON,MON02,1995/06/01,0,1:39,day,false,froeb901,mealj901,herna901,vanol901,none,0,unknown,-1,dry,none,dome,162,12734,perec001,watsa001,shawj001,,,,
MON199506130,ATL,MON,MON02,1995/06/13,0,7:38,night,false,marsr901,relic901,poncl901,wendh901,pitches,68,unknown,-1,dry,none,dome,189,25492,perec001,merck001,,,,,
MON199506140,ATL,MON,MON02,1995/06/14,0,7:37,night,false,relic901,poncl901,wendh901,marsr901,pitches,68,unknown,-1,dry,none,dome,172,22339,smolj001,fassj001,,,,,
MON199506150,ATL,MON,MON02,1995/06/15,0,7:35,night,false,poncl901,wendh901,marsr901,relic901,pitches,68,unknown,-1,dry,none,dome,145,25013,maddg002,martp001,,,,,
MON199506190,HOU,MON,MON02,1995/06/19,0,7:38,night,false,tatat901,wintm901,davig901,grege901,pitches,0,unknown,-1,dry,none,dome,198,14320,kiled001,fassj001,jonet003,,,,
MON199506200,HOU,MON,MON02,1995/06/20,0,7:39,night,false,wintm901,davig901,grege901,tatat901,pitches,0,unknown,-1,dry,none,dome,189,14837,reyns001,martp001,,,,,
MON199506210,HOU,MON,MON02,1995/06/21,0,7:07,night,false,davig901,grege901,tatat901,wintm901,pitches,0,unknown,-1,dry,none,dome,164,18720,swing001,henrb001,jonet003,,,,
MON199506230,PIT,MON,MON02,1995/06/23,0,7:35,night,false,pullf901,westj901,darlg901,vanol901,pitches,0,unknown,-1,dry,none,dome,123,27367,neagd001,martp001,,,,,
MON199506240,PIT,MON,MON02,1995/06/24,0,5:35,night,false,westj901,darlg901,vanol901,pullf901,pitches,0,unknown,-1,dry,none,dome,148,25187,perec001,ericj001,,,,,
MON199506250,PIT,MON,MON02,1995/06/25,0,1:38,day,false,darlg901,vanol901,pullf901,westj901,pitches,0,unknown,-1,dry,none,dome,149,27850,loaie001,fassj001,miced001,,,,
MON199507120,CHN,MON,MON02,1995/07/12,0,7:36,night,false,kellj901,riekr901,marsr901,relic901,pitches,0,unknown,-1,dry,none,dome,180,14229,urbiu001,castf001,rojam001,,,,
MON199507130,PHI,MON,MON02,1995/07/13,0,7:40,night,false,barrm901,marsr901,relic901,kellj901,pitches,0,unknown,-1,dry,none,dome,189,16991,schic002,fassj001,sloch001,,,,
MON199507140,PHI,MON,MON02,1995/07/14,0,7:35,night,false,marsr901,relic901,kellj901,barrm901,pitches,0,unknown,0,dry,none,dome,155,15921,martp001,greet002,,,,,
MON199507150,PHI,MON,MON02,1995/07/15,0,8:06,night,false,relic901,kellj901,barrm901,marsr901,pitches,0,unknown,-1,dry,none,dome,170,30100,henrb001,quanp001,rojam001,,,,
MON199507160,PHI,MON,MON02,1995/07/16,0,1:38,day,false,kellj901,barrm901,marsr901,relic901,pitches,0,unknown,-1,dry,none,dome,161,22345,perec001,ferns001,rojam001,,,,
MON199507170,SLN,MON,MON02,1995/07/17,0,8:07,night,false,barrm901,crawj901,herna901,hallt901,pitches,0,unknown,-1,dry,none,dome,195,15861,delur001,shawj001,henkt001,,,,
MON199507180,SLN,MON,MON02,1995/07/18,0,7:37,night,false,crawj901,herna901,hallt901,barrm901,pitches,0,unknown,-1,dry,none,dome,155,15844,fassj001,urbat001,rojam001,,,,
MON199507190,CHN,MON,MON02,1995/07/19,0,7:38,night,false,herna901,hallt901,vanol901,crawj901,pitches,0,unknown,-1,dry,none,dome,191,14867,martp001,bullj001,shawj001,,,,
MON199507200,CHN,MON,MON02,1995/07/20,0,7:35,night,false,hallt901,vanol901,crawj901,herna901,pitches,75,unknown,0,dry,none,dome,135,17942,henrb001,navaj001,,,,,
MON199507270,SLN,MON,MON02,1995/07/27,0,1:37,day,false,grege901,davig901,tatat901,wintm901,none,0,unknown,-1,dry,none,dome,133,15846,perec001,jackd001,rojam001,,,,
