game_id,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,translator,oscorer,gwrbi
NYN199604010,SLN,NYN,NYC17,1996/04/01,0,1:45,day,false,wendh901,marsr901,wintm901,gormb901,pitches,47,unknown,-1,damp,drizzle,overcast,172,42060,dipoj001,fosst001,franj001,,,
NYN199604030,SLN,NYN,NYC17,1996/04/03,0,1:41,day,false,marsr901,wintm901,gormb901,wendh901,pitches,52,ltor,10,dry,none,cloudy,153,13323,stott001,persr001,ecked001,,,
NYN199604040,SLN,NYN,NYC17,1996/04/04,0,1:40,day,false,wintm901,gormb901,wendh901,marsr901,pitches,50,unknown,0,dry,none,sunny,208,15507,franj001,ecked001,,,,
NYN199604050,PIT,NYN,NYC17,1996/04/05,0,7:41,night,false,hirsm901,froeb901,monte901,willc901,pitches,48,ltor,10,dry,none,night,172,16088,smitz001,mlicd001,,,,
NYN199604060,PIT,NYN,NYC17,1996/04/06,0,1:40,day,false,froeb901,monte901,willc901,hirsm901,pitches,0,unknown,-1,dry,none,overcast,161,20756,darwd001,clarm002,,,,
NYN199604160,HOU,NYN,NYC17,1996/04/16,0,7:41,night,false,crawj901,monte901,bellw901,hallt901,pitches,54,fromrf,15,damp,showers,night,197,13795,reyns001,isrij001,jonet003,,,
NYN199604170,HOU,NYN,NYC17,1996/04/17,0,1:42,day,false,monte901,bellw901,hallt901,crawj901,pitches,48,fromcf,15,wet,none,overcast,175,12065,kiled001,wilsp001,jonet003,,,
NYN199604190,COL,NYN,NYC17,1996/04/19,0,7:42,night,false,danlk901,tatat901,davig901,rapue901,pitches,62,rtol,12,dry,snow,night,170,16225,ritzk001,harnp001,leskc001,,,
NYN199604200,COL,NYN,NYC17,1996/04/20,0,1:40,day,false,tatat901,davig901,rapue901,danlk901,pitches,65,tolf,14,dry,none,cloudy,160,20847,franj001,habyj001,,,,
NYN199604210,COL,NYN,NYC17,1996/04/21,0,1:42,day,false,davig901,rapue901,danlk901,tatat901,pitches,78,ltor,16,dry,none,cloudy,176,22737,leskc001,franj001,,,,
NYN199604220,CIN,NYN,NYC17,1996/04/22,0,7:40,night,false,rapue901,hohnb901,tatat901,riekr901,pitches,67,fromrf,12,dry,none,night,146,14568,wilsp001,portm001,,,,
NYN199604230,CIN,NYN,NYC17,1996/04/23,0,7:40,night,false,hohnb901,tatat901,riekr901,rapue901,pitches,67,tocf,14,damp,showers,night,171,14357,henrd002,shawj001,,,,
NYN199604290,MON,NYN,NYC17,1996/04/29,0,9:20,night,false,drecb901,barrm901,darlg901,danlk901,pitches,55,tocf,8,soaked,drizzle,night,169,14011,harnp001,fassj001,franj001,,,
NYN199605011,MON,NYN,NYC17,1996/05/01,1,5:11,night,false,quicj901,demud901,darlg901,relic901,pitches,63,tocf,8,dry,none,night,136,0,martp001,clarm002,,,,
NYN199605012,MON,NYN,NYC17,1996/05/01,2,7:58,night,false,demud901,darlg901,relic901,quicj901,pitches,60,tolf,15,dry,none,night,177,16937,isrij001,alvat001,,,,
NYN199605100,CHN,NYN,NYC17,1996/05/10,0,7:41,night,false,davib902,bonig901,poncl901,pullf901,pitches,69,rtol,10,dry,none,night,133,16687,joneb003,castf001,franj001,,,
NYN199605110,CHN,NYN,NYC17,1996/05/11,0,1:43,day,false,bonig901,poncl901,pullf901,davib902,none,79,torf,12,dry,none,sunny,204,23237,henrd002,joned001,,"""""",,
NYN199605120,CHN,NYN,NYC17,1996/05/12,0,1:39,day,false,poncl901,pullf901,davib902,bonig901,pitches,52,ltor,29,dry,none,cloudy,120,19122,bullj001,clarm002,,,,
NYN199605240,SDN,NYN,NYC17,1996/05/24,0,7:41,night,false,laynj901,kellj901,rungp901,herna901,pitches,73,tolf,16,dry,none,night,170,24751,valef001,isrij001,,,,
NYN199605250,SDN,NYN,NYC17,1996/05/25,0,1:41,day,false,kellj901,rungp901,herna901,laynj901,pitches,64,ltor,6,dry,none,sunny,196,21057,ashba002,wilsp001,,,,
NYN199605260,SDN,NYN,NYC17,1996/05/26,0,1:41,day,false,rungp901,herna901,laynj901,kellj901,pitches,63,rtol,7,dry,none,cloudy,142,20405,joneb003,bergs001,franj001,,,
NYN199605280,SFN,NYN,NYC17,1996/05/28,0,7:41,night,false,davib902,poncl901,bonig901,pullf901,pitches,61,tolf,8,dry,none,night,145,15733,clarm002,leitm001,henrd002,,,
NYN199605290,SFN,NYN,NYC17,1996/05/29,0,7:42,night,false,poncl901,bonig901,pullf901,davib902,pitches,61,tolf,8,dry,none,night,137,15578,vanlb001,isrij001,beckr001,,,
NYN199605300,SFN,NYN,NYC17,1996/05/30,0,1:42,day,false,bonig901,pullf901,davib902,poncl901,pitches,61,torf,10,dry,none,sunny,129,15781,wilsp001,watsa001,franj001,,,
NYN199605310,LAN,NYN,NYC17,1996/05/31,0,7:43,night,false,hirsm901,froeb901,willc901,ripps901,pitches,76,fromlf,8,dry,none,night,165,19793,martr002,joneb003,,,,
