game_id,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,translator,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,inputtime,oscorer
DET199704070,MIN,DET,DET04,1997/04/07,0,1:07,day,true,denkd901,reedr901,tscht901,hicke901,"""""",pitches,36,torf,25,dry,none,cloudy,175,42749,thomj003,rodrf001,,,
DET199704090,MIN,DET,DET04,1997/04/09,0,1:05,day,true,reedr901,tscht901,hicke901,denkd901,"""""",pitches,30,ltor,7,dry,none,sunny,201,6477,cummj001,ritct001,,,
DET199704100,MIN,DET,DET04,1997/04/10,0,1:04,day,true,tscht901,hicke901,coope901,reedr901,"""""",pitches,39,torf,10,dry,none,sunny,191,6381,aldrs001,blaiw001,,,
DET199704110,CHA,DET,DET04,1997/04/11,0,1:05,day,true,garcr901,fordd901,reilm901,younl901,"""""",pitches,41,tolf,8,dry,none,cloudy,184,7598,olivo001,drabd001,jonet003,,
DET199704131,CHA,DET,DET04,1997/04/13,1,1:05,day,true,fordd901,reilm901,younl901,garcr901,"""""",pitches,37,fromlf,13,damp,snow,sunny,257,0,hernr001,liraf001,,,
DET199704132,CHA,DET,DET04,1997/04/13,2,5:56,night,true,reilm901,younl901,garcr901,fordd901,"""""",pitches,43,torf,13,damp,drizzle,night,169,10818,sagea001,hernr001,,,
DET199704160,SEA,DET,DET04,1997/04/16,0,7:04,night,true,scotd901,phild901,roe-r901,merrd901,"""""",pitches,56,fromlf,10,damp,drizzle,night,172,8090,johnr005,sagea001,,,
DET199704170,SEA,DET,DET04,1997/04/17,0,1:07,day,true,phild901,roe-r901,merrd901,scotd901,"""""",pitches,37,fromlf,13,wet,snow,cloudy,221,8973,fassj001,bautj001,charn001,,
DET199704180,OAK,DET,DET04,1997/04/18,0,1:05,day,true,meric901,evanj901,mccol901,craft901,"""""",pitches,44,fromlf,15,dry,none,sunny,229,7748,groob001,myerm001,,,
DET199704190,OAK,DET,DET04,1997/04/19,0,1:05,day,true,evanj901,mccol901,craft901,meric901,"""""",pitches,47,tolf,1,dry,none,sunny,171,10592,adamw001,thomj003,,,
DET199704200,OAK,DET,DET04,1997/04/20,0,1:05,day,true,mccol901,craft901,meric901,evanj901,"""""",pitches,49,fromrf,5,dry,none,cloudy,154,9281,moehb001,karss001,,,
