game_id,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,translator,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,oscorer,gametype,umplf,umprf
SLN199803310,LAN,SLN,STL09,1998/03/31,0,3:10,day,false,wendh901,laynj901,riekr901,holbs901,,pitches,60,rtol,15,dry,none,cloudy,172,47972,stott001,martr002,,,,,
SLN199804020,LAN,SLN,STL09,1998/04/02,0,12:43,day,false,laynj901,riekr901,holbs901,wendh901,,pitches,64,rtol,10,dry,none,sunny,246,27414,acevj001,lankf001,,,,,
SLN199804030,SDN,SLN,STL09,1998/04/03,0,7:12,night,false,grege901,duncr901,buchw901,fugej901,,pitches,44,ltor,21,dry,none,cloudy,216,26760,langm001,aybam001,,,,,
SLN199804040,SDN,SLN,STL09,1998/04/04,0,1:15,day,false,hirsm901,vanol901,froeb901,grege901,,pitches,49,ltor,14,dry,none,cloudy,187,34292,merck001,smitp001,bottk001,,,,
SLN199804050,SDN,SLN,STL09,1998/04/05,0,1:12,day,false,vanol901,froeb901,grege901,hirsm901,,pitches,60,rtol,5,dry,none,sunny,170,35499,hofft001,loopb001,miced001,,,,
SLN199804140,ARI,SLN,STL09,1998/04/14,0,7:11,night,false,davig901,bellw901,mealj901,tatat901,,pitches,75,ltor,5,dry,none,sunny,171,31477,busbm001,sodoc001,,,,,
SLN199804161,ARI,SLN,STL09,1998/04/16,1,12:43,day,false,bellw901,mealj901,tatat901,davig901,,pitches,55,rtol,14,dry,none,cloudy,150,0,stott001,adamj001,branj001,,,,
SLN199804162,ARI,SLN,STL09,1998/04/16,2,3:44,day,false,mealj901,tatat901,davig901,bellw901,,pitches,56,rtol,14,dry,none,cloudy,150,32039,benea001,osbod001,,,,,
SLN199804170,PHI,SLN,STL09,1998/04/17,0,7:12,night,false,pullf901,willc901,rapue901,drecb901,,pitches,60,tocf,5,dry,none,night,171,33995,polic001,whitm002,bottk001,,,,
SLN199804180,PHI,SLN,STL09,1998/04/18,0,1:12,day,false,willc901,rapue901,drecb901,pullf901,,pitches,59,ltor,10,dry,none,cloudy,162,38848,aybam001,gracm002,branj001,,,,
SLN199804190,PHI,SLN,STL09,1998/04/19,0,1:10,day,false,rapue901,drecb901,pullf901,willc901,,pitches,66,tocf,8,dry,none,sunny,158,36819,merck001,beecm001,acevj001,,,,
SLN199804270,MON,SLN,STL09,1998/04/27,0,7:11,night,false,davig901,bellw901,mealj901,tatat901,,pitches,54,ltor,20,dry,none,cloudy,163,24548,osbod001,perec001,,,,,
SLN199804290,MON,SLN,STL09,1998/04/29,0,12:41,day,false,mealj901,tatat901,davig901,bellw901,,pitches,71,fromcf,16,dry,none,cloudy,186,29733,busbm001,klins002,,,,,
SLN199805110,MIL,SLN,STL09,1998/05/11,0,7:11,night,false,hirsm901,froeb901,grege901,vanol901,,pitches,64,tocf,10,dry,none,cloudy,141,34744,stott001,karls001,,,,,
SLN199805120,MIL,SLN,STL09,1998/05/12,0,7:10,night,false,froeb901,grege901,vanol901,hirsm901,,pitches,84,fromrf,14,dry,none,night,189,25680,busbm001,joned001,,,,,
SLN199805130,ATL,SLN,STL09,1998/05/13,0,6:37,night,false,grege901,vanol901,hirsm901,froeb901,,pitches,87,fromlf,8,dry,none,night,160,31532,glavt001,polic001,,,,,
SLN199805140,ATL,SLN,STL09,1998/05/14,0,7:10,night,false,vanol901,hirsm901,froeb901,grege901,,pitches,88,fromcf,15,dry,none,cloudy,177,32119,rockj001,acevj001,,,,,
SLN199805150,FLO,SLN,STL09,1998/05/15,0,7:10,night,false,poncl901,ripps901,wintm901,darlg901,,pitches,84,rtol,22,dry,none,cloudy,193,45451,meadb001,raggb001,powej001,,,,
SLN199805160,FLO,SLN,STL09,1998/05/16,0,7:11,night,false,ripps901,darlg901,poncl901,wintm901,,pitches,87,tocf,9,dry,none,night,152,41464,stott001,darev001,,,,,
SLN199805170,FLO,SLN,STL09,1998/05/17,0,1:10,day,false,darlg901,wintm901,ripps901,poncl901,,pitches,88,rtol,9,dry,none,sunny,169,41836,merck001,hammc001,,,,,
SLN199805180,FLO,SLN,STL09,1998/05/18,0,12:41,day,false,wintm901,poncl901,darlg901,ripps901,,pitches,87,rtol,20,dry,none,sunny,163,36820,sancj001,aybam001,,,,,
SLN199805220,SFN,SLN,STL09,1998/05/22,0,7:10,night,false,relic901,schrp901,monte901,demud901,,pitches,76,ltor,15,dry,none,cloudy,217,47549,kingc001,tavaj001,,,,,
SLN199805230,SFN,SLN,STL09,1998/05/23,0,7:17,night,false,schrp901,monte901,demud901,relic901,,pitches,73,ltor,10,dry,none,cloudy,202,39333,painl001,johnj006,kingc001,,,,
SLN199805240,SFN,SLN,STL09,1998/05/24,0,1:10,day,false,monte901,demud901,relic901,schrp901,,pitches,82,tolf,16,dry,none,cloudy,345,45864,poolj001,merck001,reeds001,,,,
SLN199805250,COL,SLN,STL09,1998/05/25,0,1:13,day,false,drecb901,pullf901,willc901,rapue901,,pitches,75,fromrf,8,dry,none,cloudy,180,42038,thomj005,busbm001,,,,,
SLN199805270,COL,SLN,STL09,1998/05/27,0,7:11,night,false,pullf901,willc901,rapue901,drecb901,,pitches,88,fromrf,5,dry,none,cloudy,150,34211,stott001,kiled001,branj001,,,,
SLN199805280,COL,SLN,STL09,1998/05/28,0,12:42,day,false,willc901,rapue901,drecb901,pullf901,,pitches,86,fromcf,8,dry,none,sunny,156,37989,merck001,wrigj001,kingc001,,,,
SLN199806050,SFN,SLN,STL09,1998/06/05,0,7:11,night,false,westj901,danlk901,kellj901,quicj901,,pitches,63,tocf,7,dry,none,cloudy,189,43239,herso001,bottk001,nen-r001,,,,
SLN199806060,SFN,SLN,STL09,1998/06/06,0,7:12,night,false,danlk901,kellj901,quicj901,westj901,,pitches,71,tocf,8,dry,none,cloudy,310,47333,rodrr004,lowes001,,,,,
SLN199806070,SFN,SLN,STL09,1998/06/07,0,1:11,day,false,danlk901,quicj901,westj901,kellj901,,pitches,76,tolf,13,dry,none,sunny,151,41576,gardm001,merck001,nen-r001,,,,
SLN199806190,ARI,SLN,STL09,1998/06/19,0,7:10,night,false,bellw901,mealj901,tatat901,davig901,,pitches,93,tolf,9,dry,none,night,141,44949,petkm001,blaiw001,,,,,
