game_id,visteam,hometeam,date,site,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,oscorer,gametype,umplf,umprf
MON199904080,NYN,MON,1999/04/08,MON02,0,7:13PM,night,false,nauep901,crawj901,grege901,gormb901,pitches,72,unknown,0,dry,none,dome,172,43918,batim001,herso001,urbiu001,,,,
MON199904090,NYN,MON,1999/04/09,MON02,0,7:05PM,night,false,crawj901,grege901,gormb901,nauep901,pitches,72,unknown,0,dry,none,dome,175,12386,yoshm001,thurm002,,,,,
MON199904100,NYN,MON,1999/04/10,MON02,0,2:05PM,day,false,grege901,gormb901,nauep901,crawj901,pitches,72,unknown,0,dry,none,dome,203,16173,cookd001,telfa001,franj001,,,,
MON199904110,NYN,MON,1999/04/11,MON02,0,1:37PM,day,false,gormb901,nauep901,crawj901,grege901,pitches,72,unknown,0,dry,none,dome,190,10366,watsa001,pavac001,franj001,,,,
MON199904130,MIL,MON,1999/04/13,MON02,0,7:08PM,night,false,davig901,laynj901,riekr901,drecb901,pitches,72,unknown,0,dry,none,dome,171,5589,woods001,vazqj001,,,,,
MON199904140,MIL,MON,1999/04/14,MON02,0,7:05PM,night,false,laynj901,riekr901,drecb901,davig901,pitches,72,unknown,0,dry,none,dome,160,6525,batim001,abboj001,,,,,
MON199904150,MIL,MON,1999/04/15,MON02,0,1:36PM,day,false,riekr901,drecb901,davig901,laynj901,pitches,72,unknown,0,dry,none,dome,186,5864,karls001,ayalb002,,,,,
MON199904230,PHI,MON,1999/04/23,MON02,0,7:10PM,night,false,wegnm901,froeb901,hirsm901,rapue901,pitches,72,unknown,0,dry,none,dome,167,8818,ogeac001,hermd001,,,,,
MON199904240,PHI,MON,1999/04/24,MON02,0,7:09PM,night,false,froeb901,hirsm901,rapue901,wegnm901,pitches,72,unknown,0,dry,none,dome,178,8212,gracm002,ayalb002,gomew001,,,,
MON199904250,PHI,MON,1999/04/25,MON02,0,1:37PM,day,false,hirsm901,rapue901,wegnm901,froeb901,pitches,72,unknown,0,dry,none,dome,163,9280,byrdp001,urbiu001,,,,,
MON199904270,SFN,MON,1999/04/27,MON02,0,7:09PM,night,false,rapue901,wendh902,hirsm901,wegnm901,pitches,72,unknown,0,dry,none,dome,191,5202,johnj006,klins002,nen-r001,,,,
MON199904280,SFN,MON,1999/04/28,MON02,0,7:07PM,night,false,wendh902,hirsm901,wegnm901,rapue901,pitches,72,unknown,0,dry,none,dome,162,4998,nathj001,hermd001,nen-r001,,,,
MON199904290,SFN,MON,1999/04/29,MON02,0,7:07PM,night,false,hirsm901,wegnm901,rapue901,wendh902,pitches,72,unknown,0,dry,none,dome,216,5253,ortir001,pavac001,nen-r001,,,,
MON199904300,SLN,MON,1999/04/30,MON02,0,7:08PM,night,false,monte901,wendh902,wintm901,danlk901,pitches,72,unknown,0,dry,none,dome,187,11170,urbiu001,acevj001,,,,,
MON199905010,SLN,MON,1999/05/01,MON02,0,7:09PM,night,false,wendh902,wintm901,danlk901,monte901,pitches,72,unknown,0,dry,none,dome,191,14511,osbod001,thurm002,mohlm001,,,,
MON199905020,SLN,MON,1999/05/02,MON02,0,1:38PM,day,false,wintm901,danlk901,monte901,wendh902,pitches,72,unknown,0,dry,none,dome,228,11610,acevj001,urbiu001,radis001,,,,
MON199905030,LAN,MON,1999/05/03,MON02,0,7:05PM,night,false,hohnb901,schrp901,tatat901,hallt901,pitches,72,unknown,0,dry,none,dome,172,5132,parkc002,hermd001,,,,,
MON199905040,LAN,MON,1999/05/04,MON02,0,7:08PM,night,false,schrp901,tatat901,hallt901,hohnb901,pitches,72,unknown,0,dry,none,dome,147,5846,pavac001,valdi001,urbiu001,,,,
MON199905050,LAN,MON,1999/05/05,MON02,0,7:09PM,night,false,tatat901,hallt901,hohnb901,schrp901,pitches,72,unknown,0,dry,none,dome,144,5518,arnoj001,vazqj001,,,,,
MON199905170,PHI,MON,1999/05/17,MON02,0,7:09PM,night,false,drecb901,davig901,laynj901,riekr901,pitches,72,unknown,0,dry,none,dome,169,5104,schic002,thurm002,,,,,
MON199905180,PHI,MON,1999/05/18,MON02,0,7:08PM,night,false,davig901,laynj901,riekr901,drecb901,pitches,72,unknown,0,dry,none,dome,190,4660,batim001,bennj001,urbiu001,,,,
MON199905190,PHI,MON,1999/05/19,MON02,0,7:07PM,night,false,laynj901,riekr901,drecb901,davig901,pitches,72,unknown,0,dry,none,dome,181,5182,klins002,branj001,,,,,
MON199905210,MIL,MON,1999/05/21,MON02,0,7:10PM,night,false,demud901,relic901,kellj901,holbs901,pitches,72,unknown,0,dry,none,dome,212,8819,wickb001,ayalb002,weatd001,,,,
MON199905220,MIL,MON,1999/05/22,MON02,0,7:08PM,night,false,relic901,kellj901,holbs901,demud901,pitches,72,unknown,0,dry,none,dome,184,8412,vazqj001,karls001,telfa001,,,,
MON199905230,MIL,MON,1999/05/23,MON02,0,1:36PM,day,false,kellj901,holbs901,demud901,relic901,pitches,72,unknown,0,dry,none,dome,185,8225,weatd001,urbiu001,,,,,
MON199905280,SFN,MON,1999/05/28,MON02,0,7:07PM,night,false,gibsg901,willc901,pullf901,bonig901,pitches,72,unknown,0,dry,none,dome,172,6535,telfa001,ortir001,urbiu001,,,,
MON199905290,SFN,MON,1999/05/29,MON02,0,7:08PM,night,false,willc901,pullf901,bonig901,gibsg901,pitches,72,unknown,0,dry,none,dome,185,8516,thurm002,estes001,urbiu001,,,,
MON199905300,SFN,MON,1999/05/30,MON02,0,1:37PM,day,false,pullf901,bonig901,gibsg901,willc901,pitches,72,unknown,0,dry,none,dome,176,8172,batim001,brocc001,urbiu001,,,,
MON199905310,ARI,MON,1999/05/31,MON02,0,7:05PM,night,false,vanol901,marsr901,westj901,herna901,pitches,72,unknown,0,dry,none,dome,179,5048,holmd001,klins002,olsog001,,,,
MON199906010,ARI,MON,1999/06/01,MON02,0,7:05PM,night,false,marsr901,westj901,herna901,vanol901,pitches,72,unknown,0,dry,none,dome,173,5188,motag001,frasj001,urbiu001,,,,
