game_id,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,howscored,oscorer
PIT200004040,HOU,PIT,PIT07,2000/04/04,0,7:05PM,night,false,crawj901,gormb901,everm901,dimum901,pitches,42,tolf,5,unknown,unknown,cloudy,171,54399,reyns001,schmj001,wagnb001,,
PIT200004050,HOU,PIT,PIT07,2000/04/05,0,7:05PM,night,false,gormb901,everm901,dimum901,crawj901,pitches,49,rtol,5,unknown,unknown,cloudy,152,12208,limaj001,bensk001,,,
PIT200004060,HOU,PIT,PIT07,2000/04/06,0,1:35PM,day,false,gormb901,everm901,crawj901,dimum901,pitches,63,rtol,18,unknown,unknown,overcast,164,11860,cordf001,holtc001,,,
PIT200004110,MON,PIT,PIT07,2000/04/11,0,7:05PM,night,false,gibsg901,ripps901,tscht901,meric901,pitches,42,ltor,5,unknown,unknown,overcast,135,11335,vazqj001,bensk001,klins002,,
PIT200004120,MON,PIT,PIT07,2000/04/12,0,7:05PM,night,false,ripps901,tscht901,meric901,gibsg901,pitches,42,ltor,5,unknown,unknown,sunny,178,10290,silvj001,batim001,willm005,,
PIT200004130,MON,PIT,PIT07,2000/04/13,0,7:05PM,night,false,tscht901,meric901,gibsg901,ripps901,pitches,53,rtol,3,unknown,unknown,sunny,143,11162,silvj001,urbiu001,,,
PIT200004140,NYN,PIT,PIT07,2000/04/14,0,7:05PM,night,false,clara901,wendh902,reedr901,buckc901,pitches,72,ltor,5,unknown,unknown,sunny,250,20725,franj001,silvj001,,,
PIT200004150,NYN,PIT,PIT07,2000/04/15,0,1:35PM,day,false,wendh902,reedr901,buckc901,clara901,pitches,72,torf,2,unknown,unknown,sunny,117,19592,andej002,ruscg001,willm005,,
PIT200004160,NYN,PIT,PIT07,2000/04/16,0,1:35PM,day,false,reedr901,buckc901,clara901,wendh902,pitches,73,ltor,4,unknown,unknown,sunny,221,20724,mahop001,petec001,benia001,,
PIT200004250,SDN,PIT,PIT07,2000/04/25,0,7:05PM,night,false,rapue901,millb901,rungb901,shulj901,pitches,63,ltor,5,unknown,unknown,sunny,210,12295,saues001,almac001,,,
PIT200004260,SDN,PIT,PIT07,2000/04/26,0,7:05PM,night,false,millb901,rungb901,shulj901,rapue901,pitches,62,rtol,5,unknown,unknown,sunny,172,13765,willm005,whism001,,,
PIT200004270,SDN,PIT,PIT07,2000/04/27,0,1:35PM,day,false,rungb901,shulj901,rapue901,millb901,pitches,66,tocf,2,unknown,unknown,sunny,164,15459,clemm001,parrj002,,,
PIT200004280,CIN,PIT,PIT07,2000/04/28,0,7:05PM,night,false,kellj901,coope901,diazl901,reilm901,pitches,66,ltor,5,unknown,unknown,cloudy,154,25557,bensk001,harnp001,willm005,,
PIT200004290,CIN,PIT,PIT07,2000/04/29,0,1:35PM,day,false,coope901,diazl901,reilm901,kellj901,pitches,70,rtol,2,unknown,unknown,sunny,177,28731,wills002,chrij002,gravd001,,
PIT200004300,CIN,PIT,PIT07,2000/04/30,0,1:35PM,day,false,diazl901,reilm901,kellj901,coope901,pitches,68,tocf,2,unknown,unknown,sunny,177,29728,bellr003,ritct001,wills002,,
PIT200005090,NYN,PIT,PIT07,2000/05/09,0,7:05PM,night,false,welkb901,froeb901,wintm901,culbf901,pitches,82,tolf,16,unknown,unknown,cloudy,162,14015,hampm001,bensk001,benia001,,
PIT200005100,NYN,PIT,PIT07,2000/05/10,0,7:05PM,night,false,froeb901,wintm901,culbf901,welkb901,pitches,58,tolf,13,unknown,unknown,sunny,209,13711,silvj001,cookd001,,,
PIT200005110,NYN,PIT,PIT07,2000/05/11,0,7:05PM,night,false,wintm901,culbf901,welkb901,froeb901,pitches,65,tocf,5,unknown,unknown,overcast,167,16264,leita001,andej002,,,
PIT200005120,MIL,PIT,PIT07,2000/05/12,0,7:05PM,night,false,willc901,reynj901,wegnm901,cedeg901,pitches,84,rtol,6,unknown,unknown,sunny,165,18524,haynj001,schmj001,,,
