game_id,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,oscorer
NYN200204010,PIT,NYN,NYC17,2002/04/01,0,0:00PM,day,false,froeb901,rapue901,poncl901,randt901,park,pitches,57,fromlf,13,unknown,unknown,cloudy,192,53734,leita001,villr001,,
NYN200204030,PIT,NYN,NYC17,2002/04/03,0,0:00PM,day,false,rapue901,poncl901,randt901,froeb901,park,pitches,75,tolf,9,unknown,unknown,cloudy,206,25952,wellk001,tracs001,willm005,
NYN200204040,PIT,NYN,NYC17,2002/04/04,0,0:00PM,day,false,poncl901,randt901,froeb901,rapue901,park,pitches,45,ltor,12,unknown,unknown,cloudy,157,33785,andej002,estes001,willm005,
NYN200204120,MON,NYN,NYC17,2002/04/12,0,0:00PM,night,false,barrm901,gormb901,cuzzp901,crawj901,park,pitches,54,rtol,4,unknown,unknown,overcast,156,32624,damij001,ohkat001,benia001,
NYN200204130,MON,NYN,NYC17,2002/04/13,0,0:00PM,day,false,gormb901,cuzzp901,crawj901,barrm901,park,pitches,59,rtol,10,unknown,unknown,cloudy,236,46991,hergm001,stris001,,
NYN200204140,MON,NYN,NYC17,2002/04/14,0,0:00PM,day,false,cuzzp901,crawj901,barrm901,gormb901,park,pitches,69,ltor,4,unknown,unknown,cloudy,174,45646,tracs001,armat002,benia001,
NYN200204150,ATL,NYN,NYC17,2002/04/15,0,0:00PM,night,false,herna901,diazl901,marsr901,vanol901,park,pitches,80,tocf,2,unknown,unknown,cloudy,231,28843,stris001,hammc001,,
NYN200204160,ATL,NYN,NYC17,2002/04/16,0,0:00PM,night,false,diazl901,marsr901,vanol901,herna901,park,pitches,84,tolf,8,unknown,unknown,sunny,164,31472,astap001,glavt001,,
NYN200204170,ATL,NYN,NYC17,2002/04/17,0,0:00PM,day,false,marsr901,vanol901,herna901,diazl901,park,pitches,92,rtol,3,unknown,unknown,sunny,166,30702,millk004,damij001,smolj001,
NYN200204230,SLN,NYN,NYC17,2002/04/23,0,0:00PM,night,false,ripps901,darlg901,emmep901,timmt901,park,pitches,48,tolf,12,unknown,unknown,sunny,148,33333,damij001,morrm001,benia001,
NYN200204240,SLN,NYN,NYC17,2002/04/24,0,0:00PM,night,false,darlg901,emmep901,timmt901,ripps901,park,pitches,57,torf,10,unknown,unknown,cloudy,155,22938,kiled001,leita001,isrij001,
NYN200204250,SLN,NYN,NYC17,2002/04/25,0,0:00PM,night,false,emmep901,timmt901,ripps901,darlg901,park,pitches,49,rtol,6,unknown,unknown,overcast,191,24637,stris001,vered001,benia001,
NYN200204260,MIL,NYN,NYC17,2002/04/26,0,0:00PM,night,false,barkl901,culbf901,millb901,hohnb901,park,pitches,49,rtol,2,unknown,unknown,sunny,113,37957,estes001,ruscg001,,
NYN200204270,MIL,NYN,NYC17,2002/04/27,0,0:00PM,day,false,culbf901,millb901,hohnb901,barkl901,park,pitches,54,ltor,8,unknown,unknown,sunny,134,35105,astap001,neugn001,benia001,
NYN200204280,MIL,NYN,NYC17,2002/04/28,0,0:00PM,day,false,millb901,hohnb901,barkl901,culbf901,park,pitches,52,torf,7,unknown,drizzle,cloudy,184,43169,davik001,kingr001,,
NYN200205070,SFN,NYN,NYC17,2002/05/07,0,0:00PM,night,false,wintm901,wolfj901,iassd901,davig901,park,pitches,78,tolf,7,unknown,unknown,cloudy,197,40016,ortir001,tracs001,,
NYN200205080,SFN,NYN,NYC17,2002/05/08,0,0:00PM,night,false,wolfj901,iassd901,davig901,wintm901,park,pitches,58,ltor,12,unknown,unknown,cloudy,169,29267,ruetk001,estes001,,
NYN200205090,SFN,NYN,NYC17,2002/05/09,0,0:00PM,night,false,iassd901,davig901,wintm901,wolfj901,park,pitches,53,rtol,3,unknown,unknown,overcast,149,28757,jensr001,astap001,nen-r001,
NYN200205100,COL,NYN,NYC17,2002/05/10,0,0:00PM,night,false,danlk901,barkl901,demud901,hudsm901,park,pitches,69,ltor,9,unknown,unknown,sunny,201,37484,jennj001,damij001,,
NYN200205110,COL,NYN,NYC17,2002/05/11,0,0:00PM,day,false,barkl901,demud901,hudsm901,danlk901,park,pitches,61,fromcf,5,unknown,unknown,sunny,165,41605,leita001,hampm001,stris001,
NYN200205120,COL,NYN,NYC17,2002/05/12,0,0:00PM,day,false,demud901,hudsm901,danlk901,barkl901,park,pitches,54,rtol,7,unknown,unknown,overcast,255,33578,whitr002,davik001,jimej001,
NYN200205240,FLO,NYN,NYC17,2002/05/24,0,0:00PM,night,false,everm901,rapue901,eddid901,guccc901,park,pitches,83,tolf,9,unknown,unknown,cloudy,221,37699,stris001,darev001,,
NYN200205250,FLO,NYN,NYC17,2002/05/25,0,0:00PM,day,false,rapue901,eddid901,guccc901,everm901,park,pitches,65,ltor,2,unknown,unknown,sunny,191,35724,almaa001,weatd001,nunev001,
NYN200205260,FLO,NYN,NYC17,2002/05/26,0,0:00PM,day,false,eddid901,guccc901,everm901,rapue901,park,pitches,62,rtol,5,unknown,unknown,cloudy,159,38781,damij001,burna001,stris001,
NYN200205270,FLO,NYN,NYC17,2002/05/27,0,0:00PM,day,false,guccc901,everm901,rapue901,eddid901,park,pitches,71,ltor,6,unknown,unknown,cloudy,177,24319,dempr002,leita001,nunev001,
NYN200205280,PHI,NYN,NYC17,2002/05/28,0,0:00PM,night,false,mcclt901,meric901,barrt901,rungb901,park,pitches,72,rtol,6,unknown,unknown,cloudy,192,25939,cormr001,tracs001,mesaj001,
NYN200205290,PHI,NYN,NYC17,2002/05/29,0,0:00PM,night,false,meric901,barrt901,rungb901,mcclt901,park,pitches,72,rtol,8,unknown,unknown,cloudy,161,37417,stris001,santj002,benia001,
NYN200206140,NYA,NYN,NYC17,2002/06/14,0,0:00PM,night,false,carlm901,bellw901,hirsm901,buckc901,park,pitches,59,ltor,13,unknown,drizzle,cloudy,276,54069,karss001,komis001,,
