game_id,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,howscored,pitches,oscorer,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,htbf,gametype,umplf,umprf
MIN200704020,BAL,MIN,MIN03,2007/04/02,0,6:13PM,night,true,westj901,rapue901,hicke901,buckc901,park,pitches,mee-t701,68,tolf,0,unknown,unknown,unknown,176,48711,santj003,bedae001,nathj001,,,,
MIN200704030,BAL,MIN,MIN03,2007/04/03,0,7:11PM,night,true,rapue901,hicke901,buckc901,westj901,park,pitches,mee-t701,70,rtol,0,unknown,unknown,unknown,158,24439,neshp001,cabrd001,nathj001,,,,
MIN200704040,BAL,MIN,MIN03,2007/04/04,0,7:10PM,night,true,hicke901,buckc901,westj901,rapue901,park,pitches,mee-t701,70,fromcf,0,unknown,unknown,unknown,154,27539,ortir002,wrigj002,,,,,
MIN200704090,NYA,MIN,MIN03,2007/04/09,0,6:08PM,night,true,gibsg901,randt901,relic901,vanol901,park,pitches,mee-t701,70,fromlf,0,unknown,unknown,unknown,153,26047,pavac001,ponss001,,,,,
MIN200704100,NYA,MIN,MIN03,2007/04/10,0,7:10PM,night,true,randt901,relic901,vanol901,gibsg901,park,pitches,mee-t701,70,unknown,0,unknown,unknown,unknown,168,24552,petta001,bonsb001,,,,,
MIN200704110,NYA,MIN,MIN03,2007/04/11,0,7:10PM,night,true,relic901,vanol901,gibsg901,randt901,park,pitches,mee-t701,70,tocf,0,unknown,unknown,unknown,156,30131,ortir002,farnk001,,,,,
MIN200704120,TBA,MIN,MIN03,2007/04/12,0,7:10PM,night,true,vanol901,gibsg901,randt901,relic901,park,pitches,mee-t701,70,ltor,0,unknown,unknown,unknown,149,15869,nathj001,stokb001,,,,,
MIN200704130,TBA,MIN,MIN03,2007/04/13,0,7:10PM,night,true,millb901,randt901,everm901,monte901,park,pitches,mee-t701,70,tocf,0,unknown,unknown,unknown,157,27783,kazms001,santj003,reyea001,,,,
MIN200704140,TBA,MIN,MIN03,2007/04/14,0,6:10PM,night,true,randt901,everm901,monte901,millb901,park,pitches,mee-t701,71,tocf,0,unknown,unknown,unknown,179,35269,ponss001,jacke001,,,,,
MIN200704150,TBA,MIN,MIN03,2007/04/15,0,1:11PM,day,true,everm901,monte901,millb901,randt901,park,pitches,mee-t701,70,ltor,0,unknown,unknown,unknown,157,27024,stokb001,nathj001,reyea001,,,,
MIN200704230,CLE,MIN,MIN03,2007/04/23,0,7:10PM,night,true,barkl901,reynj901,guccc901,cedeg901,park,pitches,mee-t701,70,fromlf,0,unknown,unknown,unknown,229,16076,hernr001,craij001,,,,,
MIN200704240,CLE,MIN,MIN03,2007/04/24,0,7:11PM,night,true,reynj901,guccc901,cedeg901,barkl901,park,pitches,mee-t701,70,tolf,0,unknown,unknown,unknown,154,20849,carmf001,santj003,boroj001,,,,
MIN200704250,KCA,MIN,MIN03,2007/04/25,0,7:10PM,night,true,randt901,relic901,vanol901,gibsg901,park,pitches,mee-t701,70,torf,0,unknown,unknown,unknown,161,21496,pereo001,ponss001,sorij001,,,,
MIN200704260,KCA,MIN,MIN03,2007/04/26,0,12:11PM,day,true,relic901,vanol901,gibsg901,randt901,park,pitches,mee-t701,66,fromcf,0,unknown,unknown,unknown,222,18520,rincj001,wellt002,,,,,
MIN200705040,BOS,MIN,MIN03,2007/05/04,0,7:11PM,night,true,nelsj901,wolfj901,tscht901,joycj901,park,pitches,mee-t701,69,unknown,0,unknown,unknown,unknown,153,34951,waket001,silvc001,papej001,,,,
MIN200705050,BOS,MIN,MIN03,2007/05/05,0,6:10PM,night,true,wolfj901,tscht901,joycj901,nelsj901,park,pitches,mee-t701,69,unknown,0,unknown,unknown,unknown,180,40088,santj003,tavaj001,nathj001,,,,
MIN200705060,BOS,MIN,MIN03,2007/05/06,0,1:11PM,day,true,tscht901,joycj901,nelsj901,wolfj901,park,pitches,mee-t701,70,unknown,0,unknown,unknown,unknown,181,27807,schic002,ponss001,papej001,,,,
MIN200705080,CHA,MIN,MIN03,2007/05/08,0,7:11PM,night,true,eddid901,demud901,cousd901,danlk901,park,pitches,mee-t701,70,torf,0,unknown,unknown,unknown,190,21979,rincj001,sisca001,,,,,
MIN200705090,CHA,MIN,MIN03,2007/05/09,0,7:10PM,night,true,demud901,cousd901,danlk901,eddid901,park,pitches,mee-t701,70,tolf,0,unknown,unknown,unknown,149,24367,dankj001,ortir002,jenkb001,,,,
MIN200705100,CHA,MIN,MIN03,2007/05/10,0,12:10PM,day,true,cousd901,danlk901,eddid901,demud901,park,pitches,mee-t701,70,ltor,0,unknown,unknown,unknown,134,23663,contj002,silvc001,,,,,
MIN200705110,DET,MIN,MIN03,2007/05/11,0,7:10PM,night,true,schrp901,mcclt901,culbf901,fostm901,park,pitches,mee-t701,68,ltor,0,unknown,unknown,unknown,185,31458,marom001,santj003,,,,,
MIN200705120,DET,MIN,MIN03,2007/05/12,0,2:46PM,day,true,mcclt901,culbf901,fostm901,schrp901,park,pitches,mee-t701,70,tolf,0,unknown,unknown,unknown,149,32176,durbc001,ponss001,lopea003,,,,
MIN200705130,DET,MIN,MIN03,2007/05/13,0,7:10PM,night,true,culbf901,fostm901,schrp901,mcclt901,park,pitches,mee-t701,70,torf,0,unknown,unknown,unknown,206,25037,bonsb001,vasqv001,,,,,
MIN200705250,TOR,MIN,MIN03,2007/05/25,0,7:11PM,night,true,drecb901,dowda901,darlg901,poncl901,park,pitches,mee-t701,69,fromlf,0,unknown,unknown,unknown,174,26781,guerm001,downs001,nathj001,,,,
MIN200705260,TOR,MIN,MIN03,2007/05/26,0,6:10PM,night,true,dowda901,darlg901,poncl901,drecb901,park,pitches,mee-t701,70,rtol,0,unknown,unknown,unknown,234,31434,tallb001,guerm001,,,,,
MIN200705270,TOR,MIN,MIN03,2007/05/27,0,1:11PM,day,true,darlg901,poncl901,drecb901,dowda901,park,pitches,mee-t701,70,tolf,0,unknown,unknown,unknown,136,25781,silvc001,burna001,nathj001,,,,
MIN200705280,CHA,MIN,MIN03,2007/05/28,0,1:11PM,day,true,vanol901,gibsg901,randt901,relic901,park,pitches,mee-t701,69,rtol,0,unknown,unknown,unknown,179,27090,santj003,contj002,,,,,
MIN200705290,CHA,MIN,MIN03,2007/05/29,0,7:10PM,night,true,randt901,relic901,johna901,vanol901,park,pitches,mee-t701,70,rtol,0,unknown,unknown,unknown,166,23771,bonsb001,dankj001,,,,,
MIN200705300,CHA,MIN,MIN03,2007/05/30,0,12:11PM,day,true,relic901,johna901,vanol901,randt901,park,pitches,mee-t701,69,tocf,0,unknown,unknown,unknown,168,29042,nathj001,macdm001,,,,,
