game_id,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,howscored,pitches,oscorer,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,htbf
CIN201004050,SLN,CIN,CIN09,2010/04/05,0,1:10PM,day,false,reilm901,coope901,millb901,fairc901,park,pitches,rothr701,78,rtol,16,unknown,unknown,cloudy,191,42493,carpc002,haraa001,,
CIN201004070,SLN,CIN,CIN09,2010/04/07,0,7:11PM,night,false,coope901,millb901,fairc901,reilm901,park,pitches,rothr701,72,rtol,10,unknown,unknown,cloudy,181,28132,waina001,herrd001,franr001,
CIN201004080,SLN,CIN,CIN09,2010/04/08,0,12:36PM,day,false,millb901,fairc901,reilm901,coope901,park,pitches,rothr701,54,tocf,12,unknown,unknown,overcast,160,13445,cordf002,mottj001,,
CIN201004090,CHN,CIN,CIN09,2010/04/09,0,7:10PM,night,false,eddid901,demud901,danlk901,buckc901,park,pitches,rothr701,54,tocf,13,unknown,unknown,sunny,159,24419,owinm001,carie001,cordf002,
CIN201004100,CHN,CIN,CIN09,2010/04/10,0,1:10PM,day,false,demud901,danlk901,buckc901,eddid901,park,pitches,jonem701,59,unknown,4,unknown,unknown,cloudy,152,27235,zambc001,rhoda001,marmc001,
CIN201004110,CHN,CIN,CIN09,2010/04/11,0,1:10PM,day,false,danlk901,buckc901,eddid901,demud901,park,pitches,rothr701,79,unknown,0,unknown,unknown,sunny,175,26945,massn001,grabj002,cordf002,
CIN201004200,LAN,CIN,CIN09,2010/04/20,0,7:10PM,night,false,fleta901,johna901,mcclt901,everm901,park,pitches,rothr701,64,fromlf,3,unknown,unknown,unknown,195,12965,lincm001,tronr001,cordf002,
CIN201004210,LAN,CIN,CIN09,2010/04/21,0,7:09PM,night,false,johna901,mcclt901,everm901,fleta901,park,pitches,rothr701,70,rtol,4,unknown,unknown,cloudy,216,12203,kuroh001,haraa001,,
CIN201004220,LAN,CIN,CIN09,2010/04/22,0,7:10PM,night,false,mcclt901,everm901,fleta901,johna901,park,pitches,rothr701,68,tolf,8,unknown,unknown,cloudy,167,13261,leakm001,kuo-h001,cordf002,
CIN201004230,SDN,CIN,CIN09,2010/04/23,0,7:10PM,night,false,campa902,nauep901,randt901,barrt901,park,pitches,jonem701,59,ltor,2,unknown,unknown,unknown,196,15183,corrk001,arrob001,,
CIN201004240,SDN,CIN,CIN09,2010/04/24,0,1:11PM,day,false,nauep901,randt901,barrt901,campa902,park,pitches,rothr701,67,fromlf,2,unknown,unknown,cloudy,145,19999,leblw001,cuetj001,,
CIN201004250,SDN,CIN,CIN09,2010/04/25,0,1:10PM,day,false,randt901,barrt901,campa902,nauep901,park,pitches,camem701,66,rtol,15,unknown,unknown,cloudy,175,17694,rhoda001,adamm001,cordf002,
CIN201005030,NYN,CIN,CIN09,2010/05/03,0,7:10PM,night,false,dimum901,welkt901,holbs901,welkb901,park,pitches,rothr701,75,rtol,12,unknown,unknown,sunny,211,14350,massn001,acosm001,,
CIN201005040,NYN,CIN,CIN09,2010/05/04,0,7:10PM,night,false,welkt901,holbs901,welkb901,dimum901,park,pitches,jonem701,76,unknown,0,unknown,unknown,sunny,158,13813,felip002,cordf002,rodrf003,
CIN201005050,NYN,CIN,CIN09,2010/05/05,0,12:37PM,day,false,holbs901,welkb901,dimum901,welkt901,park,pitches,rothr701,77,tolf,11,unknown,unknown,sunny,182,16798,owinm001,felip002,,
CIN201005070,CHN,CIN,CIN09,2010/05/07,0,7:10PM,night,false,rungb901,laynj901,holbs901,wintm901,park,pitches,rothr701,81,rtol,16,unknown,unknown,unknown,199,20030,silvc001,bailh001,,
CIN201005080,CHN,CIN,CIN09,2010/05/08,0,7:10PM,night,false,laynj901,holbs901,wintm901,rungb901,park,pitches,rothr701,51,tocf,17,unknown,unknown,unknown,196,26404,haraa001,gorzt001,,
