game_id,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,howscored,pitches,oscorer,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gametype,umplf,umprf,htbf
SDN201304090,LAN,SDN,SAN02,2013/04/09,0,3:40PM,day,false,fleta901,conrc901,holbs901,nauep901,park,pitches,zaveb701,67,ltor,12,unknown,unknown,sunny,201,44436,gregl001,belir001,,,,,
SDN201304100,LAN,SDN,SAN02,2013/04/10,0,7:10PM,night,false,conrc901,holbs901,nauep901,fleta901,park,pitches,zaveb701,67,ltor,10,unknown,unknown,sunny,202,22843,billc001,stule002,leagb001,,,,
SDN201304110,LAN,SDN,SAN02,2013/04/11,0,7:11PM,night,false,holbs901,nauep901,fleta901,conrc901,park,pitches,zaveb701,63,unknown,7,unknown,unknown,overcast,216,24610,guerm001,gregl001,jansk001,,,,
SDN201304120,COL,SDN,SAN02,2013/04/12,0,7:12PM,night,false,iassd901,muchm901,knigb901,davig901,park,pitches,zaveb701,62,ltor,8,unknown,unknown,cloudy,186,21814,brotr001,streh001,betar001,,,,
SDN201304130,COL,SDN,SAN02,2013/04/13,0,5:44PM,night,false,muchm901,knigb901,davig901,iassd901,park,pitches,zaveb701,63,unknown,5,unknown,unknown,overcast,200,29523,chacj001,volqe001,,,,,
SDN201304140,COL,SDN,SAN02,2013/04/14,0,1:11PM,day,false,knigb901,davig901,iassd901,muchm901,park,pitches,zaveb701,62,torf,13,unknown,unknown,overcast,172,21337,delaj001,thayd001,betar001,,,,
SDN201304220,MIL,SDN,SAN02,2013/04/22,0,7:12PM,night,false,fagac901,darlg901,emmep901,drecb901,park,pitches,zaveb701,63,ltor,8,unknown,unknown,cloudy,161,18643,lohsk001,marqj001,,,,,
SDN201304230,MIL,SDN,SAN02,2013/04/23,0,7:10PM,night,false,darlg901,emmep901,drecb901,fagac901,park,pitches,zaveb701,63,torf,11,unknown,unknown,sunny,188,19560,gally001,richc002,hendj001,,,,
SDN201304240,MIL,SDN,SAN02,2013/04/24,0,7:12PM,night,false,emmep901,drecb901,fagac901,darlg901,park,pitches,zaveb701,64,torf,5,unknown,unknown,overcast,152,17205,volqe001,estrm001,streh001,,,,
SDN201304260,SFN,SDN,SAN02,2013/04/26,0,7:11PM,night,false,gibsg901,wendh902,estam901,laynj901,park,pitches,zaveb701,64,ltor,12,unknown,unknown,sunny,139,34929,casha001,linct001,streh001,,,,
SDN201304270,SFN,SDN,SAN02,2013/04/27,0,5:40PM,night,false,wendh902,estam901,laynj901,gibsg901,park,pitches,zaveb701,65,ltor,7,unknown,unknown,sunny,259,38823,thatj001,romos001,,,,,
SDN201304280,SFN,SDN,SAN02,2013/04/28,0,1:12PM,day,false,estam901,laynj901,gibsg901,wendh902,park,pitches,zaveb701,69,ltor,8,unknown,unknown,sunny,189,33722,marqj001,voger001,streh001,,,,
SDN201305030,ARI,SDN,SAN02,2013/05/03,0,7:11PM,night,false,dimum901,belld901,barrt901,marqa901,park,pitches,murrj701,69,torf,7,unknown,unknown,unknown,177,31223,marqj001,milew001,streh001,,,,
SDN201305040,ARI,SDN,SAN02,2013/05/04,0,5:41PM,night,false,belld901,barrt901,marqa901,dimum901,park,pitches,murrj701,66,ltor,13,unknown,unknown,unknown,170,31336,corbp001,richc002,,,,,
SDN201305050,ARI,SDN,SAN02,2013/05/05,0,1:14PM,day,false,barrt901,marqa901,dimum901,belld901,park,pitches,murrj701,67,torf,12,unknown,unknown,overcast,172,29101,volqe001,kenni001,,,,,
SDN201305060,MIA,SDN,SAN02,2013/05/06,0,7:10PM,night,false,randt901,bakej902,bellw901,gonzm901,park,pitches,zaveb701,65,unknown,5,unknown,unknown,unknown,143,14596,casha001,leblw001,,,,,
SDN201305070,MIA,SDN,SAN02,2013/05/07,0,7:10PM,night,false,bakej902,bellw901,gonzm901,randt901,park,pitches,zaveb701,65,ltor,7,unknown,unknown,cloudy,159,16263,stule002,sanaa001,,,,,
SDN201305080,MIA,SDN,SAN02,2013/05/08,0,12:44PM,day,false,bellw901,gonzm901,randt901,bakej902,park,pitches,zaveb701,68,ltor,7,unknown,unknown,cloudy,141,16730,marqj001,nolar001,streh001,,,,
SDN201305160,WAS,SDN,SAN02,2013/05/16,0,7:10PM,night,false,barkl901,carav901,nelsj901,reybd901,park,pitches,murrj701,64,torf,10,unknown,unknown,unknown,152,24234,stras001,volqe001,,,,,
SDN201305170,WAS,SDN,SAN02,2013/05/17,0,7:12PM,night,false,carav901,nelsj901,reybd901,barkl901,park,pitches,murrj701,66,ltor,3,unknown,unknown,unknown,200,29898,sorir001,streh001,stord001,,,,
SDN201305180,WAS,SDN,SAN02,2013/05/18,0,5:41PM,night,false,nelsj901,reybd901,barkl901,carav901,park,pitches,murrj701,67,torf,6,unknown,unknown,sunny,121,33646,stule002,zimmj003,streh001,,,,
SDN201305190,WAS,SDN,SAN02,2013/05/19,0,1:11PM,day,false,reybd901,barkl901,carav901,nelsj901,park,pitches,murrj701,72,torf,7,unknown,unknown,sunny,185,27080,casha001,hared001,,,,,
SDN201305200,SLN,SDN,SAN02,2013/05/20,0,7:11PM,night,false,millb901,hicke901,joycj901,blasc901,park,pitches,murrj701,66,torf,6,unknown,unknown,cloudy,166,18763,marqj001,mills001,streh001,,,,
SDN201305210,SLN,SDN,SAN02,2013/05/21,0,7:11PM,night,false,hicke901,joycj901,blasc901,millb901,park,pitches,murrj701,66,torf,7,unknown,unknown,unknown,158,18702,waina001,volqe001,,,,,
SDN201305220,SLN,SDN,SAN02,2013/05/22,0,7:12PM,night,false,joycj901,blasc901,millb901,hicke901,park,pitches,murrj701,66,unknown,5,unknown,unknown,cloudy,157,18683,lyont001,smitb005,,,,,
SDN201305290,SEA,SDN,SAN02,2013/05/29,0,7:11PM,night,false,marqa901,belld901,dimum901,barrt901,park,pitches,zaveb701,66,ltor,5,unknown,unknown,sunny,169,19878,gregl001,mediy001,,,,,
SDN201305300,SEA,SDN,SAN02,2013/05/30,0,12:41PM,day,false,belld901,dimum901,barrt901,marqa901,park,pitches,zaveb701,67,ltor,6,unknown,unknown,cloudy,154,18805,hernf002,casha001,,,,,
SDN201305310,TOR,SDN,SAN02,2013/05/31,0,7:12PM,night,false,demud901,eddid901,herna901,bakej902,park,pitches,zaveb701,67,ltor,6,unknown,unknown,unknown,298,24200,richc002,redmt002,,,,,
SDN201306010,TOR,SDN,SAN02,2013/06/01,0,7:11PM,night,false,eddid901,herna901,bakej902,demud901,park,pitches,zaveb701,67,ltor,8,unknown,unknown,unknown,141,40399,erlir001,buehm001,gregl001,,,,
SDN201306020,TOR,SDN,SAN02,2013/06/02,0,7:12PM,night,false,herna901,reybd901,demud901,eddid901,park,pitches,zaveb701,65,ltor,8,unknown,unknown,overcast,229,20380,jansc001,boxbb001,loupa001,,,,
SDN201306100,ATL,SDN,SAN02,2013/06/10,0,7:09PM,night,false,johna901,culbf901,onorb901,welkb901,park,pitches,zaveb701,65,ltor,10,unknown,unknown,sunny,151,21192,marqj001,tehej001,thayd001,,,,
SDN201306110,ATL,SDN,SAN02,2013/06/11,0,7:10PM,night,false,culbf901,onorb901,welkb901,johna901,park,pitches,zaveb701,66,ltor,6,unknown,unknown,unknown,153,22330,casha001,hudst001,gregl001,,,,
SDN201306120,ATL,SDN,SAN02,2013/06/12,0,12:42PM,day,false,onorb901,welkb901,johna901,culbf901,park,pitches,zaveb701,69,ltor,7,unknown,unknown,overcast,174,22316,volqe001,mahop002,vincn001,,,,
SDN201306140,ARI,SDN,SAN02,2013/06/14,0,7:11PM,night,false,millb901,ticht901,scotd901,buckc901,park,pitches,zaveb701,66,ltor,8,unknown,unknown,cloudy,137,23364,stule002,cahit001,,,,,
SDN201306150,ARI,SDN,SAN02,2013/06/15,0,7:10PM,night,false,ticht901,scotd901,buckc901,millb901,park,pitches,zaveb701,66,ltor,9,unknown,unknown,sunny,160,29756,marqj001,milew001,streh001,,,,
SDN201306160,ARI,SDN,SAN02,2013/06/16,0,1:11PM,day,false,scotd901,buckc901,millb901,ticht901,park,pitches,murrj701,70,ltor,9,unknown,unknown,sunny,146,27943,richc002,hernd002,streh001,,,,
SDN201306200,LAN,SDN,SAN02,2013/06/20,0,7:10PM,night,false,hudsm901,mcclt901,muchm901,fostm901,park,pitches,zaveb701,70,torf,9,unknown,unknown,sunny,194,30656,vincn001,guerm001,,,,,
SDN201306210,LAN,SDN,SAN02,2013/06/21,0,7:10PM,night,false,mcclt901,muchm901,fostm901,hudsm901,park,pitches,zaveb701,68,fromrf,7,unknown,unknown,sunny,167,31844,staut001,kersc001,streh001,,,,
SDN201306220,LAN,SDN,SAN02,2013/06/22,0,4:16PM,day,false,muchm901,fostm901,hudsm901,mcclt901,park,pitches,zaveb701,72,torf,12,unknown,unknown,sunny,178,43627,greiz001,volqe001,,,,,
SDN201306230,LAN,SDN,SAN02,2013/06/23,0,1:12PM,day,false,fostm901,hudsm901,mcclt901,muchm901,park,pitches,murrj701,71,torf,8,unknown,unknown,cloudy,159,31098,leagb001,streh001,jansk001,,,,
SDN201306240,PHI,SDN,SAN02,2013/06/24,0,7:11PM,night,false,nelsj901,hicke901,joycj901,blasc901,park,pitches,zaveb701,67,ltor,13,unknown,unknown,cloudy,192,26265,thatj001,defrj001,,,,,
SDN201306250,PHI,SDN,SAN02,2013/06/25,0,7:10PM,night,false,hicke901,joycj901,blasc901,nelsj901,park,pitches,zaveb701,69,ltor,10,unknown,unknown,sunny,181,24695,kendk001,marqj001,,,,,
SDN201306260,PHI,SDN,SAN02,2013/06/26,0,7:10PM,night,false,joycj901,blasc901,nelsj901,hicke901,park,pitches,zaveb701,69,ltor,10,unknown,unknown,sunny,250,25610,savej001,laynt001,papej001,,,,
SDN201307080,COL,SDN,SAN02,2013/07/08,0,7:12PM,night,false,cuzzp901,guccc901,kulpr901,hallt901,park,pitches,zaveb701,70,ltor,7,unknown,unknown,sunny,183,20400,chatt001,volqe001,betar001,,,,
SDN201307090,COL,SDN,SAN02,2013/07/09,0,7:10PM,night,false,guccc901,kulpr901,hallt901,cuzzp901,park,pitches,zaveb701,71,ltor,6,unknown,unknown,sunny,152,22733,stule002,chacj001,,,,,
SDN201307100,COL,SDN,SAN02,2013/07/10,0,7:10PM,night,false,kulpr901,hallt901,cuzzp901,guccc901,park,pitches,zaveb701,68,ltor,6,unknown,unknown,unknown,213,19411,delaj001,casha001,betar001,,,,
SDN201307110,SFN,SDN,SAN02,2013/07/11,0,7:10PM,night,false,timmt901,wintm901,wegnm901,diazl901,park,pitches,zaveb701,69,torf,5,unknown,unknown,cloudy,183,31976,bumgm001,gregl001,romos001,,,,
SDN201307120,SFN,SDN,SAN02,2013/07/12,0,7:10PM,night,false,wintm901,wegnm901,diazl901,timmt901,park,pitches,zaveb701,71,ltor,6,unknown,unknown,cloudy,224,42361,gaudc001,osuls001,,,,,
SDN201307130,SFN,SDN,SAN02,2013/07/13,0,7:11PM,night,false,wegnm901,diazl901,timmt901,wintm901,park,pitches,murrj701,70,ltor,8,unknown,unknown,sunny,171,40342,linct001,volqe001,,,,,
SDN201307140,SFN,SDN,SAN02,2013/07/14,0,1:12PM,day,false,diazl901,timmt901,wintm901,wegnm901,park,pitches,murrj701,76,ltor,8,unknown,unknown,sunny,175,33243,stule002,zitob001,,,,,
SDN201307290,CIN,SDN,SAN02,2013/07/29,0,7:10PM,night,false,knigb901,carlm901,davig901,tumpj901,park,pitches,zaveb701,66,torf,7,unknown,unknown,sunny,157,24050,gregl001,chapa001,,,,,
SDN201307300,CIN,SDN,SAN02,2013/07/30,0,7:12PM,night,false,carlm901,davig901,tumpj901,knigb901,park,pitches,zaveb701,66,ltor,12,unknown,unknown,cloudy,207,29207,thayd001,parrm001,streh001,,,,
SDN201307310,CIN,SDN,SAN02,2013/07/31,0,12:41PM,day,false,davig901,tumpj901,knigb901,carlm901,park,pitches,zaveb701,70,ltor,8,unknown,unknown,cloudy,167,26450,bailh001,stule002,chapa001,,,,
SDN201308020,NYA,SDN,SAN02,2013/08/02,0,7:10PM,night,false,dimum901,barrs901,marqa901,barrt901,park,pitches,zaveb701,68,ltor,6,unknown,unknown,sunny,170,44124,casha001,sabac001,,,,,
SDN201308030,NYA,SDN,SAN02,2013/08/03,0,5:40PM,night,false,barrs901,marqa901,barrt901,dimum901,park,pitches,zaveb701,68,ltor,3,unknown,unknown,cloudy,155,44184,novai001,rosst001,rivem002,,,,
SDN201308040,NYA,SDN,SAN02,2013/08/04,0,1:12PM,day,false,marqa901,barrt901,dimum901,barrs901,park,pitches,zaveb701,71,ltor,9,unknown,unknown,sunny,189,43504,kenni001,hughp001,streh001,,,,
SDN201308060,BAL,SDN,SAN02,2013/08/06,0,7:11PM,night,false,eddid901,demud901,herna901,nauep901,park,pitches,zaveb701,66,ltor,10,unknown,unknown,sunny,181,29415,norrb001,volqe001,johnj010,,,,
SDN201308070,BAL,SDN,SAN02,2013/08/07,0,12:42PM,day,false,demud901,herna901,nauep901,eddid901,park,pitches,zaveb701,70,ltor,6,unknown,unknown,sunny,177,21206,rodrf003,gregl001,,,,,
SDN201308150,NYN,SDN,SAN02,2013/08/15,0,7:10PM,night,false,iassd901,knigb901,carlm901,davig901,park,pitches,zaveb701,69,ltor,8,unknown,unknown,sunny,184,21812,atchs001,gregl001,germg001,,,,
SDN201308160,NYN,SDN,SAN02,2013/08/16,0,7:10PM,night,false,knigb901,carlm901,davig901,iassd901,park,pitches,zaveb701,69,unknown,5,unknown,unknown,sunny,193,25604,niesj001,kenni001,hawkl001,,,,
SDN201308170,NYN,SDN,SAN02,2013/08/17,0,5:42PM,night,false,carlm901,davig901,iassd901,knigb901,park,pitches,zaveb701,70,torf,9,unknown,unknown,sunny,216,36974,volqe001,aardd001,,,,,
SDN201308180,NYN,SDN,SAN02,2013/08/18,0,1:14PM,day,false,davig901,iassd901,knigb901,carlm901,park,pitches,murrj701,72,ltor,8,unknown,unknown,cloudy,169,24704,streh001,felip002,,,,,
SDN201308190,PIT,SDN,SAN02,2013/08/19,0,7:10PM,night,false,nauep901,eddid901,muchm901,demud901,park,pitches,zaveb701,66,ltor,12,unknown,unknown,sunny,156,24850,lirif001,casha001,melam001,,,,
SDN201308200,PIT,SDN,SAN02,2013/08/20,0,7:10PM,night,false,eddid901,muchm901,demud901,nauep901,park,pitches,zaveb701,72,ltor,12,unknown,unknown,cloudy,175,21381,burna001,rosst001,,,,,
SDN201308210,PIT,SDN,SAN02,2013/08/21,0,3:40PM,day,false,muchm901,barrl901,nauep901,eddid901,park,pitches,zaveb701,71,ltor,8,unknown,unknown,sunny,158,19126,kenni001,coleg001,streh001,,,,
SDN201308230,CHN,SDN,SAN02,2013/08/23,0,7:12PM,night,false,kellj901,coope901,schrp901,fairc901,park,pitches,zaveb701,68,ltor,10,unknown,unknown,sunny,192,23561,vincn001,russj003,streh001,,,,
SDN201308240,CHN,SDN,SAN02,2013/08/24,0,5:41PM,night,false,coope901,schrp901,fairc901,kellj901,park,pitches,zaveb701,72,ltor,7,unknown,unknown,sunny,160,30870,samaj001,stule002,gregk001,,,,
SDN201308250,CHN,SDN,SAN02,2013/08/25,0,1:11PM,day,false,schrp901,fairc901,kellj901,coope901,park,pitches,murrj701,71,ltor,5,unknown,unknown,sunny,313,22762,thayd001,rondh001,,,,,
SDN201309020,SFN,SDN,SAN02,2013/09/02,0,12:40PM,day,false,welkb901,culbf901,bakej902,johna901,park,pitches,zaveb701,71,ltor,9,unknown,unknown,cloudy,175,25430,kenni001,zitob001,streh001,,,,
