rank,team,curr_year,last_3,last_1,home,away,prev_year
1,LAN,0.333,0.302,0.378,0.319,0.346,0.325
2,DET,0.33,0.269,0.2,0.338,0.323,0.344
3,PIT,0.329,0.227,0.152,0.342,0.315,0.313
4,COL,0.327,0.304,0.278,0.372,0.279,0.323
5,MIN,0.324,0.381,0.182,0.333,0.314,0.312
6,TOR,0.323,0.27,0.188,0.327,0.318,0.318
7,ANA,0.321,0.248,0.289,0.315,0.326,0.329
8,OAK,0.32,0.336,0.358,0.335,0.305,0.325
9,SLN,0.319,0.31,0.286,0.333,0.306,0.327
10,WAS,0.318,0.207,0.206,0.333,0.303,0.313
11,CLE,0.317,0.263,0.385,0.32,0.314,0.326
12,TBA,0.317,0.238,0.273,0.326,0.308,0.328
13,MIA,0.317,0.291,0.036,0.326,0.308,0.293
14,BOS,0.316,0.315,0.229,0.332,0.299,0.346
15,TEX,0.314,0.219,0.219,0.312,0.316,0.323
16,KCA,0.314,0.33,0.463,0.31,0.317,0.315
17,SFN,0.312,0.395,0.297,0.315,0.309,0.32
18,BAL,0.311,0.245,0.242,0.317,0.305,0.313
19,MIL,0.311,0.327,0.273,0.322,0.3,0.311
20,CHA,0.31,0.299,0.366,0.314,0.305,0.302
21,HOU,0.309,0.276,0.286,0.315,0.304,0.299
22,NYN,0.308,0.267,0.371,0.295,0.321,0.306
23,NYA,0.307,0.316,0.325,0.309,0.305,0.307
24,ATL,0.305,0.25,0.156,0.31,0.3,0.321
25,PHI,0.302,0.317,0.265,0.301,0.303,0.306
26,ARI,0.302,0.307,0.167,0.318,0.287,0.323
27,SEA,0.3,0.327,0.314,0.294,0.306,0.306
28,CHN,0.3,0.279,0.263,0.303,0.296,0.3
29,CIN,0.296,0.33,0.281,0.305,0.289,0.327
30,SDN,0.292,0.275,0.257,0.299,0.285,0.308
